,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Garnavillo,754.0,9.27,18.04,345.0,35694.0,64500.0,20.9,99.87,0.13,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
1,2001,Garnavillo,754.0,9.27,18.04,345.0,35694.0,64500.0,20.9,99.87,0.13,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0
2,2002,Garnavillo,754.0,9.27,18.04,345.0,35694.0,64500.0,20.9,99.87,0.13,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0
3,2003,Garnavillo,754.0,9.27,18.04,345.0,35694.0,64500.0,20.9,99.87,0.13,0.0,0.0,0.0,0.0,68.0,2.0,2.0,2.35,2.35
4,2004,Garnavillo,754.0,9.27,18.04,345.0,35694.0,64500.0,20.9,99.87,0.13,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0
5,2005,Garnavillo,742.0,9.5,17.94,503.0,38594.0,70800.0,25.0,93.67,0.0,2.7,0.4,0.0,0.0,67.0,1.0,1.0,1.2,1.2
6,2006,Garnavillo,742.0,9.5,17.94,503.0,38594.0,70800.0,25.0,93.67,0.0,2.7,0.4,0.0,0.0,66.0,0.0,0.0,0.0,0.0
7,2007,Garnavillo,742.0,9.5,17.94,503.0,38594.0,70800.0,25.0,93.67,0.0,2.7,0.4,0.0,0.0,65.0,0.0,0.0,0.0,0.0
8,2008,Garnavillo,742.0,9.5,17.94,503.0,38594.0,70800.0,25.0,93.67,0.0,2.7,0.4,0.0,0.0,65.0,0.0,0.0,0.0,0.0
9,2009,Garnavillo,742.0,9.5,17.94,503.0,38594.0,70800.0,25.0,93.67,0.0,2.7,0.4,0.0,0.0,64.0,0.0,0.0,0.0,0.0
10,2010,Garnavillo,745.0,7.47,18.37,710.0,46053.0,80200.0,26.9,97.45,0.54,1.61,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0
11,2011,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,67.0,0.0,0.0,0.0,0.0
12,2012,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,69.0,2.0,2.0,2.32,2.32
13,2013,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,72.0,0.0,0.0,0.0,0.0
14,2014,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,75.0,0.0,0.0,0.0,0.0
15,2015,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,78.0,0.0,0.0,0.0,0.0
16,2016,Garnavillo,855.0,4.62,20.5,592.0,46750.0,81000.0,28.8,91.93,1.99,5.96,0.12,0.0,0.0,81.0,0.0,0.0,0.0,0.0
