,year,name,population,poverty-rate,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,renter-occupied-households,eviction-filings,evictions,eviction-rate,eviction-filing-rate
0,2000,Hamburg,1240.0,13.93,28.68,385.0,29479.0,58900.0,19.9,93.39,0.08,5.48,0.24,0.32,0.0,148.0,2.0,2.0,1.36,1.36
1,2001,Hamburg,1240.0,13.93,28.68,385.0,29479.0,58900.0,19.9,93.39,0.08,5.48,0.24,0.32,0.0,148.0,0.0,0.0,0.0,0.0
2,2002,Hamburg,1240.0,13.93,28.68,385.0,29479.0,58900.0,19.9,93.39,0.08,5.48,0.24,0.32,0.0,149.0,2.0,2.0,1.02,1.02
3,2003,Hamburg,1240.0,13.93,28.68,385.0,29479.0,58900.0,19.9,93.39,0.08,5.48,0.24,0.32,0.0,149.0,2.0,2.0,1.02,1.02
4,2004,Hamburg,1240.0,13.93,28.68,385.0,29479.0,58900.0,19.9,93.39,0.08,5.48,0.24,0.32,0.0,149.0,2.0,2.0,1.02,1.02
5,2005,Hamburg,1218.0,13.93,39.86,420.0,29803.0,80600.0,29.4,89.66,0.0,9.44,0.57,0.0,0.0,149.0,1.0,1.0,0.56,0.56
6,2006,Hamburg,1218.0,13.93,39.86,420.0,29803.0,80600.0,29.4,89.66,0.0,9.44,0.57,0.0,0.0,149.0,1.0,1.0,0.56,0.56
7,2007,Hamburg,1218.0,13.93,39.86,420.0,29803.0,80600.0,29.4,89.66,0.0,9.44,0.57,0.0,0.0,149.0,3.0,2.0,1.35,1.81
8,2008,Hamburg,1218.0,13.93,39.86,420.0,29803.0,80600.0,29.4,89.66,0.0,9.44,0.57,0.0,0.0,149.0,1.0,1.0,0.56,0.56
9,2009,Hamburg,1218.0,13.93,39.86,420.0,29803.0,80600.0,29.4,89.66,0.0,9.44,0.57,0.0,0.0,150.0,1.0,1.0,0.45,0.45
10,2010,Hamburg,1187.0,10.54,33.46,490.0,30221.0,69700.0,29.3,91.32,0.84,6.23,0.42,0.25,0.08,150.0,2.0,1.0,0.56,1.57
11,2011,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,149.0,2.0,2.0,1.02,1.02
12,2012,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,147.0,2.0,1.0,0.57,1.6
13,2013,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,147.0,0.0,0.0,0.0,0.0
14,2014,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,146.0,0.0,0.0,0.0,0.0
15,2015,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,145.0,1.0,1.0,0.46,0.46
16,2016,Hamburg,1111.0,13.59,36.09,563.0,34931.0,66800.0,28.4,89.38,0.0,6.03,0.36,0.0,0.0,143.0,0.0,0.0,0.0,0.0
