,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
2882,"Atlantic, IA","Atlantic, IA",485,1327,466,492,1399,387,872,1088,318,2278,2002
2904,"Atlantic, IA","Des Moines, IA",27,46,16,18,42,29,32,44,13,89,2002
2897,"Atlantic, IA","Council Bluffs, IA",30,35,12,5,56,16,40,28,9,77,2002
2932,"Atlantic, IA","Lewis, IA",16,45,5,52,9,5,3,53,10,66,2002
2899,"Atlantic, IA","Cumberland, IA",7,25,7,1,34,4,13,15,11,39,2002
2883,"Atlantic, IA","Audubon, IA",9,20,5,22,10,2,9,20,5,34,2002
2956,"Atlantic, IA","Red Oak, IA",6,19,3,7,11,10,8,15,5,28,2002
2880,"Atlantic, IA","Anita, IA",3,18,3,0,21,3,7,5,12,24,2002
2959,"Atlantic, IA","Shelby, IA",3,17,4,0,9,15,6,17,1,24,2002
2975,"Atlantic, IA","Wiota, IA",6,13,5,4,18,2,8,13,3,24,2002
2879,"Atlantic, IA","Ames, IA",13,8,1,1,14,7,12,7,3,22,2002
2911,"Atlantic, IA","Exira, IA",2,16,4,6,14,2,6,11,5,22,2002
2892,"Atlantic, IA","Clarinda, IA",6,14,2,4,10,8,11,11,0,22,2002
2969,"Atlantic, IA","Walnut, IA",6,12,2,0,17,3,8,12,0,20,2002
2895,"Atlantic, IA","Clive, IA",10,5,4,0,16,3,12,5,2,19,2002
2921,"Atlantic, IA","Harlan, IA",5,11,2,0,13,5,10,6,2,18,2002
2964,"Atlantic, IA","Sioux City, IA",10,5,2,0,9,8,6,9,2,17,2002
2916,"Atlantic, IA","Grant, IA",8,7,2,3,12,2,6,9,2,17,2002
2890,"Atlantic, IA","Casey, IA",4,12,1,9,8,0,8,7,2,17,2002
2973,"Atlantic, IA","Windsor Heights, IA",10,4,2,1,9,6,9,7,0,16,2002
2875,"Atlantic, IA","Adair, IA",3,8,4,8,7,0,7,8,0,15,2002
2898,"Atlantic, IA","Creston, IA",4,7,3,0,6,8,8,6,0,14,2002
2967,"Atlantic, IA","Urbandale, IA",3,7,3,0,7,6,3,9,1,13,2002
2966,"Atlantic, IA","Tennant, IA",7,5,1,0,10,3,10,3,0,13,2002
2884,"Atlantic, IA","Avoca, IA",0,10,2,0,2,10,4,6,2,12,2002
2960,"Atlantic, IA","Shenandoah, IA",2,7,2,0,5,6,9,2,0,11,2002
2950,"Atlantic, IA","Osceola, IA",1,4,5,0,6,4,0,9,1,10,2002
2971,"Atlantic, IA","Waukee, IA",4,2,2,0,7,1,1,4,3,8,2002
2907,"Atlantic, IA","Elk Horn, IA",3,3,2,0,7,1,1,5,2,8,2002
2920,"Atlantic, IA","Hancock, IA",2,5,0,0,6,1,3,3,1,7,2002
2903,"Atlantic, IA","Denison, IA",4,2,1,0,4,3,3,4,0,7,2002
2917,"Atlantic, IA","Gray, IA",6,1,0,4,3,0,2,5,0,7,2002
2913,"Atlantic, IA","Fort Dodge, IA",4,2,1,0,2,5,4,2,1,7,2002
2954,"Atlantic, IA","Pleasant Hill, IA",2,4,0,0,1,5,3,3,0,6,2002
2938,"Atlantic, IA","Manning, IA",2,3,0,0,5,0,4,1,0,5,2002
2926,"Atlantic, IA","Johnston, IA",3,2,0,0,2,3,2,2,1,5,2002
2896,"Atlantic, IA","Corning, IA",0,5,0,1,3,1,1,4,0,5,2002
2940,"Atlantic, IA","Massena, IA",0,5,0,0,2,3,0,3,2,5,2002
2948,"Atlantic, IA","Oakland, IA",1,4,0,0,5,0,4,1,0,5,2002
2974,"Atlantic, IA","Winterset, IA",2,2,1,0,4,1,5,0,0,5,2002
2955,"Atlantic, IA","Randolph, IA",1,2,2,0,0,5,4,1,0,5,2002
2936,"Atlantic, IA","Macedonia, IA",0,5,0,1,1,3,2,1,2,5,2002
2888,"Atlantic, IA","Carson, IA",1,4,0,4,1,0,1,2,2,5,2002
2902,"Atlantic, IA","Defiance, IA",0,4,1,2,1,2,2,3,0,5,2002
2951,"Atlantic, IA","Ottumwa, IA",1,3,0,0,1,3,1,1,2,4,2002
2887,"Atlantic, IA","Braddyville, IA",1,3,0,0,2,2,2,0,2,4,2002
2881,"Atlantic, IA","Ankeny, IA",2,2,0,0,1,3,3,0,1,4,2002
2923,"Atlantic, IA","Indianola, IA",4,0,0,0,3,1,4,0,0,4,2002
2961,"Atlantic, IA","Sidney, IA",0,2,2,0,1,3,4,0,0,4,2002
2891,"Atlantic, IA","Chariton, IA",2,2,0,0,3,1,2,1,1,4,2002
2941,"Atlantic, IA","McClelland, IA",0,2,2,0,0,4,2,2,0,4,2002
2918,"Atlantic, IA","Greenfield, IA",0,1,2,0,2,1,1,0,2,3,2002
2947,"Atlantic, IA","Norwalk, IA",1,2,0,0,0,3,1,2,0,3,2002
2949,"Atlantic, IA","Orient, IA",1,2,0,0,3,0,1,2,0,3,2002
2905,"Atlantic, IA","Dunlap, IA",1,1,1,0,3,0,2,1,0,3,2002
2953,"Atlantic, IA","Panora, IA",0,3,0,0,2,1,1,1,1,3,2002
2885,"Atlantic, IA","Bedford, IA",2,1,0,0,3,0,2,1,0,3,2002
2958,"Atlantic, IA","Sergeant Bluff, IA",2,1,0,0,1,2,1,1,1,3,2002
2965,"Atlantic, IA","Stanton, IA",0,3,0,0,0,3,0,3,0,3,2002
2942,"Atlantic, IA","Melcher-Dallas, IA",0,3,0,0,3,0,1,1,1,3,2002
2946,"Atlantic, IA","Nodaway, IA",2,1,0,0,3,0,0,2,1,3,2002
