,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9033,"Clearfield, IA","Lenox, IA",48,103,36,70,88,29,71,105,11,187,2002
9019,"Clearfield, IA","Creston, IA",16,25,14,13,25,17,19,29,7,55,2002
9015,"Clearfield, IA","Clearfield, IA",5,15,3,6,12,5,9,10,4,23,2002
9035,"Clearfield, IA","Mount Ayr, IA",7,5,0,0,9,3,5,7,0,12,2002
9023,"Clearfield, IA","Diagonal, IA",4,6,2,4,8,0,7,1,4,12,2002
9017,"Clearfield, IA","Corning, IA",2,5,4,3,8,0,2,7,2,11,2002
9036,"Clearfield, IA","Murray, IA",6,1,1,0,8,0,6,2,0,8,2002
9011,"Clearfield, IA","Bedford, IA",0,4,4,1,6,1,2,5,1,8,2002
9029,"Clearfield, IA","Gravity, IA",0,7,0,0,0,7,0,3,4,7,2002
9026,"Clearfield, IA","Grand River, IA",4,1,0,0,5,0,3,2,0,5,2002
9040,"Clearfield, IA","Nodaway, IA",0,3,2,0,4,1,0,5,0,5,2002
9043,"Clearfield, IA","Pella, IA",2,2,0,4,0,0,0,4,0,4,2002
9039,"Clearfield, IA","Newton, IA",2,2,0,0,0,4,1,3,0,4,2002
9042,"Clearfield, IA","Ottumwa, IA",3,1,0,0,4,0,2,2,0,4,2002
9025,"Clearfield, IA","Gilman, IA",0,3,0,3,0,0,0,0,3,3,2002
9034,"Clearfield, IA","Melcher-Dallas, IA",2,1,0,1,1,1,1,2,0,3,2002
9022,"Clearfield, IA","Des Moines, IA",0,2,1,0,2,1,1,1,1,3,2002
9037,"Clearfield, IA","Nevada, IA",2,1,0,1,2,0,2,1,0,3,2002
9016,"Clearfield, IA","Clive, IA",2,1,0,0,3,0,1,1,1,3,2002
9014,"Clearfield, IA","Clarinda, IA",0,2,1,1,1,1,1,2,0,3,2002
9013,"Clearfield, IA","Boone, IA",0,3,0,1,1,1,0,2,1,3,2002
9007,"Clearfield, IA","Afton, IA",0,2,0,0,2,0,0,1,1,2,2002
9030,"Clearfield, IA","Greenfield, IA",2,0,0,1,1,0,1,1,0,2,2002
9009,"Clearfield, IA","Ames, IA",2,0,0,1,1,0,2,0,0,2,2002
9028,"Clearfield, IA","Grant, IA",0,2,0,1,0,1,0,2,0,2,2002
9044,"Clearfield, IA","Redding, IA",0,0,1,1,0,0,0,1,0,1,2002
9045,"Clearfield, IA","Redfield, IA",0,1,0,0,0,1,1,0,0,1,2002
9046,"Clearfield, IA","Rutland, IA",0,1,0,1,0,0,0,0,1,1,2002
9041,"Clearfield, IA","Osceola, IA",0,1,0,1,0,0,0,1,0,1,2002
9047,"Clearfield, IA","Shelby, IA",0,1,0,0,0,1,0,0,1,1,2002
9048,"Clearfield, IA","Stanton, IA",0,1,0,1,0,0,0,1,0,1,2002
9049,"Clearfield, IA","Windsor Heights, IA",0,0,1,0,1,0,1,0,0,1,2002
9006,"Clearfield, IA","Adair, IA",1,0,0,0,0,1,1,0,0,1,2002
9038,"Clearfield, IA","New London, IA",0,0,1,0,1,0,1,0,0,1,2002
9032,"Clearfield, IA","Knoxville, IA",1,0,0,0,0,1,0,0,1,1,2002
9031,"Clearfield, IA","Indianola, IA",0,1,0,1,0,0,1,0,0,1,2002
9027,"Clearfield, IA","Granger, IA",1,0,0,1,0,0,0,0,1,1,2002
9024,"Clearfield, IA","Forest City, IA",1,0,0,0,0,1,0,1,0,1,2002
9021,"Clearfield, IA","Dallas Center, IA",1,0,0,0,0,1,1,0,0,1,2002
9020,"Clearfield, IA","Cumberland, IA",0,1,0,0,0,1,0,1,0,1,2002
9018,"Clearfield, IA","Council Bluffs, IA",0,1,0,1,0,0,0,1,0,1,2002
9012,"Clearfield, IA","Bettendorf, IA",1,0,0,0,0,1,1,0,0,1,2002
9010,"Clearfield, IA","Ankeny, IA",0,0,1,0,1,0,0,0,1,1,2002
9008,"Clearfield, IA","Altoona, IA",1,0,0,0,0,1,1,0,0,1,2002
9050,"Clearfield, IA","Woodward, IA",0,0,1,0,1,0,0,1,0,1,2002
