,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
11542,"Danbury, IA","Ida Grove, IA",34,115,45,79,89,26,58,113,23,194,2002
11528,"Danbury, IA","Danbury, IA",33,83,31,15,119,13,77,63,7,147,2002
11530,"Danbury, IA","Denison, IA",38,86,21,51,71,23,41,92,12,145,2002
11561,"Danbury, IA","Mapleton, IA",20,56,23,9,56,34,52,39,8,99,2002
11591,"Danbury, IA","Sioux City, IA",20,48,14,14,40,28,24,48,10,82,2002
11571,"Danbury, IA","Onawa, IA",7,37,14,8,42,8,20,29,9,58,2002
11505,"Danbury, IA","Ames, IA",16,8,6,4,21,5,13,11,6,30,2002
11592,"Danbury, IA","Sloan, IA",3,20,7,3,24,3,6,24,0,30,2002
11587,"Danbury, IA","Schleswig, IA",5,13,8,6,9,11,15,7,4,26,2002
11531,"Danbury, IA","Des Moines, IA",7,12,5,2,20,2,7,11,6,24,2002
11588,"Danbury, IA","Sergeant Bluff, IA",9,11,4,4,12,8,4,16,4,24,2002
11509,"Danbury, IA","Arthur, IA",5,12,3,7,3,10,10,7,3,20,2002
11526,"Danbury, IA","Cushing, IA",6,13,1,9,9,2,5,15,0,20,2002
11599,"Danbury, IA","Wall Lake, IA",2,6,6,2,10,2,8,1,5,14,2002
11516,"Danbury, IA","Carroll, IA",2,2,8,4,3,5,3,5,4,12,2002
11534,"Danbury, IA","Fort Dodge, IA",1,10,1,3,3,6,6,5,1,12,2002
11517,"Danbury, IA","Castana, IA",0,8,2,1,3,6,3,6,1,10,2002
11523,"Danbury, IA","Council Bluffs, IA",3,6,1,2,1,7,3,4,3,10,2002
11593,"Danbury, IA","Soldier, IA",5,4,0,5,4,0,6,2,1,9,2002
11595,"Danbury, IA","Storm Lake, IA",3,5,1,0,2,7,1,8,0,9,2002
11577,"Danbury, IA","Pierson, IA",4,4,0,4,2,2,3,5,0,8,2002
11547,"Danbury, IA","Kiron, IA",1,7,0,2,5,1,1,5,2,8,2002
11521,"Danbury, IA","Clive, IA",3,3,2,0,7,1,0,6,2,8,2002
11604,"Danbury, IA","West Des Moines, IA",4,4,0,3,3,2,1,5,2,8,2002
11507,"Danbury, IA","Anthon, IA",3,4,0,3,1,3,5,2,0,7,2002
11598,"Danbury, IA","Urbandale, IA",3,4,0,0,3,4,4,2,1,7,2002
11583,"Danbury, IA","Rodney, IA",3,2,1,0,5,1,3,3,0,6,2002
11584,"Danbury, IA","Sac City, IA",1,1,4,3,2,1,2,3,1,6,2002
11519,"Danbury, IA","Cherokee, IA",0,4,1,0,5,0,3,2,0,5,2002
11506,"Danbury, IA","Ankeny, IA",1,3,1,1,4,0,4,1,0,5,2002
11560,"Danbury, IA","Manilla, IA",0,4,1,0,5,0,2,2,1,5,2002
11602,"Danbury, IA","Webster City, IA",0,2,3,1,4,0,1,1,3,5,2002
11565,"Danbury, IA","Missouri Valley, IA",2,3,0,0,3,2,2,3,0,5,2002
11524,"Danbury, IA","Creston, IA",2,1,1,0,2,2,3,1,0,4,2002
11596,"Danbury, IA","Titonka, IA",0,3,1,0,1,3,2,1,1,4,2002
11549,"Danbury, IA","Lake City, IA",2,1,1,0,3,1,1,2,1,4,2002
11580,"Danbury, IA","Quimby, IA",2,1,1,1,2,1,2,2,0,4,2002
11518,"Danbury, IA","Charter Oak, IA",1,2,1,1,2,1,0,2,2,4,2002
11537,"Danbury, IA","Grand Junction, IA",0,4,0,0,0,4,0,2,2,4,2002
11605,"Danbury, IA","Westside, IA",0,4,0,0,4,0,0,2,2,4,2002
11567,"Danbury, IA","Moville, IA",0,4,0,0,3,1,0,1,3,4,2002
11563,"Danbury, IA","Marshalltown, IA",0,2,1,0,0,3,3,0,0,3,2002
