,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
13145,"Dickens, IA","Spencer, IA",49,150,35,74,109,51,75,124,35,234,2002
13146,"Dickens, IA","Spirit Lake, IA",1,11,4,8,6,2,5,7,4,16,2002
13109,"Dickens, IA","Estherville, IA",0,10,4,2,10,2,7,2,5,14,2002
13107,"Dickens, IA","Dickens, IA",3,7,3,3,5,5,5,5,3,13,2002
13141,"Dickens, IA","Sioux City, IA",2,9,2,3,2,8,2,3,8,13,2002
13135,"Dickens, IA","Ruthven, IA",3,5,5,1,8,4,5,6,2,13,2002
13127,"Dickens, IA","Milford, IA",0,9,1,0,10,0,6,3,1,10,2002
13102,"Dickens, IA","Arnolds Park, IA",7,2,0,0,8,1,2,7,0,9,2002
13149,"Dickens, IA","Terril, IA",2,6,1,7,1,1,2,7,0,9,2002
13100,"Dickens, IA","Algona, IA",2,4,0,4,1,1,1,4,1,6,2002
13147,"Dickens, IA","Storm Lake, IA",2,2,1,0,3,2,4,1,0,5,2002
13108,"Dickens, IA","Emmetsburg, IA",2,3,0,0,3,2,2,2,1,5,2002
13116,"Dickens, IA","Graettinger, IA",1,0,4,1,1,3,2,3,0,5,2002
13122,"Dickens, IA","Laurens, IA",3,1,0,1,3,0,4,0,0,4,2002
13110,"Dickens, IA","Everly, IA",1,2,1,0,2,2,2,2,0,4,2002
13134,"Dickens, IA","Royal, IA",0,2,2,0,0,4,2,2,0,4,2002
13136,"Dickens, IA","Sanborn, IA",1,1,1,0,2,1,1,2,0,3,2002
13106,"Dickens, IA","Des Moines, IA",2,1,0,0,2,1,2,0,1,3,2002
13142,"Dickens, IA","Sioux Rapids, IA",0,3,0,0,2,1,2,1,0,3,2002
13137,"Dickens, IA","Sheldon, IA",0,2,0,2,0,0,0,2,0,2,2002
13124,"Dickens, IA","Le Mars, IA",1,1,0,1,0,1,0,2,0,2,2002
13132,"Dickens, IA","Peterson, IA",1,1,0,0,0,2,0,2,0,2,2002
13133,"Dickens, IA","Primghar, IA",0,0,2,0,0,2,2,0,0,2,2002
13138,"Dickens, IA","Shenandoah, IA",0,2,0,1,0,1,0,1,1,2,2002
13120,"Dickens, IA","Humboldt, IA",2,0,0,0,2,0,2,0,0,2,2002
13144,"Dickens, IA","Sloan, IA",0,1,1,0,0,2,1,0,1,2,2002
13119,"Dickens, IA","Hawarden, IA",2,0,0,0,0,2,2,0,0,2,2002
13114,"Dickens, IA","Fort Madison, IA",1,1,0,0,1,1,2,0,0,2,2002
13113,"Dickens, IA","Fort Dodge, IA",1,1,0,0,1,1,1,0,1,2,2002
13143,"Dickens, IA","Slater, IA",0,1,0,0,0,1,1,0,0,1,2002
13153,"Dickens, IA","West Bend, IA",0,0,1,0,1,0,0,1,0,1,2002
13140,"Dickens, IA","Sioux Center, IA",1,0,0,0,1,0,1,0,0,1,2002
13139,"Dickens, IA","Sibley, IA",0,1,0,0,1,0,1,0,0,1,2002
13148,"Dickens, IA","Superior, IA",1,0,0,1,0,0,0,1,0,1,2002
13152,"Dickens, IA","Wahpeton, IA",1,0,0,0,1,0,1,0,0,1,2002
13151,"Dickens, IA","Urbandale, IA",0,1,0,1,0,0,0,0,1,1,2002
13150,"Dickens, IA","Truesdale, IA",0,1,0,0,1,0,1,0,0,1,2002
13099,"Dickens, IA","Albert City, IA",0,0,1,0,1,0,0,1,0,1,2002
13131,"Dickens, IA","Paullina, IA",1,0,0,0,0,1,0,1,0,1,2002
13130,"Dickens, IA","Ottumwa, IA",1,0,0,1,0,0,1,0,0,1,2002
13101,"Dickens, IA","Ankeny, IA",0,1,0,0,0,1,0,0,1,1,2002
13103,"Dickens, IA","Curlew, IA",0,1,0,1,0,0,0,0,1,1,2002
13104,"Dickens, IA","Dallas Center, IA",0,0,1,0,0,1,1,0,0,1,2002
13105,"Dickens, IA","Denison, IA",1,0,0,1,0,0,1,0,0,1,2002
13111,"Dickens, IA","Farragut, IA",1,0,0,1,0,0,0,1,0,1,2002
13112,"Dickens, IA","Forest City, IA",0,1,0,0,0,1,0,0,1,1,2002
13115,"Dickens, IA","Fostoria, IA",0,1,0,1,0,0,1,0,0,1,2002
13117,"Dickens, IA","Grinnell, IA",1,0,0,0,1,0,1,0,0,1,2002
13118,"Dickens, IA","Havelock, IA",0,1,0,0,1,0,0,0,1,1,2002
13121,"Dickens, IA","Indianola, IA",0,1,0,0,1,0,0,0,1,1,2002
13123,"Dickens, IA","Lawton, IA",0,1,0,0,1,0,1,0,0,1,2002
13125,"Dickens, IA","Livermore, IA",1,0,0,1,0,0,0,1,0,1,2002
13126,"Dickens, IA","Manson, IA",1,0,0,0,1,0,0,1,0,1,2002
13128,"Dickens, IA","Moville, IA",1,0,0,0,1,0,0,1,0,1,2002
13129,"Dickens, IA","Orange City, IA",1,0,0,0,1,0,0,1,0,1,2002
13154,"Dickens, IA","West Okoboji, IA",1,0,0,0,1,0,1,0,0,1,2002
