,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
19270,"Grant, IA","Red Oak, IA",14,74,8,42,42,12,18,55,23,96,2002
19219,"Grant, IA","Atlantic, IA",19,49,25,28,45,20,29,55,9,93,2002
19234,"Grant, IA","Creston, IA",22,39,8,19,45,5,28,40,1,69,2002
19236,"Grant, IA","Cumberland, IA",4,30,16,1,36,13,21,21,8,50,2002
19247,"Grant, IA","Grant, IA",9,25,14,8,19,21,26,17,5,48,2002
19233,"Grant, IA","Council Bluffs, IA",9,16,5,5,18,7,12,15,3,30,2002
19256,"Grant, IA","Lewis, IA",13,12,2,24,3,0,3,22,2,27,2002
19232,"Grant, IA","Corning, IA",3,17,5,4,15,6,11,13,1,25,2002
19260,"Grant, IA","Nodaway, IA",3,12,9,6,16,2,12,11,1,24,2002
19239,"Grant, IA","Des Moines, IA",6,6,7,3,11,5,7,9,3,19,2002
19258,"Grant, IA","Macedonia, IA",3,10,4,11,2,4,2,9,6,17,2002
19248,"Grant, IA","Greenfield, IA",0,12,3,10,5,0,0,15,0,15,2002
19275,"Grant, IA","Stanton, IA",6,7,1,1,10,3,4,9,1,14,2002
19235,"Grant, IA","Cromwell, IA",4,2,3,2,5,2,4,4,1,9,2002
19254,"Grant, IA","Lenox, IA",1,4,1,4,1,1,0,6,0,6,2002
19281,"Grant, IA","Windsor Heights, IA",1,4,1,0,0,6,3,3,0,6,2002
19229,"Grant, IA","Clive, IA",1,2,2,0,4,1,3,1,1,5,2002
19223,"Grant, IA","Carson, IA",3,2,0,3,0,2,0,5,0,5,2002
19282,"Grant, IA","Winterset, IA",0,4,1,0,5,0,3,0,2,5,2002
19264,"Grant, IA","Osceola, IA",3,0,2,0,5,0,5,0,0,5,2002
19243,"Grant, IA","Exira, IA",1,1,2,0,4,0,2,2,0,4,2002
19263,"Grant, IA","Orient, IA",0,4,0,1,3,0,2,2,0,4,2002
19226,"Grant, IA","Cedar Rapids, IA",3,0,1,0,1,3,4,0,0,4,2002
