,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
20469,"Hardy, IA","Humboldt, IA",10,30,2,16,16,10,13,24,5,42,2002
20460,"Hardy, IA","Dakota City, IA",3,16,5,14,8,2,5,16,3,24,2002
20471,"Hardy, IA","Livermore, IA",6,14,3,5,8,10,8,13,2,23,2002
20464,"Hardy, IA","Fort Dodge, IA",5,12,3,1,10,9,8,11,1,20,2002
20465,"Hardy, IA","Goldfield, IA",2,8,0,3,3,4,4,4,2,10,2002
20484,"Hardy, IA","Webster City, IA",3,2,3,3,4,1,1,7,0,8,2002
20452,"Hardy, IA","Algona, IA",0,6,2,4,4,0,3,3,2,8,2002
20462,"Hardy, IA","Eagle Grove, IA",0,5,2,4,2,1,1,5,1,7,2002
20461,"Hardy, IA","Des Moines, IA",2,4,0,0,5,1,2,1,3,6,2002
20468,"Hardy, IA","Hardy, IA",0,5,0,0,2,3,3,2,0,5,2002
20478,"Hardy, IA","Rutland, IA",0,5,0,3,0,2,2,3,0,5,2002
20483,"Hardy, IA","Urbandale, IA",1,3,0,0,3,1,0,4,0,4,2002
20486,"Hardy, IA","Windsor Heights, IA",2,1,0,0,0,3,2,1,0,3,2002
20479,"Hardy, IA","Sioux City, IA",0,1,1,1,1,0,1,1,0,2,2002
20470,"Hardy, IA","Larrabee, IA",2,0,0,0,0,2,2,0,0,2,2002
20487,"Hardy, IA","Woden, IA",0,0,2,0,2,0,0,2,0,2,2002
20457,"Hardy, IA","Boone, IA",2,0,0,0,0,2,2,0,0,2,2002
20453,"Hardy, IA","Ames, IA",1,1,0,0,2,0,0,2,0,2,2002
20467,"Hardy, IA","Grinnell, IA",1,0,0,0,1,0,1,0,0,1,2002
20485,"Hardy, IA","Westside, IA",1,0,0,0,0,1,1,0,0,1,2002
20454,"Hardy, IA","Ankeny, IA",0,1,0,0,0,1,1,0,0,1,2002
20455,"Hardy, IA","Audubon, IA",1,0,0,0,0,1,1,0,0,1,2002
20482,"Hardy, IA","University Park, IA",0,1,0,0,1,0,1,0,0,1,2002
20481,"Hardy, IA","Titonka, IA",0,1,0,0,0,1,0,1,0,1,2002
20480,"Hardy, IA","Slater, IA",0,1,0,0,0,1,0,0,1,1,2002
20456,"Hardy, IA","Belmond, IA",0,1,0,1,0,0,0,0,1,1,2002
20477,"Hardy, IA","Quimby, IA",0,1,0,0,0,1,0,1,0,1,2002
20466,"Hardy, IA","Gray, IA",0,1,0,1,0,0,0,0,1,1,2002
20476,"Hardy, IA","Otho, IA",1,0,0,0,0,1,0,1,0,1,2002
20475,"Hardy, IA","Oskaloosa, IA",0,1,0,1,0,0,0,1,0,1,2002
20474,"Hardy, IA","Norwalk, IA",0,0,1,0,1,0,0,1,0,1,2002
20473,"Hardy, IA","Manson, IA",1,0,0,0,1,0,1,0,0,1,2002
20472,"Hardy, IA","Lynnville, IA",0,1,0,0,0,1,0,1,0,1,2002
20458,"Hardy, IA","Council Bluffs, IA",0,1,0,0,0,1,1,0,0,1,2002
20459,"Hardy, IA","Crystal Lake, IA",0,1,0,1,0,0,0,1,0,1,2002
20463,"Hardy, IA","Emmetsburg, IA",0,1,0,0,1,0,1,0,0,1,2002
20451,"Hardy, IA","Alden, IA",1,0,0,1,0,0,0,1,0,1,2002
