,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24619,"Kiron, IA","Wall Lake, IA",9,26,11,1,20,25,20,20,6,46,2002
24586,"Kiron, IA","Ida Grove, IA",7,28,3,19,12,7,7,27,4,38,2002
24587,"Kiron, IA","Kiron, IA",13,13,10,5,17,14,23,9,4,36,2002
24578,"Kiron, IA","Denison, IA",5,10,2,7,4,6,4,10,3,17,2002
24608,"Kiron, IA","Sac City, IA",1,7,4,2,7,3,5,7,0,12,2002
24569,"Kiron, IA","Carroll, IA",4,5,1,1,8,1,3,6,1,10,2002
24581,"Kiron, IA","Early, IA",2,4,1,1,1,5,1,6,0,7,2002
24590,"Kiron, IA","Lake View, IA",3,1,3,1,4,2,7,0,0,7,2002
24616,"Kiron, IA","Storm Lake, IA",2,3,0,0,4,1,2,3,0,5,2002
24566,"Kiron, IA","Arthur, IA",2,1,1,2,1,1,4,0,0,4,2002
24577,"Kiron, IA","Danbury, IA",0,4,0,2,2,0,1,3,0,4,2002
24589,"Kiron, IA","Lake City, IA",0,3,1,0,4,0,4,0,0,4,2002
24599,"Kiron, IA","Odebolt, IA",1,2,0,1,2,0,3,0,0,3,2002
24617,"Kiron, IA","Stratford, IA",1,1,1,1,2,0,1,1,1,3,2002
24579,"Kiron, IA","Des Moines, IA",2,1,0,0,3,0,2,0,1,3,2002
24615,"Kiron, IA","Spirit Lake, IA",0,3,0,0,3,0,3,0,0,3,2002
24613,"Kiron, IA","Sioux City, IA",1,1,1,1,2,0,1,0,2,3,2002
24562,"Kiron, IA","Ames, IA",0,1,1,0,2,0,0,1,1,2,2002
24594,"Kiron, IA","Mason City, IA",0,2,0,0,2,0,0,2,0,2,2002
24595,"Kiron, IA","McClelland, IA",0,2,0,1,0,1,0,1,1,2,2002
24610,"Kiron, IA","Sergeant Bluff, IA",0,0,2,0,0,2,0,2,0,2,2002
24609,"Kiron, IA","Schaller, IA",0,1,1,0,2,0,2,0,0,2,2002
24591,"Kiron, IA","Lakeside, IA",1,1,0,1,1,0,1,1,0,2,2002
24561,"Kiron, IA","Altoona, IA",1,0,1,0,0,2,2,0,0,2,2002
24621,"Kiron, IA","West Des Moines, IA",0,2,0,0,1,1,1,0,1,2,2002
24622,"Kiron, IA","Westside, IA",0,2,0,1,1,0,1,0,1,2,2002
24575,"Kiron, IA","Council Bluffs, IA",1,1,0,0,0,2,1,0,1,2,2002
24563,"Kiron, IA","Ankeny, IA",0,1,1,0,1,1,2,0,0,2,2002
24573,"Kiron, IA","Clive, IA",1,1,0,0,2,0,1,0,1,2,2002
24564,"Kiron, IA","Arcadia, IA",0,2,0,1,0,1,0,2,0,2,2002
24583,"Kiron, IA","Fort Dodge, IA",1,1,0,0,0,2,1,1,0,2,2002
24568,"Kiron, IA","Audubon, IA",0,1,1,1,0,1,1,1,0,2,2002
24606,"Kiron, IA","Randall, IA",0,1,0,0,1,0,0,1,0,1,2002
24607,"Kiron, IA","Red Oak, IA",0,1,0,0,1,0,0,1,0,1,2002
24623,"Kiron, IA","Windsor Heights, IA",1,0,0,0,1,0,1,0,0,1,2002
24614,"Kiron, IA","Spencer, IA",1,0,0,0,0,1,1,0,0,1,2002
24620,"Kiron, IA","Walnut, IA",0,1,0,0,1,0,0,1,0,1,2002
24611,"Kiron, IA","Sheldon, IA",0,1,0,0,0,1,0,1,0,1,2002
24618,"Kiron, IA","Titonka, IA",1,0,0,0,0,1,1,0,0,1,2002
24612,"Kiron, IA","Sioux Center, IA",0,0,1,0,0,1,1,0,0,1,2002
24604,"Kiron, IA","Pleasant Hill, IA",1,0,0,0,0,1,1,0,0,1,2002
24605,"Kiron, IA","Quimby, IA",0,1,0,1,0,0,0,1,0,1,2002
24593,"Kiron, IA","Marshalltown, IA",0,1,0,1,0,0,0,0,1,1,2002
