,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39363,"Prairie City, IA","Des Moines, IA",31,80,8,12,88,19,14,62,43,119,2002
39389,"Prairie City, IA","Newton, IA",21,59,13,50,40,3,22,34,37,93,2002
39356,"Prairie City, IA","Colfax, IA",17,32,17,12,31,23,37,24,5,66,2002
39395,"Prairie City, IA","Prairie City, IA",6,35,10,3,36,12,21,18,12,51,2002
39344,"Prairie City, IA","Ankeny, IA",8,19,1,10,8,10,8,13,7,28,2002
39355,"Prairie City, IA","Clive, IA",8,13,4,3,16,6,7,13,5,25,2002
39403,"Prairie City, IA","Urbandale, IA",6,9,4,3,10,6,5,13,1,19,2002
39406,"Prairie City, IA","West Des Moines, IA",3,10,4,8,7,2,2,9,6,17,2002
39384,"Prairie City, IA","Mitchellville, IA",4,12,1,2,15,0,9,6,2,17,2002
39408,"Prairie City, IA","Windsor Heights, IA",7,5,3,2,10,3,4,8,3,15,2002
39342,"Prairie City, IA","Altoona, IA",6,5,4,5,10,0,6,8,1,15,2002
39369,"Prairie City, IA","Grinnell, IA",4,6,1,2,6,3,7,4,0,11,2002
39390,"Prairie City, IA","Norwalk, IA",3,4,2,0,9,0,2,6,1,9,2002
39393,"Prairie City, IA","Pleasant Hill, IA",1,6,2,5,4,0,2,3,4,9,2002
39396,"Prairie City, IA","Reasnor, IA",2,6,0,0,7,1,1,6,1,8,2002
39385,"Prairie City, IA","Monroe, IA",1,7,0,2,4,2,5,2,1,8,2002
39373,"Prairie City, IA","Johnston, IA",3,3,2,0,4,4,2,3,3,8,2002
39343,"Prairie City, IA","Ames, IA",5,2,0,2,1,4,4,2,1,7,2002
39339,"Prairie City, IA","Afton, IA",2,1,3,2,2,2,0,4,2,6,2002
39349,"Prairie City, IA","Boone, IA",3,2,1,1,5,0,3,3,0,6,2002
39358,"Prairie City, IA","Council Bluffs, IA",3,1,0,0,3,1,2,0,2,4,2002
39370,"Prairie City, IA","Harvey, IA",0,4,0,4,0,0,1,3,0,4,2002
39405,"Prairie City, IA","Waukee, IA",1,3,0,2,0,2,1,1,2,4,2002
39401,"Prairie City, IA","Swan, IA",2,2,0,4,0,0,0,4,0,4,2002
39399,"Prairie City, IA","Runnells, IA",0,2,2,2,2,0,2,2,0,4,2002
39391,"Prairie City, IA","Ottumwa, IA",0,2,2,1,1,2,1,3,0,4,2002
39341,"Prairie City, IA","Allison, IA",1,2,0,0,3,0,1,0,2,3,2002
39347,"Prairie City, IA","Baxter, IA",1,2,0,0,3,0,2,1,0,3,2002
39348,"Prairie City, IA","Bettendorf, IA",1,2,0,0,3,0,2,1,0,3,2002
39375,"Prairie City, IA","Knoxville, IA",2,1,0,1,1,1,1,0,2,3,2002
39383,"Prairie City, IA","Melcher-Dallas, IA",3,0,0,3,0,0,0,2,1,3,2002
39361,"Prairie City, IA","Davenport, IA",0,2,1,0,0,3,1,1,1,3,2002
39381,"Prairie City, IA","Marshalltown, IA",1,1,0,2,0,0,0,2,0,2,2002
39402,"Prairie City, IA","Tiffin, IA",0,2,0,0,0,2,0,2,0,2,2002
39371,"Prairie City, IA","Indianola, IA",0,2,0,0,0,2,1,1,0,2,2002
39359,"Prairie City, IA","Creston, IA",0,0,2,0,1,1,0,1,1,2,2002
39392,"Prairie City, IA","Pella, IA",0,2,0,1,1,0,2,0,0,2,2002
39380,"Prairie City, IA","Lynnville, IA",0,1,1,0,1,1,0,2,0,2,2002
39366,"Prairie City, IA","Fort Dodge, IA",1,0,1,0,0,2,1,1,0,2,2002
39360,"Prairie City, IA","Dallas Center, IA",1,1,0,0,0,2,2,0,0,2,2002
39362,"Prairie City, IA","Denison, IA",1,0,0,1,0,0,1,0,0,1,2002
39400,"Prairie City, IA","Sergeant Bluff, IA",0,1,0,0,1,0,0,0,1,1,2002
39345,"Prairie City, IA","Asbury, IA",0,0,1,0,0,1,0,0,1,1,2002
39404,"Prairie City, IA","Waterloo, IA",0,1,0,0,0,1,1,0,0,1,2002
39357,"Prairie City, IA","Colo, IA",0,1,0,0,0,1,1,0,0,1,2002
39398,"Prairie City, IA","Rhodes, IA",0,0,1,0,0,1,0,1,0,1,2002
39397,"Prairie City, IA","Red Oak, IA",1,0,0,0,1,0,0,1,0,1,2002
39346,"Prairie City, IA","Bancroft, IA",0,1,0,0,1,0,0,0,1,1,2002
39364,"Prairie City, IA","Dubuque, IA",0,0,1,0,0,1,0,0,1,1,2002
39394,"Prairie City, IA","Pleasantville, IA",0,1,0,1,0,0,0,1,0,1,2002
39407,"Prairie City, IA","Whitten, IA",1,0,0,0,1,0,1,0,0,1,2002
39365,"Prairie City, IA","Eagle Grove, IA",0,1,0,0,0,1,1,0,0,1,2002
39354,"Prairie City, IA","Clarksville, IA",0,1,0,0,1,0,0,1,0,1,2002
39350,"Prairie City, IA","Bussey, IA",0,1,0,0,0,1,0,0,1,1,2002
39367,"Prairie City, IA","Goldfield, IA",0,1,0,0,0,1,0,1,0,1,2002
39388,"Prairie City, IA","New Sharon, IA",0,1,0,0,0,1,0,1,0,1,2002
39387,"Prairie City, IA","Murray, IA",0,1,0,0,1,0,0,0,1,1,2002
39386,"Prairie City, IA","Mount Ayr, IA",1,0,0,0,0,1,0,1,0,1,2002
39351,"Prairie City, IA","Casey, IA",1,0,0,0,0,1,1,0,0,1,2002
39352,"Prairie City, IA","Cedar Falls, IA",0,0,1,0,0,1,0,0,1,1,2002
39382,"Prairie City, IA","Maxwell, IA",1,0,0,0,1,0,1,0,0,1,2002
39379,"Prairie City, IA","Lorimor, IA",0,1,0,1,0,0,0,0,1,1,2002
39378,"Prairie City, IA","Lockridge, IA",0,0,1,1,0,0,1,0,0,1,2002
39377,"Prairie City, IA","Lenox, IA",1,0,0,1,0,0,0,1,0,1,2002
39376,"Prairie City, IA","Lambs Grove, IA",1,0,0,0,1,0,1,0,0,1,2002
39368,"Prairie City, IA","Grimes, IA",0,1,0,1,0,0,1,0,0,1,2002
39340,"Prairie City, IA","Albia, IA",0,1,0,0,1,0,1,0,0,1,2002
39353,"Prairie City, IA","Clarinda, IA",1,0,0,0,1,0,0,1,0,1,2002
39372,"Prairie City, IA","Iowa City, IA",1,0,0,0,1,0,1,0,0,1,2002
39374,"Prairie City, IA","Keokuk, IA",1,0,0,0,0,1,0,0,1,1,2002
