,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
40247,"Raymond, IA","Waterloo, IA",104,335,80,110,302,107,141,290,88,519,2002
40216,"Raymond, IA","Elk Run Heights, IA",19,105,12,106,24,6,21,54,61,136,2002
40203,"Raymond, IA","Cedar Falls, IA",32,80,10,32,68,22,42,55,25,122,2002
40217,"Raymond, IA","Evansdale, IA",16,44,12,31,16,25,24,41,7,72,2002
40238,"Raymond, IA","Raymond, IA",7,13,1,0,7,14,9,7,5,21,2002
40211,"Raymond, IA","Des Moines, IA",6,15,0,1,18,2,3,15,3,21,2002
40248,"Raymond, IA","Waverly, IA",5,7,1,3,7,3,6,5,2,13,2002
40225,"Raymond, IA","Jesup, IA",6,6,1,12,1,0,4,8,1,13,2002
40224,"Raymond, IA","Independence, IA",1,9,2,5,7,0,1,9,2,12,2002
40201,"Raymond, IA","Ankeny, IA",5,2,3,5,1,4,3,2,5,10,2002
40205,"Raymond, IA","Clive, IA",4,4,0,0,2,6,6,1,1,8,2002
40210,"Raymond, IA","Denver, IA",4,4,0,4,3,1,2,3,3,8,2002
40222,"Raymond, IA","Hampton, IA",0,7,0,0,7,0,1,5,1,7,2002
40227,"Raymond, IA","Mason City, IA",2,5,0,0,5,2,0,4,3,7,2002
40200,"Raymond, IA","Ames, IA",6,1,0,0,4,3,6,1,0,7,2002
40235,"Raymond, IA","Oelwein, IA",1,3,2,1,3,2,0,3,3,6,2002
40215,"Raymond, IA","Eldridge, IA",3,2,1,2,4,0,1,1,4,6,2002
40204,"Raymond, IA","Charles City, IA",5,1,0,1,4,1,6,0,0,6,2002
40206,"Raymond, IA","Council Bluffs, IA",3,2,0,3,1,1,2,3,0,5,2002
40219,"Raymond, IA","Fort Dodge, IA",3,2,0,1,1,3,2,3,0,5,2002
40220,"Raymond, IA","Grundy Center, IA",3,1,0,0,4,0,0,1,3,4,2002
40213,"Raymond, IA","Dunkerton, IA",1,2,1,0,4,0,1,3,0,4,2002
40208,"Raymond, IA","Davenport, IA",1,1,2,0,4,0,1,1,2,4,2002
40234,"Raymond, IA","Norwalk, IA",2,1,0,0,1,2,2,1,0,3,2002
40207,"Raymond, IA","Crystal Lake, IA",0,0,3,0,0,3,3,0,0,3,2002
40251,"Raymond, IA","West Union, IA",3,0,0,0,3,0,3,0,0,3,2002
40252,"Raymond, IA","Windsor Heights, IA",1,1,1,0,3,0,2,1,0,3,2002
40245,"Raymond, IA","Toledo, IA",1,0,1,0,2,0,0,2,0,2,2002
40229,"Raymond, IA","Morrison, IA",1,1,0,1,1,0,0,0,2,2,2002
40226,"Raymond, IA","La Porte City, IA",1,1,0,0,2,0,1,0,1,2,2002
40212,"Raymond, IA","Dike, IA",0,1,1,0,1,1,0,2,0,2,2002
40228,"Raymond, IA","Mitchellville, IA",1,0,0,0,1,0,1,0,0,1,2002
40230,"Raymond, IA","Mount Auburn, IA",1,0,0,0,1,0,1,0,0,1,2002
40202,"Raymond, IA","Bettendorf, IA",0,0,1,0,1,0,0,1,0,1,2002
40250,"Raymond, IA","West Des Moines, IA",0,1,0,0,1,0,0,0,1,1,2002
40249,"Raymond, IA","Wellsburg, IA",1,0,0,0,0,1,1,0,0,1,2002
40209,"Raymond, IA","Decorah, IA",1,0,0,0,1,0,1,0,0,1,2002
40246,"Raymond, IA","Urbandale, IA",0,1,0,0,0,1,0,1,0,1,2002
40214,"Raymond, IA","Dysart, IA",0,1,0,0,1,0,1,0,0,1,2002
40244,"Raymond, IA","Stacyville, IA",1,0,0,0,1,0,0,1,0,1,2002
40243,"Raymond, IA","Spirit Lake, IA",0,0,1,0,0,1,1,0,0,1,2002
40242,"Raymond, IA","Sioux City, IA",1,0,0,0,0,1,0,1,0,1,2002
40241,"Raymond, IA","Shell Rock, IA",0,1,0,0,0,1,0,1,0,1,2002
40240,"Raymond, IA","Sergeant Bluff, IA",0,1,0,0,0,1,1,0,0,1,2002
40239,"Raymond, IA","Reinbeck, IA",0,1,0,0,1,0,0,1,0,1,2002
40218,"Raymond, IA","Floyd, IA",0,1,0,0,1,0,1,0,0,1,2002
40237,"Raymond, IA","Pleasant Hill, IA",0,1,0,0,1,0,1,0,0,1,2002
40236,"Raymond, IA","Parkersburg, IA",1,0,0,0,1,0,0,1,0,1,2002
40221,"Raymond, IA","Guttenberg, IA",0,1,0,0,1,0,1,0,0,1,2002
40223,"Raymond, IA","Hanlontown, IA",0,1,0,0,0,1,1,0,0,1,2002
40233,"Raymond, IA","Nora Springs, IA",0,1,0,0,1,0,1,0,0,1,2002
40232,"Raymond, IA","New Hampton, IA",0,1,0,1,0,0,0,0,1,1,2002
40231,"Raymond, IA","Nashua, IA",1,0,0,0,1,0,0,1,0,1,2002
40199,"Raymond, IA","Allison, IA",1,0,0,1,0,0,1,0,0,1,2002
