,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
46890,"Swan, IA","Des Moines, IA",57,233,41,53,228,50,37,174,120,331,2002
46936,"Swan, IA","Newton, IA",18,49,13,52,25,3,18,33,29,80,2002
46969,"Swan, IA","West Des Moines, IA",6,36,6,21,13,14,11,19,18,48,2002
46911,"Swan, IA","Indianola, IA",12,22,8,12,28,2,18,24,0,42,2002
46877,"Swan, IA","Clive, IA",12,27,2,2,36,3,11,17,13,41,2002
46945,"Swan, IA","Prairie City, IA",16,17,7,6,23,11,19,17,4,40,2002
46870,"Swan, IA","Cedar Rapids, IA",18,17,3,4,12,22,12,13,13,38,2002
46878,"Swan, IA","Colfax, IA",13,21,4,6,22,10,15,21,2,38,2002
46867,"Swan, IA","Carlisle, IA",5,20,12,6,23,8,16,17,4,37,2002
46964,"Swan, IA","Urbandale, IA",9,19,3,4,13,14,8,14,9,31,2002
46858,"Swan, IA","Ankeny, IA",6,20,4,7,14,9,5,17,8,30,2002
46965,"Swan, IA","Waterloo, IA",16,11,2,6,13,10,11,7,11,29,2002
46856,"Swan, IA","Altoona, IA",10,12,5,3,19,5,7,13,7,27,2002
46938,"Swan, IA","Norwalk, IA",6,10,10,6,18,2,9,6,11,26,2002
46908,"Swan, IA","Hiawatha, IA",15,7,0,0,13,9,12,9,1,22,2002
46942,"Swan, IA","Pleasant Hill, IA",4,8,8,9,1,10,2,15,3,20,2002
46912,"Swan, IA","Iowa City, IA",16,2,0,0,8,10,14,4,0,18,2002
46857,"Swan, IA","Ames, IA",6,6,5,3,8,6,6,6,5,17,2002
46971,"Swan, IA","Windsor Heights, IA",7,8,1,2,12,2,7,7,2,16,2002
46894,"Swan, IA","Elk Run Heights, IA",1,10,4,14,1,0,3,8,4,15,2002
46958,"Swan, IA","Swan, IA",5,6,2,6,5,2,7,4,2,13,2002
46924,"Swan, IA","Mason City, IA",3,4,6,0,6,7,3,5,5,13,2002
46869,"Swan, IA","Cedar Falls, IA",5,3,1,1,2,6,4,5,0,9,2002
46968,"Swan, IA","West Burlington, IA",2,7,0,0,0,9,3,5,1,9,2002
46928,"Swan, IA","Mitchellville, IA",2,4,3,3,4,2,3,5,1,9,2002
46913,"Swan, IA","Johnston, IA",3,6,0,0,5,4,1,4,4,9,2002
46851,"Swan, IA","Ackworth, IA",1,6,2,2,7,0,3,6,0,9,2002
46880,"Swan, IA","Coralville, IA",5,3,0,0,4,4,5,2,1,8,2002
46906,"Swan, IA","Harvey, IA",0,8,0,6,1,1,2,5,1,8,2002
46966,"Swan, IA","Waukee, IA",2,5,1,0,5,3,1,7,0,8,2002
46939,"Swan, IA","Ottumwa, IA",2,4,2,2,2,4,3,4,1,8,2002
46962,"Swan, IA","University Heights, IA",8,0,0,0,8,0,8,0,0,8,2002
46896,"Swan, IA","Fairfax, IA",3,3,2,0,3,5,4,4,0,8,2002
46951,"Swan, IA","Robins, IA",5,2,0,2,2,3,4,2,1,7,2002
46948,"Swan, IA","Reasnor, IA",1,6,0,0,6,1,0,5,2,7,2002
46923,"Swan, IA","Marshalltown, IA",3,3,0,1,2,3,1,5,0,6,2002
46932,"Swan, IA","Mount Pleasant, IA",1,5,0,0,0,6,1,3,2,6,2002
46943,"Swan, IA","Pleasantville, IA",2,3,1,0,5,1,3,1,2,6,2002
46915,"Swan, IA","Knoxville, IA",1,3,1,2,1,2,0,2,3,5,2002
46929,"Swan, IA","Monroe, IA",2,3,0,0,2,3,4,1,0,5,2002
46940,"Swan, IA","Pella, IA",1,4,0,0,4,1,1,3,1,5,2002
46860,"Swan, IA","Baxter, IA",1,2,2,0,5,0,3,0,2,5,2002
46925,"Swan, IA","Melcher-Dallas, IA",4,1,0,4,0,1,1,3,1,5,2002
46889,"Swan, IA","Denison, IA",2,3,0,0,5,0,2,1,2,5,2002
46887,"Swan, IA","Davenport, IA",2,2,0,0,3,1,3,1,0,4,2002
46956,"Swan, IA","Spring Hill, IA",1,2,1,0,1,3,3,0,1,4,2002
46926,"Swan, IA","Meriden, IA",3,1,0,0,1,3,1,3,0,4,2002
46952,"Swan, IA","Runnells, IA",0,2,2,1,1,2,2,1,1,4,2002
46882,"Swan, IA","Council Bluffs, IA",2,0,1,0,0,3,0,3,0,3,2002
46855,"Swan, IA","Allison, IA",0,2,1,0,3,0,0,2,1,3,2002
46883,"Swan, IA","Creston, IA",1,0,2,0,1,2,3,0,0,3,2002
46967,"Swan, IA","Waverly, IA",1,1,0,0,1,1,2,0,0,2,2002
46853,"Swan, IA","Albia, IA",0,2,0,0,1,1,1,1,0,2,2002
46863,"Swan, IA","Blairstown, IA",0,2,0,2,0,0,0,0,2,2,2002
46854,"Swan, IA","Algona, IA",1,1,0,0,0,2,0,2,0,2,2002
46937,"Swan, IA","North Liberty, IA",2,0,0,0,2,0,2,0,0,2,2002
46941,"Swan, IA","Perry, IA",1,0,1,0,0,2,1,1,0,2,2002
46873,"Swan, IA","Cherokee, IA",2,0,0,0,2,0,1,1,0,2,2002
46944,"Swan, IA","Polk City, IA",0,2,0,0,2,0,0,2,0,2,2002
46876,"Swan, IA","Clear Lake, IA",0,2,0,0,0,2,0,1,1,2,2002
46921,"Swan, IA","Lynnville, IA",1,1,0,0,0,2,0,1,1,2,2002
46895,"Swan, IA","Ely, IA",1,1,0,2,0,0,1,1,0,2,2002
46868,"Swan, IA","Carroll, IA",2,0,0,2,0,0,0,0,2,2,2002
46904,"Swan, IA","Grimes, IA",1,1,0,1,0,1,1,1,0,2,2002
46905,"Swan, IA","Grinnell, IA",1,1,0,0,2,0,0,2,0,2,2002
46852,"Swan, IA","Afton, IA",1,0,0,0,0,1,1,0,0,1,2002
46892,"Swan, IA","Durant, IA",0,1,0,0,0,1,0,0,1,1,2002
46859,"Swan, IA","Asbury, IA",1,0,0,0,0,1,0,1,0,1,2002
46946,"Swan, IA","Primghar, IA",0,1,0,0,1,0,0,1,0,1,2002
46947,"Swan, IA","Quimby, IA",0,1,0,0,1,0,0,0,1,1,2002
46949,"Swan, IA","Red Oak, IA",0,1,0,0,1,0,0,1,0,1,2002
46950,"Swan, IA","Redfield, IA",0,1,0,1,0,0,0,1,0,1,2002
46893,"Swan, IA","Eldridge, IA",0,1,0,0,0,1,0,1,0,1,2002
