,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51857,"West Point, IA","Fort Madison, IA",25,111,34,52,94,24,47,72,51,170,2002
51847,"West Point, IA","Burlington, IA",25,73,17,49,40,26,39,51,25,115,2002
51876,"West Point, IA","West Burlington, IA",12,40,8,16,26,18,20,20,20,60,2002
51865,"West Point, IA","Mount Pleasant, IA",6,12,0,5,9,4,4,8,6,18,2002
51863,"West Point, IA","Middletown, IA",0,9,5,13,0,1,0,10,4,14,2002
51861,"West Point, IA","Keokuk, IA",3,9,2,5,7,2,7,4,3,14,2002
51853,"West Point, IA","Donnellson, IA",0,6,3,0,8,1,5,3,1,9,2002
51860,"West Point, IA","Iowa City, IA",5,0,2,0,4,3,5,2,0,7,2002
51879,"West Point, IA","Williamsburg, IA",4,2,1,0,5,2,1,3,3,7,2002
51851,"West Point, IA","Davenport, IA",2,3,2,0,3,4,4,2,1,7,2002
51878,"West Point, IA","West Point, IA",3,2,2,1,0,6,2,3,2,7,2002
51868,"West Point, IA","Ottumwa, IA",2,3,0,1,4,0,3,2,0,5,2002
51874,"West Point, IA","University Heights, IA",3,0,1,1,3,0,3,0,1,4,2002
51846,"West Point, IA","Bettendorf, IA",2,2,0,0,2,2,3,1,0,4,2002
51856,"West Point, IA","Fort Dodge, IA",2,1,0,1,2,0,2,1,0,3,2002
51850,"West Point, IA","Danville, IA",1,1,1,0,3,0,2,1,0,3,2002
51849,"West Point, IA","Coralville, IA",2,0,0,0,0,2,2,0,0,2,2002
51864,"West Point, IA","Montrose, IA",0,2,0,0,2,0,1,1,0,2,2002
51867,"West Point, IA","New London, IA",0,1,1,1,1,0,0,2,0,2,2002
51866,"West Point, IA","Muscatine, IA",2,0,0,0,0,2,0,2,0,2,2002
51872,"West Point, IA","St. Paul, IA",1,1,0,2,0,0,1,1,0,2,2002
51858,"West Point, IA","Franklin, IA",0,2,0,0,1,1,1,0,1,2,2002
51873,"West Point, IA","Tipton, IA",0,1,0,0,0,1,0,0,1,1,2002
51871,"West Point, IA","Sioux City, IA",0,0,1,0,0,1,0,0,1,1,2002
51875,"West Point, IA","Urbandale, IA",0,1,0,0,1,0,1,0,0,1,2002
51877,"West Point, IA","West Des Moines, IA",0,1,0,1,0,0,0,1,0,1,2002
51844,"West Point, IA","Ames, IA",1,0,0,0,1,0,1,0,0,1,2002
51870,"West Point, IA","Silver City, IA",0,1,0,0,0,1,1,0,0,1,2002
51869,"West Point, IA","Oxford, IA",0,0,1,0,0,1,0,0,1,1,2002
51845,"West Point, IA","Ankeny, IA",1,0,0,0,0,1,1,0,0,1,2002
51859,"West Point, IA","Grinnell, IA",0,0,1,0,0,1,1,0,0,1,2002
51855,"West Point, IA","Floris, IA",1,0,0,0,1,0,1,0,0,1,2002
51854,"West Point, IA","Farmington, IA",0,1,0,0,0,1,0,0,1,1,2002
51852,"West Point, IA","Des Moines, IA",0,1,0,0,1,0,1,0,0,1,2002
51848,"West Point, IA","Clive, IA",0,1,0,0,1,0,1,0,0,1,2002
51862,"West Point, IA","Knoxville, IA",1,0,0,0,0,1,1,0,0,1,2002
