,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
53050,"Winterset, IA","Winterset, IA",219,573,241,134,740,159,385,467,181,1033,2002
52972,"Winterset, IA","Des Moines, IA",71,177,29,28,212,37,36,135,106,277,2002
52963,"Winterset, IA","Clive, IA",38,92,16,7,121,18,34,69,43,146,2002
53048,"Winterset, IA","West Des Moines, IA",24,54,8,41,30,15,12,48,26,86,2002
53043,"Winterset, IA","Urbandale, IA",21,41,5,14,31,22,16,34,17,67,2002
53049,"Winterset, IA","Windsor Heights, IA",21,23,9,8,28,17,17,27,9,53,2002
53047,"Winterset, IA","Waukee, IA",10,35,7,15,23,14,9,23,20,52,2002
53022,"Winterset, IA","Patterson, IA",9,31,9,29,13,7,15,27,7,49,2002
52973,"Winterset, IA","Dexter, IA",16,23,7,22,13,11,19,18,9,46,2002
52970,"Winterset, IA","De Soto, IA",7,16,7,16,13,1,10,16,4,30,2002
52948,"Winterset, IA","Ames, IA",7,22,0,0,21,8,11,10,8,29,2002
52979,"Winterset, IA","Grimes, IA",14,13,0,23,2,2,0,12,15,27,2002
52950,"Winterset, IA","Ankeny, IA",7,15,1,8,6,9,8,9,6,23,2002
53013,"Winterset, IA","Norwalk, IA",18,4,0,1,17,4,7,13,2,22,2002
52987,"Winterset, IA","Johnston, IA",3,12,1,1,8,7,1,7,8,16,2002
52969,"Winterset, IA","Davenport, IA",7,7,1,0,8,7,3,9,3,15,2002
52985,"Winterset, IA","Indianola, IA",4,8,3,0,12,3,3,11,1,15,2002
52975,"Winterset, IA","East Peru, IA",10,5,0,7,7,1,5,7,3,15,2002
52957,"Winterset, IA","Cedar Rapids, IA",10,4,1,0,0,15,6,3,6,15,2002
53017,"Winterset, IA","Osceola, IA",4,6,2,4,5,3,4,5,3,12,2002
53046,"Winterset, IA","Waterloo, IA",8,3,1,0,1,11,8,2,2,12,2002
52953,"Winterset, IA","Boone, IA",7,3,2,0,1,11,7,4,1,12,2002
53041,"Winterset, IA","University Park, IA",4,6,1,1,3,7,4,4,3,11,2002
52980,"Winterset, IA","Grinnell, IA",2,1,7,4,3,3,1,6,3,10,2002
52943,"Winterset, IA","Adel, IA",0,9,1,2,7,1,1,5,4,10,2002
52965,"Winterset, IA","Council Bluffs, IA",6,3,0,3,0,6,4,5,0,9,2002
52962,"Winterset, IA","Clio, IA",2,3,4,3,3,3,0,8,1,9,2002
52946,"Winterset, IA","Allison, IA",1,5,3,0,9,0,2,5,2,9,2002
52956,"Winterset, IA","Cedar Falls, IA",4,4,1,0,4,5,2,2,5,9,2002
53032,"Winterset, IA","Sioux City, IA",2,5,1,0,2,6,4,3,1,8,2002
53038,"Winterset, IA","Stuart, IA",2,3,3,8,0,0,2,6,0,8,2002
52989,"Winterset, IA","Knoxville, IA",2,4,2,0,3,5,4,3,1,8,2002
53035,"Winterset, IA","Spring Hill, IA",0,5,1,1,5,0,2,4,0,6,2002
52942,"Winterset, IA","Adair, IA",1,4,1,4,2,0,0,4,2,6,2002
