,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41,"Ackworth, IA","Ackworth, IA",3,20,7,2,26,2,16,12,2,30,2002
52,"Ackworth, IA","Indianola, IA",7,14,0,2,19,0,1,17,3,21,2002
65,"Ackworth, IA","St. Marys, IA",2,8,9,0,18,1,12,7,0,19,2002
63,"Ackworth, IA","Sandyville, IA",1,10,2,1,12,0,6,7,0,13,2002
54,"Ackworth, IA","Lacona, IA",1,9,1,1,9,1,7,4,0,11,2002
66,"Ackworth, IA","Swan, IA",1,6,2,2,7,0,3,6,0,9,2002
51,"Ackworth, IA","Des Moines, IA",3,5,0,0,6,2,1,7,0,8,2002
61,"Ackworth, IA","Russell, IA",0,4,0,0,4,0,0,3,1,4,2002
55,"Ackworth, IA","Melcher-Dallas, IA",0,4,0,0,4,0,3,1,0,4,2002
48,"Ackworth, IA","Carlisle, IA",0,3,0,0,3,0,1,2,0,3,2002
59,"Ackworth, IA","Pleasantville, IA",2,1,0,0,3,0,1,2,0,3,2002
53,"Ackworth, IA","Knoxville, IA",0,3,0,0,3,0,1,1,1,3,2002
58,"Ackworth, IA","Pleasant Hill, IA",0,2,0,0,2,0,0,1,1,2,2002
70,"Ackworth, IA","West Des Moines, IA",1,1,0,0,2,0,1,1,0,2,2002
68,"Ackworth, IA","Urbandale, IA",0,2,0,0,2,0,0,1,1,2,2002
71,"Ackworth, IA","Windsor Heights, IA",0,2,0,0,1,1,0,1,1,2,2002
44,"Ackworth, IA","Belle Plaine, IA",0,2,0,0,2,0,0,1,1,2,2002
57,"Ackworth, IA","Newton, IA",0,1,0,0,1,0,1,0,0,1,2002
42,"Ackworth, IA","Ames, IA",0,1,0,0,1,0,0,1,0,1,2002
50,"Ackworth, IA","Clio, IA",0,0,1,0,1,0,0,0,1,1,2002
60,"Ackworth, IA","Prairieburg, IA",1,0,0,0,1,0,1,0,0,1,2002
49,"Ackworth, IA","Chariton, IA",0,1,0,0,1,0,1,0,0,1,2002
62,"Ackworth, IA","Salem, IA",1,0,0,0,1,0,0,0,1,1,2002
47,"Ackworth, IA","Cantril, IA",0,1,0,1,0,0,1,0,0,1,2002
64,"Ackworth, IA","Spring Hill, IA",0,0,1,0,1,0,1,0,0,1,2002
46,"Ackworth, IA","Burlington, IA",1,0,0,0,1,0,0,1,0,1,2002
45,"Ackworth, IA","Boone, IA",0,1,0,0,1,0,0,1,0,1,2002
67,"Ackworth, IA","Tiffin, IA",0,1,0,0,1,0,1,0,0,1,2002
69,"Ackworth, IA","Waukee, IA",0,1,0,1,0,0,0,1,0,1,2002
43,"Ackworth, IA","Ankeny, IA",0,1,0,0,0,1,0,1,0,1,2002
56,"Ackworth, IA","Moravia, IA",1,0,0,1,0,0,0,1,0,1,2002
