,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
944,"Allison, IA","Allison, IA",32,98,34,13,127,24,71,71,22,164,2002
1046,"Allison, IA","Parkersburg, IA",27,79,18,6,103,15,39,73,12,124,2002
946,"Allison, IA","Ames, IA",26,63,16,0,105,0,20,55,30,105,2002
988,"Allison, IA","Greene, IA",15,36,18,8,51,10,30,23,16,69,2002
963,"Allison, IA","Clarksville, IA",10,29,15,6,38,10,24,27,3,54,2002
1070,"Allison, IA","Shell Rock, IA",12,30,3,2,34,9,17,24,4,45,2002
964,"Allison, IA","Clive, IA",2,31,8,0,41,0,1,20,20,41,2002
953,"Allison, IA","Bristow, IA",9,24,2,3,30,2,18,16,1,35,2002
1040,"Allison, IA","Newton, IA",5,23,4,0,32,0,5,18,9,32,2002
1008,"Allison, IA","Knoxville, IA",6,14,10,0,30,0,12,11,7,30,2002
947,"Allison, IA","Ankeny, IA",7,20,1,0,28,0,0,7,21,28,2002
1001,"Allison, IA","Indianola, IA",5,19,3,0,26,1,9,15,3,27,2002
1084,"Allison, IA","Urbandale, IA",8,13,3,0,24,0,0,13,11,24,2002
1091,"Allison, IA","West Des Moines, IA",5,14,3,0,22,0,0,13,9,22,2002
952,"Allison, IA","Boone, IA",2,17,2,0,21,0,0,14,7,21,2002
1049,"Allison, IA","Pella, IA",7,13,0,0,20,0,5,11,4,20,2002
1094,"Allison, IA","Windsor Heights, IA",1,13,5,0,19,0,0,11,8,19,2002
1087,"Allison, IA","Waukee, IA",2,9,7,0,18,0,1,12,5,18,2002
945,"Allison, IA","Altoona, IA",7,8,1,0,16,0,0,15,1,16,2002
1089,"Allison, IA","Waverly, IA",5,3,7,0,9,6,1,4,10,15,2002
1052,"Allison, IA","Pleasant Hill, IA",2,12,0,0,14,0,0,8,6,14,2002
972,"Allison, IA","Dougherty, IA",2,8,4,0,13,1,6,6,2,14,2002
1042,"Allison, IA","Norwalk, IA",1,7,5,0,12,1,3,4,6,13,2002
971,"Allison, IA","Dexter, IA",4,6,1,0,11,0,4,3,4,11,2002
962,"Allison, IA","Charles City, IA",5,6,0,1,8,2,4,6,1,11,2002
990,"Allison, IA","Grinnell, IA",0,7,4,0,11,0,7,1,3,11,2002
1050,"Allison, IA","Perry, IA",1,7,2,0,10,0,0,6,4,10,2002
1077,"Allison, IA","Story City, IA",2,7,1,0,10,0,1,7,2,10,2002
1036,"Allison, IA","Nevada, IA",2,6,2,0,10,0,5,5,0,10,2002
957,"Allison, IA","Carlisle, IA",1,6,3,0,9,1,0,6,4,10,2002
1095,"Allison, IA","Winterset, IA",1,5,3,0,9,0,2,5,2,9,2002
1055,"Allison, IA","Polk City, IA",2,5,2,0,9,0,0,6,3,9,2002
1025,"Allison, IA","Mason City, IA",0,8,0,1,7,0,3,5,0,8,2002
1005,"Allison, IA","Johnston, IA",2,4,2,0,8,0,0,5,3,8,2002
1022,"Allison, IA","Marengo, IA",3,2,3,0,8,0,1,7,0,8,2002
1064,"Allison, IA","Rockford, IA",1,3,4,1,3,4,5,1,2,8,2002
965,"Allison, IA","Colfax, IA",1,7,0,0,8,0,1,4,3,8,2002
989,"Allison, IA","Grimes, IA",1,5,2,0,8,0,0,8,0,8,2002
1018,"Allison, IA","Lynnville, IA",1,5,1,0,7,0,0,4,3,7,2002
1053,"Allison, IA","Pleasantville, IA",1,4,2,0,7,0,3,1,3,7,2002
1086,"Allison, IA","Waterloo, IA",2,4,1,0,7,0,0,3,4,7,2002
1035,"Allison, IA","Nashua, IA",3,3,1,0,6,1,4,1,2,7,2002
1020,"Allison, IA","Madrid, IA",0,4,3,0,7,0,0,6,1,7,2002
1038,"Allison, IA","New Hartford, IA",3,3,1,0,7,0,1,3,3,7,2002
1041,"Allison, IA","Nora Springs, IA",2,4,1,1,4,2,2,2,3,7,2002
996,"Allison, IA","Harvey, IA",1,3,2,0,6,0,1,3,2,6,2002
1030,"Allison, IA","Monroe, IA",1,5,0,0,6,0,1,3,2,6,2002
1029,"Allison, IA","Mitchellville, IA",3,2,1,0,6,0,1,4,1,6,2002
1066,"Allison, IA","Roland, IA",2,2,2,1,5,0,1,5,0,6,2002
1073,"Allison, IA","Spring Hill, IA",0,4,1,0,5,0,0,4,1,5,2002
1045,"Allison, IA","Ogden, IA",0,4,1,0,5,0,0,3,2,5,2002
942,"Allison, IA","Adel, IA",0,4,1,0,5,0,0,3,2,5,2002
1006,"Allison, IA","Kellogg, IA",2,3,0,0,5,0,2,1,2,5,2002
960,"Allison, IA","Cedar Falls, IA",0,5,0,0,5,0,4,1,0,5,2002
1059,"Allison, IA","Reasnor, IA",1,4,0,0,5,0,2,3,0,5,2002
1069,"Allison, IA","Sergeant Bluff, IA",2,3,0,0,0,5,5,0,0,5,2002
986,"Allison, IA","Gilman, IA",1,3,1,0,5,0,0,2,3,5,2002
1076,"Allison, IA","Stanhope, IA",1,2,2,0,5,0,0,4,1,5,2002
966,"Allison, IA","Colo, IA",3,2,0,0,5,0,1,4,0,5,2002
979,"Allison, IA","Floyd, IA",1,2,1,0,3,1,0,3,1,4,2002
948,"Allison, IA","Baxter, IA",1,3,0,0,4,0,1,1,2,4,2002
987,"Allison, IA","Granger, IA",0,3,1,0,4,0,0,3,1,4,2002
1074,"Allison, IA","St. Marys, IA",1,1,2,0,4,0,2,1,1,4,2002
1023,"Allison, IA","Marshalltown, IA",1,3,0,0,3,1,2,2,0,4,2002
1044,"Allison, IA","Oelwein, IA",1,3,0,0,4,0,2,2,0,4,2002
1080,"Allison, IA","Tama, IA",1,3,0,0,4,0,0,3,1,4,2002
969,"Allison, IA","De Soto, IA",1,1,2,0,4,0,1,2,1,4,2002
993,"Allison, IA","Hampton, IA",0,0,4,0,3,1,1,3,0,4,2002
1068,"Allison, IA","Sandyville, IA",0,4,0,0,4,0,1,3,0,4,2002
1097,"Allison, IA","Woodward, IA",0,3,0,0,3,0,0,2,1,3,2002
1015,"Allison, IA","Linden, IA",1,2,0,0,3,0,0,3,0,3,2002
1037,"Allison, IA","New Hampton, IA",3,0,0,0,3,0,2,0,1,3,2002
1017,"Allison, IA","Luana, IA",1,0,2,1,2,0,2,0,1,3,2002
1027,"Allison, IA","Melcher-Dallas, IA",0,3,0,0,3,0,0,1,2,3,2002
970,"Allison, IA","Des Moines, IA",0,3,0,0,3,0,0,0,3,3,2002
1058,"Allison, IA","Readlyn, IA",2,1,0,0,2,1,2,0,1,3,2002
968,"Allison, IA","Dallas Center, IA",0,2,1,0,3,0,0,3,0,3,2002
973,"Allison, IA","East Peru, IA",0,3,0,0,3,0,0,1,2,3,2002
959,"Allison, IA","Castalia, IA",1,2,0,0,2,1,2,0,1,3,2002
1056,"Allison, IA","Prairie City, IA",1,2,0,0,3,0,1,0,2,3,2002
1003,"Allison, IA","Janesville, IA",1,2,0,0,2,1,1,2,0,3,2002
999,"Allison, IA","Huxley, IA",0,3,0,0,3,0,1,2,0,3,2002
1063,"Allison, IA","Rhodes, IA",0,2,1,0,3,0,0,0,3,3,2002
950,"Allison, IA","Blairstown, IA",2,1,0,0,3,0,0,3,0,3,2002
983,"Allison, IA","Garner, IA",1,1,1,0,3,0,0,3,0,3,2002
1079,"Allison, IA","Swan, IA",0,2,1,0,3,0,0,2,1,3,2002
1083,"Allison, IA","Urbana, IA",1,1,1,0,3,0,0,3,0,3,2002
967,"Allison, IA","Crystal Lake, IA",2,1,0,0,3,0,0,3,0,3,2002
1039,"Allison, IA","New Sharon, IA",0,0,2,0,2,0,0,0,2,2,2002
1048,"Allison, IA","Patterson, IA",1,1,0,0,2,0,0,1,1,2,2002
1085,"Allison, IA","Van Meter, IA",0,1,1,0,2,0,0,1,1,2,2002
1054,"Allison, IA","Plymouth, IA",2,0,0,0,1,1,1,1,0,2,2002
1092,"Allison, IA","West Union, IA",1,0,1,0,1,1,1,1,0,2,2002
1072,"Allison, IA","Slater, IA",0,1,1,0,2,0,2,0,0,2,2002
941,"Allison, IA","Ackworth, IA",1,1,0,0,2,0,1,1,0,2,2002
1034,"Allison, IA","Mount Auburn, IA",0,2,0,1,1,0,1,1,0,2,2002
1009,"Allison, IA","La Porte City, IA",0,2,0,2,0,0,0,2,0,2,2002
949,"Allison, IA","Belle Plaine, IA",0,2,0,0,2,0,0,2,0,2,2002
954,"Allison, IA","Britt, IA",0,2,0,0,2,0,0,2,0,2,2002
984,"Allison, IA","Garwin, IA",2,0,0,0,0,2,2,0,0,2,2002
985,"Allison, IA","Gilbert, IA",0,2,0,0,2,0,1,1,0,2,2002
991,"Allison, IA","Guernsey, IA",0,1,1,0,2,0,1,1,0,2,2002
992,"Allison, IA","Guttenberg, IA",0,1,1,0,2,0,0,2,0,2,2002
994,"Allison, IA","Harpers Ferry, IA",1,1,0,0,2,0,1,1,0,2,2002
1033,"Allison, IA","Morrison, IA",1,0,1,1,1,0,1,1,0,2,2002
995,"Allison, IA","Hartwick, IA",1,1,0,0,2,0,0,2,0,2,2002
998,"Allison, IA","Hiawatha, IA",0,2,0,0,2,0,0,0,2,2,2002
1000,"Allison, IA","Independence, IA",0,1,1,0,2,0,0,2,0,2,2002
1098,"Allison, IA","Zearing, IA",1,1,0,0,2,0,0,2,0,2,2002
1032,"Allison, IA","Montour, IA",0,2,0,0,0,2,0,2,0,2,2002
1012,"Allison, IA","Lansing, IA",0,1,0,0,1,0,1,0,0,1,2002
961,"Allison, IA","Cedar Rapids, IA",0,0,1,0,1,0,0,1,0,1,2002
980,"Allison, IA","Fort Dodge, IA",0,0,1,0,1,0,0,1,0,1,2002
1078,"Allison, IA","Sumner, IA",0,1,0,1,0,0,0,1,0,1,2002
978,"Allison, IA","Fairfax, IA",0,1,0,0,0,1,0,0,1,1,2002
977,"Allison, IA","Evansdale, IA",0,1,0,1,0,0,0,1,0,1,2002
1081,"Allison, IA","Toledo, IA",0,1,0,0,1,0,0,1,0,1,2002
1082,"Allison, IA","Tripoli, IA",0,1,0,0,0,1,0,0,1,1,2002
976,"Allison, IA","Elk Run Heights, IA",0,1,0,1,0,0,0,1,0,1,2002
975,"Allison, IA","Eldora, IA",0,1,0,0,1,0,0,1,0,1,2002
974,"Allison, IA","Elberon, IA",0,1,0,0,1,0,0,1,0,1,2002
958,"Allison, IA","Carter Lake, IA",1,0,0,0,1,0,1,0,0,1,2002
1075,"Allison, IA","St. Olaf, IA",1,0,0,0,1,0,1,0,0,1,2002
1088,"Allison, IA","Waukon, IA",0,1,0,0,1,0,0,1,0,1,2002
956,"Allison, IA","Cambridge, IA",0,1,0,0,1,0,0,0,1,1,2002
1090,"Allison, IA","Wellsburg, IA",0,1,0,0,1,0,0,0,1,1,2002
955,"Allison, IA","Brooklyn, IA",0,1,0,0,1,0,0,0,1,1,2002
1031,"Allison, IA","Monticello, IA",0,1,0,1,0,0,0,0,1,1,2002
1093,"Allison, IA","Williamsburg, IA",0,1,0,0,1,0,0,0,1,1,2002
951,"Allison, IA","Bondurant, IA",1,0,0,0,1,0,0,1,0,1,2002
1096,"Allison, IA","Woden, IA",1,0,0,0,1,0,0,1,0,1,2002
943,"Allison, IA","Alden, IA",0,0,1,0,1,0,1,0,0,1,2002
981,"Allison, IA","Fraser, IA",0,1,0,0,1,0,0,0,1,1,2002
982,"Allison, IA","Frederika, IA",0,1,0,0,1,0,1,0,0,1,2002
1051,"Allison, IA","Plainfield, IA",0,0,1,0,0,1,0,0,1,1,2002
1028,"Allison, IA","Minburn, IA",0,1,0,0,1,0,0,0,1,1,2002
1011,"Allison, IA","Lambs Grove, IA",0,0,1,0,1,0,1,0,0,1,2002
1010,"Allison, IA","Ladora, IA",0,1,0,0,1,0,0,1,0,1,2002
1013,"Allison, IA","Leland, IA",1,0,0,0,1,0,1,0,0,1,2002
1007,"Allison, IA","Keystone, IA",0,1,0,0,1,0,0,1,0,1,2002
1004,"Allison, IA","Jesup, IA",1,0,0,0,1,0,0,1,0,1,2002
1057,"Allison, IA","Raymond, IA",1,0,0,1,0,0,1,0,0,1,2002
1002,"Allison, IA","Iowa Falls, IA",0,0,1,0,1,0,0,1,0,1,2002
1014,"Allison, IA","Lincoln, IA",0,1,0,0,1,0,0,0,1,1,2002
1060,"Allison, IA","Red Oak, IA",0,0,1,0,1,0,0,0,1,1,2002
1061,"Allison, IA","Redfield, IA",0,1,0,0,1,0,0,0,1,1,2002
1062,"Allison, IA","Reinbeck, IA",0,1,0,0,1,0,1,0,0,1,2002
1047,"Allison, IA","Parnell, IA",0,1,0,0,1,0,0,0,1,1,2002
997,"Allison, IA","Haverhill, IA",0,1,0,0,1,0,1,0,0,1,2002
1065,"Allison, IA","Rockwell, IA",0,1,0,0,1,0,0,0,1,1,2002
1016,"Allison, IA","Liscomb, IA",0,1,0,0,0,1,1,0,0,1,2002
1019,"Allison, IA","Macedonia, IA",0,0,1,0,1,0,0,0,1,1,2002
1021,"Allison, IA","Malcom, IA",0,1,0,0,1,0,0,1,0,1,2002
1043,"Allison, IA","Norway, IA",0,1,0,0,1,0,1,0,0,1,2002
1024,"Allison, IA","Marysville, IA",0,1,0,0,1,0,0,1,0,1,2002
1071,"Allison, IA","Sioux City, IA",0,1,0,0,1,0,0,1,0,1,2002
1026,"Allison, IA","Maxwell, IA",0,1,0,0,1,0,1,0,0,1,2002
1067,"Allison, IA","Runnells, IA",0,1,0,0,1,0,0,1,0,1,2002
