,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
3378,"Atalissa, IA","Muscatine, IA",17,22,6,28,5,12,11,27,7,45,2002
3392,"Atalissa, IA","Wilton, IA",14,15,6,21,8,6,23,9,3,35,2002
3390,"Atalissa, IA","West Branch, IA",12,11,4,8,7,12,10,15,2,27,2002
3391,"Atalissa, IA","West Liberty, IA",5,7,1,6,1,6,2,10,1,13,2002
3371,"Atalissa, IA","Iowa City, IA",3,5,1,2,1,6,3,5,1,9,2002
3355,"Atalissa, IA","Atalissa, IA",2,3,2,2,3,2,3,3,1,7,2002
3357,"Atalissa, IA","Bennett, IA",2,4,1,4,2,1,3,2,2,7,2002
3363,"Atalissa, IA","Davenport, IA",2,4,0,3,2,1,1,2,3,6,2002
3379,"Atalissa, IA","Nichols, IA",1,3,1,2,1,2,1,3,1,5,2002
3362,"Atalissa, IA","Coralville, IA",1,3,1,2,1,2,1,4,0,5,2002
3384,"Atalissa, IA","Tipton, IA",1,3,1,1,1,3,2,3,0,5,2002
3359,"Atalissa, IA","Blue Grass, IA",0,3,1,3,0,1,1,2,1,4,2002
3385,"Atalissa, IA","University Heights, IA",0,3,0,0,1,2,0,2,1,3,2002
3367,"Atalissa, IA","Grandview, IA",0,2,1,3,0,0,0,2,1,3,2002
3361,"Atalissa, IA","Cedar Rapids, IA",1,1,0,0,0,2,0,2,0,2,2002
3360,"Atalissa, IA","Burlington, IA",0,2,0,0,1,1,1,1,0,2,2002
3388,"Atalissa, IA","Washington, IA",1,1,0,0,1,1,0,2,0,2,2002
3364,"Atalissa, IA","Durant, IA",1,1,0,2,0,0,1,1,0,2,2002
3380,"Atalissa, IA","North Liberty, IA",1,1,0,0,1,1,1,1,0,2,2002
3381,"Atalissa, IA","Preston, IA",0,1,0,1,0,0,0,1,0,1,2002
3386,"Atalissa, IA","Urbana, IA",0,1,0,0,1,0,0,0,1,1,2002
3387,"Atalissa, IA","Vinton, IA",1,0,0,0,1,0,1,0,0,1,2002
3383,"Atalissa, IA","Solon, IA",0,1,0,0,1,0,1,0,0,1,2002
3382,"Atalissa, IA","Robins, IA",0,1,0,0,1,0,0,1,0,1,2002
3389,"Atalissa, IA","Waterloo, IA",0,0,1,0,1,0,0,1,0,1,2002
3358,"Atalissa, IA","Bettendorf, IA",0,1,0,0,0,1,0,0,1,1,2002
3377,"Atalissa, IA","Mechanicsville, IA",1,0,0,0,1,0,1,0,0,1,2002
3376,"Atalissa, IA","Marshalltown, IA",0,1,0,1,0,0,0,1,0,1,2002
3375,"Atalissa, IA","Marion, IA",0,1,0,1,0,0,0,1,0,1,2002
3356,"Atalissa, IA","Baldwin, IA",0,1,0,0,1,0,0,1,0,1,2002
3373,"Atalissa, IA","Keokuk, IA",1,0,0,0,0,1,0,1,0,1,2002
3372,"Atalissa, IA","Kalona, IA",1,0,0,0,0,1,0,1,0,1,2002
3370,"Atalissa, IA","Indianola, IA",0,1,0,0,0,1,1,0,0,1,2002
3369,"Atalissa, IA","Hills, IA",1,0,0,0,0,1,0,1,0,1,2002
3368,"Atalissa, IA","Hiawatha, IA",1,0,0,0,0,1,1,0,0,1,2002
3366,"Atalissa, IA","Fruitland, IA",0,1,0,1,0,0,0,1,0,1,2002
3365,"Atalissa, IA","Ely, IA",0,1,0,0,1,0,0,1,0,1,2002
3374,"Atalissa, IA","Lone Tree, IA",1,0,0,1,0,0,0,1,0,1,2002
