,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
14273,"Deloit, IA","Deloit, IA",2,0,5,0,7,0,7,0,0,7,2002
14283,"Deloit, IA","Westside, IA",1,2,3,1,4,1,4,2,0,6,2002
14270,"Deloit, IA","Carroll, IA",1,0,3,0,4,0,4,0,0,4,2002
14280,"Deloit, IA","Schleswig, IA",0,1,2,0,1,2,1,2,0,3,2002
14269,"Deloit, IA","Arcadia, IA",0,1,1,0,1,1,1,1,0,2,2002
14277,"Deloit, IA","Manilla, IA",0,2,0,0,0,2,2,0,0,2,2002
14282,"Deloit, IA","Wall Lake, IA",0,2,0,0,2,0,1,1,0,2,2002
14271,"Deloit, IA","Carter Lake, IA",1,0,0,0,0,1,1,0,0,1,2002
14272,"Deloit, IA","Council Bluffs, IA",0,0,1,0,0,1,1,0,0,1,2002
14274,"Deloit, IA","Denison, IA",0,0,1,0,0,1,1,0,0,1,2002
14275,"Deloit, IA","Early, IA",1,0,0,1,0,0,0,0,1,1,2002
14276,"Deloit, IA","Lake City, IA",0,1,0,0,0,1,1,0,0,1,2002
14278,"Deloit, IA","Odebolt, IA",0,0,1,0,1,0,0,1,0,1,2002
14279,"Deloit, IA","Rockwell City, IA",0,1,0,0,1,0,1,0,0,1,2002
14281,"Deloit, IA","Soldier, IA",0,0,1,0,1,0,1,0,0,1,2002
