,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
19240,"Fonda, IA","Pomeroy, IA",4,10,4,0,14,4,13,4,1,18,2002
19239,"Fonda, IA","Palmer, IA",7,3,5,0,13,2,13,2,0,15,2002
19221,"Fonda, IA","Fonda, IA",3,5,3,0,10,1,9,2,0,11,2002
19235,"Fonda, IA","Newell, IA",0,3,1,0,4,0,2,0,2,4,2002
19252,"Fonda, IA","Webb, IA",2,1,0,0,0,3,2,0,1,3,2002
19231,"Fonda, IA","Manson, IA",0,2,1,0,2,1,0,3,0,3,2002
19245,"Fonda, IA","Schaller, IA",1,1,0,0,2,0,1,1,0,2,2002
19244,"Fonda, IA","Rutland, IA",1,0,1,0,1,1,2,0,0,2,2002
19216,"Fonda, IA","Aurelia, IA",1,1,0,0,2,0,1,1,0,2,2002
19241,"Fonda, IA","Quimby, IA",0,2,0,0,2,0,0,1,1,2,2002
19242,"Fonda, IA","Randall, IA",0,2,0,0,2,0,0,2,0,2,2002
19243,"Fonda, IA","Rockwell City, IA",0,2,0,0,0,2,0,1,1,2,2002
19238,"Fonda, IA","Oyens, IA",1,1,0,0,0,2,1,1,0,2,2002
19222,"Fonda, IA","Fort Dodge, IA",0,1,1,0,0,2,0,1,1,2,2002
19249,"Fonda, IA","Storm Lake, IA",1,1,0,0,2,0,1,0,1,2,2002
19237,"Fonda, IA","Ottosen, IA",0,1,0,0,1,0,1,0,0,1,2002
19246,"Fonda, IA","Schleswig, IA",0,1,0,0,1,0,1,0,0,1,2002
19247,"Fonda, IA","Sheldon, IA",1,0,0,0,1,0,1,0,0,1,2002
19248,"Fonda, IA","Stanhope, IA",0,1,0,0,1,0,0,1,0,1,2002
19250,"Fonda, IA","Union, IA",1,0,0,0,0,1,0,1,0,1,2002
19251,"Fonda, IA","Wall Lake, IA",0,0,1,0,1,0,1,0,0,1,2002
19215,"Fonda, IA","Albert City, IA",1,0,0,0,0,1,1,0,0,1,2002
19234,"Fonda, IA","Muscatine, IA",1,0,0,0,1,0,1,0,0,1,2002
19236,"Fonda, IA","Odebolt, IA",1,0,0,0,1,0,1,0,0,1,2002
19233,"Fonda, IA","Monticello, IA",1,0,0,0,0,1,0,1,0,1,2002
19232,"Fonda, IA","Meriden, IA",0,1,0,0,1,0,0,1,0,1,2002
19230,"Fonda, IA","Lidderdale, IA",0,1,0,0,1,0,1,0,0,1,2002
19229,"Fonda, IA","Laurens, IA",0,0,1,0,0,1,0,1,0,1,2002
19228,"Fonda, IA","Lakeside, IA",1,0,0,0,1,0,1,0,0,1,2002
19227,"Fonda, IA","Knierim, IA",0,1,0,0,0,1,0,0,1,1,2002
19226,"Fonda, IA","Kingsley, IA",1,0,0,0,0,1,1,0,0,1,2002
19225,"Fonda, IA","Humboldt, IA",1,0,0,0,0,1,1,0,0,1,2002
19224,"Fonda, IA","Hopkinton, IA",1,0,0,0,1,0,0,1,0,1,2002
19223,"Fonda, IA","Havelock, IA",0,1,0,0,1,0,1,0,0,1,2002
19220,"Fonda, IA","Epworth, IA",0,1,0,0,1,0,0,1,0,1,2002
19219,"Fonda, IA","Elberon, IA",1,0,0,0,1,0,1,0,0,1,2002
19218,"Fonda, IA","Dakota City, IA",0,1,0,0,0,1,1,0,0,1,2002
19217,"Fonda, IA","Battle Creek, IA",0,1,0,0,1,0,0,1,0,1,2002
19253,"Fonda, IA","Yetter, IA",0,0,1,0,1,0,1,0,0,1,2002
