,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
24012,"Hillsboro, IA","Bonaparte, IA",2,14,7,1,19,3,12,9,2,23,2002
24020,"Hillsboro, IA","Keosauqua, IA",2,9,5,1,14,1,8,5,3,16,2002
24021,"Hillsboro, IA","Milton, IA",0,8,2,1,8,1,3,6,1,10,2002
24016,"Hillsboro, IA","Eldon, IA",1,7,1,1,7,1,4,5,0,9,2002
24017,"Hillsboro, IA","Farmington, IA",1,4,3,1,7,0,5,3,0,8,2002
24019,"Hillsboro, IA","Hillsboro, IA",1,5,2,1,6,1,5,3,0,8,2002
24013,"Hillsboro, IA","Cantril, IA",0,3,2,0,5,0,3,2,0,5,2002
24010,"Hillsboro, IA","Birmingham, IA",0,5,0,1,4,0,4,1,0,5,2002
24011,"Hillsboro, IA","Bloomfield, IA",0,1,1,0,1,1,0,2,0,2,2002
24009,"Hillsboro, IA","Agency, IA",0,0,1,0,0,1,0,1,0,1,2002
24023,"Hillsboro, IA","Ottumwa, IA",0,1,0,0,1,0,0,1,0,1,2002
24026,"Hillsboro, IA","Seymour, IA",0,1,0,1,0,0,0,1,0,1,2002
24025,"Hillsboro, IA","Plano, IA",1,0,0,1,0,0,0,1,0,1,2002
24024,"Hillsboro, IA","Packwood, IA",0,1,0,1,0,0,1,0,0,1,2002
24018,"Hillsboro, IA","Floris, IA",0,1,0,0,1,0,0,1,0,1,2002
24022,"Hillsboro, IA","Oskaloosa, IA",1,0,0,0,1,0,0,1,0,1,2002
24015,"Hillsboro, IA","Donnellson, IA",0,1,0,1,0,0,0,1,0,1,2002
24014,"Hillsboro, IA","Des Moines, IA",0,0,1,0,1,0,0,0,1,1,2002
24027,"Hillsboro, IA","Wapello, IA",0,1,0,0,1,0,0,0,1,1,2002
