,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
28379,"Le Claire, IA","Le Claire, IA",38,59,12,14,66,29,64,35,10,109,2002
28355,"Le Claire, IA","Bettendorf, IA",18,24,13,9,43,3,15,20,20,55,2002
28363,"Le Claire, IA","Davenport, IA",10,30,7,9,24,14,18,21,8,47,2002
28388,"Le Claire, IA","Panorama Park, IA",11,23,5,5,25,9,23,13,3,39,2002
28390,"Le Claire, IA","Princeton, IA",17,19,2,3,22,13,25,9,4,38,2002
28383,"Le Claire, IA","McCausland, IA",3,6,1,0,8,2,6,4,0,10,2002
28370,"Le Claire, IA","Eldridge, IA",1,5,1,4,1,2,3,3,1,7,2002
28394,"Le Claire, IA","Riverdale, IA",3,0,2,0,3,2,2,3,0,5,2002
28362,"Le Claire, IA","Clinton, IA",1,4,0,0,5,0,1,1,3,5,2002
28380,"Le Claire, IA","Long Grove, IA",2,3,0,0,5,0,1,4,0,5,2002
28365,"Le Claire, IA","De Witt, IA",0,2,2,2,2,0,0,3,1,4,2002
28368,"Le Claire, IA","Dubuque, IA",1,1,2,0,3,1,3,1,0,4,2002
28359,"Le Claire, IA","Camanche, IA",0,1,2,0,2,1,1,1,1,3,2002
28397,"Le Claire, IA","Urbandale, IA",1,2,0,0,2,1,1,2,0,3,2002
28358,"Le Claire, IA","Buffalo, IA",2,1,0,3,0,0,1,1,1,3,2002
28374,"Le Claire, IA","Grand Mound, IA",0,3,0,3,0,0,0,0,3,3,2002
28386,"Le Claire, IA","New Liberty, IA",0,2,0,1,0,1,0,1,1,2,2002
28356,"Le Claire, IA","Blue Grass, IA",1,1,0,2,0,0,1,0,1,2,2002
28400,"Le Claire, IA","West Branch, IA",2,0,0,0,2,0,0,0,2,2,2002
28387,"Le Claire, IA","Oelwein, IA",1,0,0,0,1,0,1,0,0,1,2002
28385,"Le Claire, IA","New Hampton, IA",1,0,0,0,1,0,0,1,0,1,2002
28389,"Le Claire, IA","Parkersburg, IA",0,1,0,0,0,1,1,0,0,1,2002
28351,"Le Claire, IA","Albia, IA",1,0,0,0,0,1,1,0,0,1,2002
28391,"Le Claire, IA","Protivin, IA",0,1,0,0,1,0,1,0,0,1,2002
28392,"Le Claire, IA","Rake, IA",0,1,0,0,1,0,1,0,0,1,2002
28393,"Le Claire, IA","Reasnor, IA",1,0,0,0,1,0,1,0,0,1,2002
28395,"Le Claire, IA","Spencer, IA",0,1,0,0,1,0,0,0,1,1,2002
28396,"Le Claire, IA","Superior, IA",1,0,0,0,1,0,1,0,0,1,2002
28398,"Le Claire, IA","Wallingford, IA",1,0,0,0,0,1,1,0,0,1,2002
28399,"Le Claire, IA","Waterloo, IA",1,0,0,0,1,0,0,1,0,1,2002
28401,"Le Claire, IA","Wheatland, IA",0,1,0,1,0,0,0,0,1,1,2002
28384,"Le Claire, IA","Mount Ayr, IA",0,1,0,0,0,1,1,0,0,1,2002
28377,"Le Claire, IA","Lakota, IA",0,1,0,0,0,1,1,0,0,1,2002
28382,"Le Claire, IA","Marshalltown, IA",0,1,0,0,0,1,1,0,0,1,2002
28367,"Le Claire, IA","Donnellson, IA",1,0,0,0,0,1,1,0,0,1,2002
28353,"Le Claire, IA","Andover, IA",0,1,0,1,0,0,0,1,0,1,2002
28354,"Le Claire, IA","Bedford, IA",0,1,0,0,1,0,0,1,0,1,2002
28357,"Le Claire, IA","Boone, IA",1,0,0,0,1,0,1,0,0,1,2002
28360,"Le Claire, IA","Chariton, IA",0,1,0,0,1,0,0,1,0,1,2002
28361,"Le Claire, IA","Chester, IA",0,1,0,0,1,0,1,0,0,1,2002
28364,"Le Claire, IA","De Soto, IA",0,1,0,0,1,0,1,0,0,1,2002
28366,"Le Claire, IA","Dixon, IA",0,1,0,1,0,0,0,0,1,1,2002
28369,"Le Claire, IA","Dyersville, IA",0,1,0,0,0,1,0,0,1,1,2002
28381,"Le Claire, IA","Manchester, IA",0,1,0,0,0,1,1,0,0,1,2002
28371,"Le Claire, IA","Elk Run Heights, IA",0,1,0,0,0,1,0,1,0,1,2002
28372,"Le Claire, IA","Fairbank, IA",1,0,0,0,1,0,1,0,0,1,2002
28373,"Le Claire, IA","Fairfield, IA",0,1,0,0,1,0,0,1,0,1,2002
28375,"Le Claire, IA","Inwood, IA",1,0,0,0,0,1,0,1,0,1,2002
28376,"Le Claire, IA","Keokuk, IA",0,0,1,0,0,1,0,1,0,1,2002
28352,"Le Claire, IA","Ames, IA",1,0,0,0,1,0,0,1,0,1,2002
28378,"Le Claire, IA","Larchwood, IA",1,0,0,0,0,1,1,0,0,1,2002
28402,"Le Claire, IA","Windsor Heights, IA",0,1,0,0,1,0,0,1,0,1,2002
