,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
36751,"Orient, IA","Orient, IA",9,56,22,10,65,12,41,35,11,87,2002
36740,"Orient, IA","Greenfield, IA",6,23,4,10,18,5,10,20,3,33,2002
36734,"Orient, IA","Creston, IA",1,10,1,0,11,1,0,9,3,12,2002
36742,"Orient, IA","Indianola, IA",1,3,2,0,0,6,2,4,0,6,2002
36744,"Orient, IA","Lewis, IA",0,3,2,0,5,0,1,4,0,5,2002
36752,"Orient, IA","Ottumwa, IA",1,2,1,0,3,1,2,2,0,4,2002
36739,"Orient, IA","Grant, IA",0,4,0,1,3,0,2,2,0,4,2002
36737,"Orient, IA","East Peru, IA",0,2,2,0,4,0,4,0,0,4,2002
36748,"Orient, IA","Massena, IA",0,3,0,0,3,0,0,3,0,3,2002
36756,"Orient, IA","Shannon City, IA",0,3,0,0,3,0,3,0,0,3,2002
36725,"Orient, IA","Atlantic, IA",1,2,0,0,3,0,1,2,0,3,2002
36753,"Orient, IA","Patterson, IA",1,1,0,0,1,1,0,2,0,2,2002
36733,"Orient, IA","Council Bluffs, IA",1,1,0,0,2,0,0,0,2,2,2002
36728,"Orient, IA","Casey, IA",1,0,1,0,1,1,1,1,0,2,2002
36750,"Orient, IA","Odebolt, IA",0,2,0,0,1,1,1,1,0,2,2002
36723,"Orient, IA","Afton, IA",0,2,0,0,0,2,0,2,0,2,2002
36759,"Orient, IA","Winterset, IA",0,2,0,0,1,1,0,0,2,2,2002
36745,"Orient, IA","Lorimor, IA",1,1,0,0,0,2,0,2,0,2,2002
36754,"Orient, IA","Promise City, IA",0,1,0,0,0,1,0,0,1,1,2002
36747,"Orient, IA","Manning, IA",1,0,0,0,0,1,0,1,0,1,2002
36755,"Orient, IA","Rathbun, IA",0,1,0,0,1,0,0,1,0,1,2002
36757,"Orient, IA","Urbandale, IA",0,1,0,0,0,1,0,1,0,1,2002
36758,"Orient, IA","Wall Lake, IA",0,1,0,0,1,0,0,0,1,1,2002
36749,"Orient, IA","Murray, IA",0,1,0,0,0,1,0,1,0,1,2002
36722,"Orient, IA","Adair, IA",0,1,0,0,1,0,1,0,0,1,2002
36741,"Orient, IA","Guthrie Center, IA",0,0,1,0,1,0,1,0,0,1,2002
36746,"Orient, IA","Macksburg, IA",0,0,1,0,1,0,1,0,0,1,2002
36743,"Orient, IA","Kiron, IA",0,1,0,0,1,0,1,0,0,1,2002
36738,"Orient, IA","Exira, IA",0,1,0,0,1,0,0,1,0,1,2002
36736,"Orient, IA","Des Moines, IA",1,0,0,0,1,0,0,1,0,1,2002
36735,"Orient, IA","Cromwell, IA",0,1,0,1,0,0,1,0,0,1,2002
36732,"Orient, IA","Corning, IA",0,1,0,0,1,0,0,1,0,1,2002
36731,"Orient, IA","Clarinda, IA",1,0,0,0,1,0,1,0,0,1,2002
36730,"Orient, IA","Chariton, IA",0,1,0,1,0,0,0,1,0,1,2002
36729,"Orient, IA","Centerville, IA",0,1,0,0,0,1,0,1,0,1,2002
36727,"Orient, IA","Braddyville, IA",0,1,0,0,1,0,0,1,0,1,2002
36726,"Orient, IA","Audubon, IA",1,0,0,1,0,0,0,1,0,1,2002
36724,"Orient, IA","Ames, IA",1,0,0,0,0,1,0,1,0,1,2002
36760,"Orient, IA","Wiota, IA",1,0,0,1,0,0,1,0,0,1,2002
