,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
38644,"Paullina, IA","Paullina, IA",19,44,27,6,63,21,55,26,9,90,2002
38645,"Paullina, IA","Peterson, IA",13,45,29,8,60,19,52,28,7,87,2002
38656,"Paullina, IA","Sutherland, IA",7,35,8,5,38,7,23,18,9,50,2002
38646,"Paullina, IA","Primghar, IA",1,9,6,1,7,8,11,3,2,16,2002
38628,"Paullina, IA","Hartley, IA",6,6,1,0,9,4,10,2,1,13,2002
38615,"Paullina, IA","Ashton, IA",2,5,5,1,7,4,8,2,2,12,2002
38651,"Paullina, IA","Sanborn, IA",1,5,6,0,8,4,8,3,1,12,2002
38620,"Paullina, IA","Cherokee, IA",0,6,4,0,2,8,5,5,0,10,2002
38637,"Paullina, IA","Marcus, IA",0,9,0,1,7,1,4,4,1,9,2002
38641,"Paullina, IA","Orange City, IA",1,7,0,0,3,5,1,5,2,8,2002
38652,"Paullina, IA","Sheldon, IA",2,3,1,0,6,0,2,3,1,6,2002
38626,"Paullina, IA","Everly, IA",0,5,1,0,5,1,4,1,1,6,2002
38648,"Paullina, IA","Remsen, IA",3,2,0,3,2,0,1,4,0,5,2002
38661,"Paullina, IA","Wall Lake, IA",0,4,0,0,3,1,0,0,4,4,2002
38655,"Paullina, IA","Spencer, IA",3,0,1,0,1,3,3,0,1,4,2002
38634,"Paullina, IA","Kingsley, IA",2,1,1,1,2,1,2,2,0,4,2002
38612,"Paullina, IA","Alton, IA",0,3,1,2,2,0,3,1,0,4,2002
38627,"Paullina, IA","Harris, IA",0,3,1,2,2,0,2,1,1,4,2002
38616,"Paullina, IA","Aurelia, IA",0,4,0,0,4,0,2,2,0,4,2002
38640,"Paullina, IA","Merrill, IA",1,2,0,0,2,1,1,2,0,3,2002
38614,"Paullina, IA","Arnolds Park, IA",0,0,3,0,0,3,1,2,0,3,2002
38622,"Paullina, IA","Cushing, IA",1,1,0,0,0,2,1,0,1,2,2002
38649,"Paullina, IA","Rock Valley, IA",0,2,0,2,0,0,0,2,0,2,2002
38650,"Paullina, IA","Royal, IA",0,2,0,0,2,0,2,0,0,2,2002
38619,"Paullina, IA","Carroll, IA",0,1,1,0,1,1,2,0,0,2,2002
38618,"Paullina, IA","Boyden, IA",0,0,2,0,2,0,0,2,0,2,2002
38653,"Paullina, IA","Sibley, IA",0,1,0,1,0,0,0,1,0,1,2002
38617,"Paullina, IA","Boxholm, IA",0,1,0,0,0,1,1,0,0,1,2002
38654,"Paullina, IA","Sioux Center, IA",0,1,0,0,1,0,0,1,0,1,2002
38647,"Paullina, IA","Quimby, IA",1,0,0,0,0,1,1,0,0,1,2002
38657,"Paullina, IA","Tennant, IA",0,1,0,0,1,0,1,0,0,1,2002
38658,"Paullina, IA","Terril, IA",0,0,1,0,1,0,0,0,1,1,2002
38659,"Paullina, IA","Truesdale, IA",1,0,0,1,0,0,1,0,0,1,2002
38660,"Paullina, IA","Wahpeton, IA",0,1,0,0,0,1,0,0,1,1,2002
38621,"Paullina, IA","Curlew, IA",0,1,0,0,0,1,1,0,0,1,2002
38629,"Paullina, IA","Hinton, IA",0,1,0,0,0,1,1,0,0,1,2002
38630,"Paullina, IA","Hull, IA",0,1,0,0,1,0,0,1,0,1,2002
38623,"Paullina, IA","Defiance, IA",0,1,0,0,1,0,1,0,0,1,2002
38624,"Paullina, IA","Dickens, IA",1,0,0,0,0,1,0,1,0,1,2002
38643,"Paullina, IA","Panama, IA",0,1,0,0,1,0,1,0,0,1,2002
38642,"Paullina, IA","Oyens, IA",0,1,0,0,1,0,0,0,1,1,2002
38625,"Paullina, IA","Elk Horn, IA",0,1,0,0,1,0,1,0,0,1,2002
38639,"Paullina, IA","Meriden, IA",0,1,0,0,1,0,0,1,0,1,2002
38638,"Paullina, IA","Maurice, IA",1,0,0,1,0,0,0,1,0,1,2002
38613,"Paullina, IA","Arcadia, IA",0,1,0,0,1,0,0,1,0,1,2002
38636,"Paullina, IA","Lester, IA",0,0,1,1,0,0,0,1,0,1,2002
38635,"Paullina, IA","Lake Park, IA",0,1,0,0,0,1,1,0,0,1,2002
38633,"Paullina, IA","Kimballton, IA",0,1,0,0,1,0,1,0,0,1,2002
38632,"Paullina, IA","Irwin, IA",0,1,0,0,1,0,1,0,0,1,2002
38631,"Paullina, IA","Inwood, IA",0,0,1,1,0,0,0,1,0,1,2002
38662,"Paullina, IA","Westside, IA",1,0,0,0,1,0,1,0,0,1,2002
