,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
1661,"Ames, IA","Ames, IA",3647,7382,2110,1271,10526,1342,3889,4487,4763,13139,2003
1724,"Ames, IA","Des Moines, IA",410,640,124,84,926,164,304,390,480,1174,2003
1663,"Ames, IA","Ankeny, IA",153,204,43,32,250,118,183,120,97,400,2003
1830,"Ames, IA","Nevada, IA",119,227,41,115,253,19,97,154,136,387,2003
1677,"Ames, IA","Boone, IA",110,135,36,73,131,77,101,102,78,281,2003
1701,"Ames, IA","Clive, IA",138,116,23,7,190,80,128,66,83,277,2003
1905,"Ames, IA","Urbandale, IA",125,131,19,23,171,81,102,77,96,275,2003
1781,"Ames, IA","Johnston, IA",82,82,16,2,126,52,50,67,63,180,2003
1750,"Ames, IA","Fort Dodge, IA",51,95,21,21,85,61,58,75,34,167,2003
1692,"Ames, IA","Cedar Rapids, IA",65,75,13,28,71,54,39,71,43,153,2003
1812,"Ames, IA","Marshalltown, IA",57,75,12,26,85,33,40,62,42,144,2003
1917,"Ames, IA","West Des Moines, IA",67,60,16,37,57,49,51,45,47,143,2003
1755,"Ames, IA","Gilbert, IA",34,85,21,30,100,10,44,36,60,140,2003
1922,"Ames, IA","Windsor Heights, IA",61,61,14,13,76,47,63,47,26,136,2003
1659,"Ames, IA","Allison, IA",27,83,16,0,126,0,25,68,33,126,2003
1718,"Ames, IA","Davenport, IA",42,70,13,11,66,48,57,43,25,125,2003
1894,"Ames, IA","Story City, IA",48,51,14,21,71,21,44,37,32,113,2003
1891,"Ames, IA","Stanhope, IA",57,43,8,24,69,15,63,15,30,108,2003
1777,"Ames, IA","Iowa City, IA",40,38,5,4,64,15,44,19,20,83,2003
1856,"Ames, IA","Pleasant Hill, IA",32,35,15,14,28,40,34,35,13,82,2003
1709,"Ames, IA","Council Bluffs, IA",35,40,5,9,21,50,32,33,15,80,2003
1839,"Ames, IA","Norwalk, IA",44,28,8,3,40,37,37,26,17,80,2003
1772,"Ames, IA","Hiawatha, IA",26,39,8,3,40,30,33,26,14,73,2003
1885,"Ames, IA","Sioux City, IA",22,48,2,5,28,39,20,29,23,72,2003
1774,"Ames, IA","Huxley, IA",29,23,6,19,34,5,22,26,10,58,2003
1844,"Ames, IA","Osceola, IA",11,28,10,11,15,23,11,25,13,49,2003
1912,"Ames, IA","Waukee, IA",19,27,2,8,27,13,11,18,19,48,2003
1787,"Ames, IA","Knoxville, IA",11,30,6,31,2,14,8,22,17,47,2003
1848,"Ames, IA","Ottumwa, IA",20,24,3,10,13,24,17,14,16,47,2003
1835,"Ames, IA","Newton, IA",21,15,8,8,21,15,21,11,12,44,2003
1660,"Ames, IA","Altoona, IA",15,14,11,6,21,13,15,15,10,40,2003
1693,"Ames, IA","Chariton, IA",21,16,3,0,9,31,19,14,7,40,2003
1886,"Ames, IA","Slater, IA",18,17,5,4,7,29,14,17,9,40,2003
1816,"Ames, IA","Melcher-Dallas, IA",24,14,0,31,2,5,5,20,13,38,2003
1841,"Ames, IA","Ogden, IA",14,18,4,9,21,6,15,10,11,36,2003
1827,"Ames, IA","Mount Pleasant, IA",14,16,5,1,8,26,17,15,3,35,2003
1706,"Ames, IA","Coralville, IA",16,12,6,0,19,15,17,12,5,34,2003
1878,"Ames, IA","Sergeant Bluff, IA",9,23,2,11,11,12,4,17,13,34,2003
1813,"Ames, IA","Mason City, IA",13,12,5,0,17,13,8,14,8,30,2003
1763,"Ames, IA","Grinnell, IA",11,15,3,4,10,15,14,13,2,29,2003
1809,"Ames, IA","Madrid, IA",9,14,6,5,21,3,13,13,3,29,2003
1762,"Ames, IA","Grimes, IA",11,13,4,9,10,9,13,6,9,28,2003
1674,"Ames, IA","Bettendorf, IA",7,19,1,3,12,12,6,9,12,27,2003
1778,"Ames, IA","Iowa Falls, IA",13,9,4,5,3,18,14,6,6,26,2003
1913,"Ames, IA","Webster City, IA",8,15,0,8,10,5,2,9,12,23,2003
1743,"Ames, IA","Fairfax, IA",12,9,1,2,4,16,12,6,4,22,2003
1855,"Ames, IA","Perry, IA",11,11,0,1,9,12,6,9,7,22,2003
1711,"Ames, IA","Creston, IA",7,11,4,2,9,11,15,5,2,22,2003
1654,"Ames, IA","Adel, IA",3,13,5,15,5,1,4,9,8,21,2003
1916,"Ames, IA","West Burlington, IA",11,7,1,4,2,13,10,5,4,19,2003
1723,"Ames, IA","Denison, IA",4,14,1,7,7,5,7,10,2,19,2003
1858,"Ames, IA","Polk City, IA",5,10,3,0,16,2,4,8,6,18,2003
1854,"Ames, IA","Pella, IA",7,8,2,2,9,6,8,4,5,17,2003
1901,"Ames, IA","Toledo, IA",7,8,1,0,9,7,2,11,3,16,2003
1737,"Ames, IA","Eldridge, IA",1,11,3,0,6,9,6,5,4,15,2003
1845,"Ames, IA","Oskaloosa, IA",5,7,3,1,7,7,7,4,4,15,2003
1776,"Ames, IA","Indianola, IA",5,6,3,0,8,6,7,5,2,14,2003
1760,"Ames, IA","Granger, IA",7,6,1,1,2,11,3,7,4,14,2003
1780,"Ames, IA","Jewell Junction, IA",2,12,0,2,9,3,2,8,4,14,2003
1727,"Ames, IA","Dubuque, IA",4,10,0,1,5,8,2,3,9,14,2003
1902,"Ames, IA","University Heights, IA",8,3,2,0,11,2,8,4,1,13,2003
1900,"Ames, IA","Tiffin, IA",4,8,1,0,2,11,4,1,8,13,2003
1863,"Ames, IA","Red Oak, IA",3,7,1,0,8,3,3,4,4,11,2003
1871,"Ames, IA","Robins, IA",5,6,0,1,6,4,3,4,4,11,2003
1667,"Ames, IA","Bagley, IA",2,7,2,8,3,0,0,1,10,11,2003
1770,"Ames, IA","Harlan, IA",5,4,1,0,8,2,6,2,2,10,2003
1703,"Ames, IA","Colo, IA",2,7,1,0,9,1,1,5,4,10,2003
1664,"Ames, IA","Asbury, IA",4,4,2,0,1,9,3,6,1,10,2003
1685,"Ames, IA","Carlisle, IA",2,5,3,3,6,1,2,3,5,10,2003
1893,"Ames, IA","State Center, IA",7,2,1,0,7,3,3,1,6,10,2003
1806,"Ames, IA","Luther, IA",6,2,1,6,1,2,7,2,0,9,2003
1657,"Ames, IA","Alden, IA",2,4,3,8,1,0,1,4,4,9,2003
1923,"Ames, IA","Winterset, IA",3,5,1,2,5,2,3,4,2,9,2003
1744,"Ames, IA","Fairfield, IA",3,3,3,0,3,6,3,6,0,9,2003
1684,"Ames, IA","Cambridge, IA",4,2,3,5,3,1,3,3,3,9,2003
1926,"Ames, IA","Zearing, IA",7,2,0,1,3,5,5,3,1,9,2003
1686,"Ames, IA","Carroll, IA",1,7,0,8,0,0,0,0,8,8,2003
1739,"Ames, IA","Ellsworth, IA",3,4,1,1,2,5,4,4,0,8,2003
1697,"Ames, IA","Clarinda, IA",3,4,1,0,6,2,3,4,1,8,2003
1699,"Ames, IA","Clarksville, IA",2,5,1,0,8,0,5,3,0,8,2003
1759,"Ames, IA","Grand Junction, IA",4,4,0,0,2,6,1,4,3,8,2003
1881,"Ames, IA","Shenandoah, IA",3,4,0,0,6,1,3,2,2,7,2003
1767,"Ames, IA","Hampton, IA",0,5,2,2,3,2,1,3,3,7,2003
1751,"Ames, IA","Fort Madison, IA",1,5,1,0,4,3,2,3,2,7,2003
1884,"Ames, IA","Sioux Center, IA",2,5,0,5,0,2,1,3,3,7,2003
1822,"Ames, IA","Mitchellville, IA",2,2,3,2,5,0,1,2,4,7,2003
1682,"Ames, IA","Burlington, IA",2,4,1,0,3,4,3,3,1,7,2003
1658,"Ames, IA","Algona, IA",2,5,0,0,2,5,2,2,3,7,2003
1728,"Ames, IA","Duncombe, IA",4,3,0,4,0,3,3,1,3,7,2003
1700,"Ames, IA","Clear Lake, IA",2,5,0,0,2,5,0,5,2,7,2003
1721,"Ames, IA","Decorah, IA",3,4,0,1,5,1,2,4,1,7,2003
1889,"Ames, IA","Spring Hill, IA",2,3,2,0,1,6,1,4,2,7,2003
1733,"Ames, IA","Eddyville, IA",0,6,0,4,0,2,0,2,4,6,2003
1920,"Ames, IA","Williams, IA",3,3,0,2,3,1,2,2,2,6,2003
1720,"Ames, IA","De Soto, IA",2,3,1,1,2,3,2,3,1,6,2003
1740,"Ames, IA","Ely, IA",1,5,0,1,5,0,2,1,3,6,2003
1757,"Ames, IA","Glenwood, IA",2,3,1,0,5,1,1,5,0,6,2003
1675,"Ames, IA","Blairstown, IA",0,6,0,6,0,0,0,0,6,6,2003
1873,"Ames, IA","Roland, IA",3,2,1,1,5,0,0,5,1,6,2003
1702,"Ames, IA","Colfax, IA",2,1,2,0,3,2,4,1,0,5,2003
1831,"Ames, IA","New Hampton, IA",2,3,0,0,2,3,2,3,0,5,2003
1811,"Ames, IA","Marengo, IA",2,2,1,0,5,0,0,5,0,5,2003
1898,"Ames, IA","Tennant, IA",3,2,0,0,4,1,2,1,2,5,2003
