,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
1931,"Anamosa, IA","Anamosa, IA",119,434,179,18,548,166,288,264,180,732,2003
1946,"Anamosa, IA","Cedar Rapids, IA",93,202,33,66,203,59,82,159,87,328,2003
1981,"Anamosa, IA","Hiawatha, IA",47,123,21,48,104,39,46,114,31,191,2003
2003,"Anamosa, IA","Monticello, IA",29,49,14,46,39,7,26,60,6,92,2003
2004,"Anamosa, IA","Morley, IA",26,52,9,24,46,17,37,42,8,87,2003
1985,"Anamosa, IA","Iowa City, IA",10,30,3,12,17,14,19,16,8,43,2003
2000,"Anamosa, IA","Martelle, IA",8,31,3,34,6,2,7,28,7,42,2003
1970,"Anamosa, IA","Ely, IA",15,23,4,0,42,0,11,20,11,42,2003
2024,"Anamosa, IA","Robins, IA",8,24,5,15,16,6,9,24,4,37,2003
1945,"Anamosa, IA","Cedar Falls, IA",13,10,11,4,21,9,17,11,6,34,2003
1998,"Anamosa, IA","Marion, IA",15,16,0,9,13,9,2,19,10,31,2003
1990,"Anamosa, IA","Lisbon, IA",6,16,3,10,7,8,5,19,1,25,2003
1964,"Anamosa, IA","Des Moines, IA",6,16,2,0,18,6,3,14,7,24,2003
2031,"Anamosa, IA","Tipton, IA",9,12,3,4,16,4,8,12,4,24,2003
2028,"Anamosa, IA","Springville, IA",6,12,2,5,11,4,2,18,0,20,2003
2030,"Anamosa, IA","Tiffin, IA",1,17,2,3,6,11,0,9,11,20,2003
1973,"Anamosa, IA","Fairfax, IA",10,7,2,2,5,12,8,8,3,19,2003
1960,"Anamosa, IA","Davenport, IA",9,6,1,0,6,10,11,3,2,16,2003
2011,"Anamosa, IA","North Liberty, IA",3,8,1,0,11,1,0,4,8,12,2003
2008,"Anamosa, IA","Muscatine, IA",5,4,3,3,4,5,6,4,2,12,2003
2039,"Anamosa, IA","Waterloo, IA",2,9,0,0,6,5,4,4,3,11,2003
2006,"Anamosa, IA","Mount Pleasant, IA",1,9,1,4,1,6,2,6,3,11,2003
1933,"Anamosa, IA","Asbury, IA",4,5,1,0,4,6,4,3,3,10,2003
1974,"Anamosa, IA","Farley, IA",4,5,1,2,2,6,3,7,0,10,2003
1936,"Anamosa, IA","Bellevue, IA",1,3,5,4,3,2,5,4,0,9,2003
2007,"Anamosa, IA","Mount Vernon, IA",1,5,2,6,1,1,4,4,0,8,2003
1975,"Anamosa, IA","Fort Dodge, IA",4,3,1,0,4,4,3,1,4,8,2003
2032,"Anamosa, IA","University Heights, IA",1,6,0,0,4,3,1,1,5,7,2003
1965,"Anamosa, IA","Dubuque, IA",4,2,1,2,3,2,3,3,1,7,2003
1996,"Anamosa, IA","Manchester, IA",4,3,0,2,4,1,2,2,3,7,2003
1930,"Anamosa, IA","Ames, IA",3,2,1,1,3,2,3,3,0,6,2003
2043,"Anamosa, IA","West Branch, IA",2,4,0,2,0,4,0,4,2,6,2003
2027,"Anamosa, IA","Shueyville, IA",1,5,0,0,4,2,0,6,0,6,2003
