,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
6523,"Britt, IA","Britt, IA",88,157,88,36,216,81,133,158,42,333,2003
6537,"Britt, IA","Crystal Lake, IA",73,205,52,295,20,15,37,245,48,330,2003
6554,"Britt, IA","Garner, IA",56,110,35,63,108,30,63,115,23,201,2003
6571,"Britt, IA","Mason City, IA",40,64,15,15,85,19,35,67,17,119,2003
6551,"Britt, IA","Forest City, IA",17,31,5,0,38,15,28,21,4,53,2003
6533,"Britt, IA","Corwith, IA",13,24,13,21,19,10,13,29,8,50,2003
6531,"Britt, IA","Clear Lake, IA",12,26,6,7,31,6,19,19,6,44,2003
6520,"Britt, IA","Belmond, IA",12,26,4,20,18,4,19,16,7,42,2003
6513,"Britt, IA","Algona, IA",12,18,5,9,21,5,12,15,8,35,2003
6557,"Britt, IA","Hampton, IA",8,9,6,6,16,1,9,12,2,23,2003
6564,"Britt, IA","Lake Mills, IA",6,14,0,10,5,5,3,15,2,20,2003
6542,"Britt, IA","Des Moines, IA",5,12,3,0,13,7,5,8,7,20,2003
6515,"Britt, IA","Ames, IA",6,8,0,0,4,10,6,7,1,14,2003
6529,"Britt, IA","Clarion, IA",5,7,0,7,4,1,8,2,2,12,2003
6569,"Britt, IA","Marble Rock, IA",4,8,0,12,0,0,1,11,0,12,2003
6563,"Britt, IA","Klemme, IA",5,3,1,3,4,2,5,3,1,9,2003
6552,"Britt, IA","Fort Dodge, IA",4,4,0,0,4,4,6,2,0,8,2003
6588,"Britt, IA","Renwick, IA",2,5,1,0,3,5,7,1,0,8,2003
6608,"Britt, IA","Woden, IA",1,5,1,0,6,1,0,4,3,7,2003
6570,"Britt, IA","Marshalltown, IA",2,4,1,0,1,6,3,3,1,7,2003
6555,"Britt, IA","Goldfield, IA",1,6,0,2,0,5,0,5,2,7,2003
6535,"Britt, IA","Cresco, IA",1,5,1,3,4,0,4,2,1,7,2003
6548,"Britt, IA","Estherville, IA",1,4,1,0,6,0,1,4,1,6,2003
6524,"Britt, IA","Buffalo Center, IA",1,1,3,0,2,3,1,1,3,5,2003
6559,"Britt, IA","Iowa Falls, IA",4,1,0,0,3,2,5,0,0,5,2003
6514,"Britt, IA","Allison, IA",1,4,0,0,5,0,1,4,0,5,2003
6586,"Britt, IA","Rake, IA",1,4,0,5,0,0,0,5,0,5,2003
6532,"Britt, IA","Clive, IA",1,3,1,0,3,2,1,2,2,5,2003
6596,"Britt, IA","Swea City, IA",1,3,0,3,1,0,1,3,0,4,2003
6603,"Britt, IA","Webster City, IA",3,1,0,1,0,3,3,1,0,4,2003
6534,"Britt, IA","Council Bluffs, IA",1,3,0,3,0,1,0,3,1,4,2003
6518,"Britt, IA","Armstrong, IA",1,2,0,1,2,0,1,2,0,3,2003
6547,"Britt, IA","Emmetsburg, IA",0,2,1,1,1,1,1,1,1,3,2003
6597,"Britt, IA","Thompson, IA",1,1,1,2,0,1,0,2,1,3,2003
6598,"Britt, IA","Titonka, IA",1,1,1,1,1,1,1,2,0,3,2003
6568,"Britt, IA","Livermore, IA",0,3,0,0,2,1,0,2,1,3,2003
6539,"Britt, IA","Davenport, IA",2,1,0,1,2,0,2,1,0,3,2003
6580,"Britt, IA","Oelwein, IA",2,1,0,0,2,1,2,1,0,3,2003
6600,"Britt, IA","Urbandale, IA",0,1,2,0,1,2,0,1,2,3,2003
6582,"Britt, IA","Ottumwa, IA",1,1,1,1,1,1,0,3,0,3,2003
6516,"Britt, IA","Ankeny, IA",2,1,0,0,1,2,2,0,1,3,2003
6540,"Britt, IA","Decorah, IA",0,1,2,0,2,1,1,2,0,3,2003
6527,"Britt, IA","Cedar Rapids, IA",3,0,0,0,2,1,1,2,0,3,2003
6567,"Britt, IA","Lincoln, IA",2,0,0,0,2,0,2,0,0,2,2003
6560,"Britt, IA","Johnston, IA",0,1,1,1,0,1,0,0,2,2,2003
6579,"Britt, IA","Northwood, IA",0,2,0,1,1,0,0,2,0,2,2003
6581,"Britt, IA","Osage, IA",1,1,0,0,1,1,1,1,0,2,2003
6594,"Britt, IA","Spencer, IA",0,1,1,0,1,1,2,0,0,2,2003
6604,"Britt, IA","West Burlington, IA",1,1,0,0,0,2,0,1,1,2,2003
6592,"Britt, IA","Sac City, IA",0,2,0,0,2,0,1,0,1,2,2003
6609,"Britt, IA","Woolstock, IA",1,1,0,0,0,2,0,2,0,2,2003
6558,"Britt, IA","Iowa City, IA",1,1,0,0,0,2,0,1,1,2,2003
6519,"Britt, IA","Bancroft, IA",0,2,0,0,2,0,2,0,0,2,2003
6521,"Britt, IA","Bettendorf, IA",0,0,2,0,0,2,1,1,0,2,2003
6530,"Britt, IA","Clarksville, IA",0,2,0,0,1,1,2,0,0,2,2003
6545,"Britt, IA","Duncombe, IA",0,2,0,0,0,2,0,0,2,2,2003
6522,"Britt, IA","Bristow, IA",0,2,0,0,2,0,0,1,1,2,2003
6546,"Britt, IA","Eagle Grove, IA",0,2,0,1,0,1,0,1,1,2,2003
6562,"Britt, IA","Kiron, IA",0,1,0,0,0,1,0,1,0,1,2003
6528,"Britt, IA","Charles City, IA",0,1,0,0,0,1,1,0,0,1,2003
6590,"Britt, IA","Rockwell, IA",0,0,1,0,1,0,1,0,0,1,2003
6591,"Britt, IA","Roland, IA",0,1,0,0,0,1,0,1,0,1,2003
6536,"Britt, IA","Creston, IA",0,1,0,0,1,0,0,1,0,1,2003
6593,"Britt, IA","Slater, IA",1,0,0,0,0,1,1,0,0,1,2003
6595,"Britt, IA","Strawberry Point, IA",1,0,0,0,0,1,0,0,1,1,2003
6599,"Britt, IA","University Heights, IA",0,1,0,0,1,0,1,0,0,1,2003
6526,"Britt, IA","Cedar Falls, IA",1,0,0,0,1,0,1,0,0,1,2003
6525,"Britt, IA","Burlington, IA",0,0,1,0,0,1,0,1,0,1,2003
6538,"Britt, IA","Dakota City, IA",0,1,0,0,0,1,0,0,1,1,2003
6601,"Britt, IA","Wadena, IA",1,0,0,0,0,1,0,1,0,1,2003
6602,"Britt, IA","Waukee, IA",1,0,0,0,1,0,1,0,0,1,2003
6605,"Britt, IA","West Des Moines, IA",0,0,1,1,0,0,0,1,0,1,2003
6606,"Britt, IA","Whittemore, IA",1,0,0,0,0,1,0,1,0,1,2003
6607,"Britt, IA","Windsor Heights, IA",0,1,0,0,0,1,1,0,0,1,2003
6517,"Britt, IA","Aredale, IA",1,0,0,0,0,1,0,1,0,1,2003
6589,"Britt, IA","Robins, IA",1,0,0,0,0,1,1,0,0,1,2003
6541,"Britt, IA","Denison, IA",1,0,0,0,1,0,1,0,0,1,2003
6587,"Britt, IA","Red Oak, IA",1,0,0,0,0,1,1,0,0,1,2003
6561,"Britt, IA","Joice, IA",0,1,0,1,0,0,0,0,1,1,2003
6512,"Britt, IA","Alden, IA",1,0,0,1,0,0,1,0,0,1,2003
6565,"Britt, IA","Lakota, IA",0,0,1,0,1,0,0,0,1,1,2003
6566,"Britt, IA","Le Mars, IA",0,1,0,0,1,0,1,0,0,1,2003
6556,"Britt, IA","Graettinger, IA",0,1,0,1,0,0,1,0,0,1,2003
6553,"Britt, IA","Fort Madison, IA",0,0,1,0,1,0,1,0,0,1,2003
6550,"Britt, IA","Fenton, IA",0,1,0,0,1,0,0,1,0,1,2003
6549,"Britt, IA","Farnhamville, IA",1,0,0,0,0,1,0,1,0,1,2003
6572,"Britt, IA","Milford, IA",0,1,0,1,0,0,0,1,0,1,2003
6573,"Britt, IA","Mitchellville, IA",0,0,1,0,1,0,0,0,1,1,2003
6574,"Britt, IA","Morley, IA",0,1,0,0,0,1,1,0,0,1,2003
6575,"Britt, IA","Mount Pleasant, IA",1,0,0,0,0,1,0,1,0,1,2003
6576,"Britt, IA","Nevada, IA",0,1,0,0,1,0,0,1,0,1,2003
