,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
29350,"Lake City, IA","Lake City, IA",98,232,101,34,361,36,228,174,29,431,2003
29368,"Lake City, IA","Rockwell City, IA",5,30,10,0,41,4,15,26,4,45,2003
29387,"Lake City, IA","Yetter, IA",21,17,3,24,5,12,19,14,8,41,2003
29348,"Lake City, IA","Knierim, IA",3,18,7,3,21,4,13,9,6,28,2003
29334,"Lake City, IA","Fort Dodge, IA",0,14,7,1,10,10,5,11,5,21,2003
29367,"Lake City, IA","Rinard, IA",2,12,5,4,14,1,7,8,4,19,2003
29314,"Lake City, IA","Carroll, IA",5,1,6,2,0,10,3,5,4,12,2003
29326,"Lake City, IA","Des Moines, IA",2,8,1,0,9,2,5,3,3,11,2003
29366,"Lake City, IA","Pomeroy, IA",1,7,1,0,5,4,3,5,1,9,2003
29370,"Lake City, IA","Sac City, IA",4,4,1,1,4,4,2,6,1,9,2003
29358,"Lake City, IA","Mason City, IA",1,6,1,2,5,1,3,3,2,8,2003
29356,"Lake City, IA","Manson, IA",1,5,2,1,5,2,5,3,0,8,2003
29332,"Lake City, IA","Farnhamville, IA",0,4,2,0,5,1,1,5,0,6,2003
29308,"Lake City, IA","Ankeny, IA",0,4,1,0,1,4,0,4,1,5,2003
29319,"Lake City, IA","Clive, IA",2,3,0,1,4,0,1,2,2,5,2003
29321,"Lake City, IA","Corwith, IA",1,1,2,2,0,2,2,2,0,4,2003
29377,"Lake City, IA","Spirit Lake, IA",1,2,1,1,1,2,2,2,0,4,2003
29374,"Lake City, IA","Sioux City, IA",2,2,0,0,2,2,1,2,1,4,2003
29355,"Lake City, IA","Lidderdale, IA",0,3,1,1,2,1,1,1,2,4,2003
29385,"Lake City, IA","Windsor Heights, IA",0,4,0,0,2,2,3,1,0,4,2003
29382,"Lake City, IA","Wall Lake, IA",2,2,0,1,2,1,1,3,0,4,2003
