,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
44094,"Plainfield, IA","Waverly, IA",19,102,7,41,70,17,28,60,40,128,2003
44092,"Plainfield, IA","Waterloo, IA",13,33,4,17,28,5,12,26,12,50,2003
44088,"Plainfield, IA","Sumner, IA",4,22,5,12,9,10,7,18,6,31,2003
44083,"Plainfield, IA","Readlyn, IA",7,11,10,11,13,4,15,10,3,28,2003
44029,"Plainfield, IA","Cedar Falls, IA",11,17,0,9,13,6,9,11,8,28,2003
44074,"Plainfield, IA","New Hampton, IA",5,9,2,6,4,6,6,8,2,16,2003
44080,"Plainfield, IA","Plainfield, IA",3,7,3,0,8,5,4,6,3,13,2003
44041,"Plainfield, IA","Denver, IA",4,7,1,5,7,0,7,4,1,12,2003
44046,"Plainfield, IA","Elk Run Heights, IA",0,11,0,11,0,0,0,4,7,11,2003
44089,"Plainfield, IA","Tripoli, IA",3,4,1,6,0,2,1,6,1,8,2003
44072,"Plainfield, IA","Nashua, IA",0,4,2,0,6,0,5,0,1,6,2003
44054,"Plainfield, IA","Fredericksburg, IA",1,3,1,1,0,4,1,4,0,5,2003
44030,"Plainfield, IA","Cedar Rapids, IA",5,0,0,0,4,1,4,1,0,5,2003
44048,"Plainfield, IA","Evansdale, IA",0,4,1,0,5,0,0,4,1,5,2003
44070,"Plainfield, IA","Mason City, IA",1,4,0,2,0,3,1,3,1,5,2003
44050,"Plainfield, IA","Fairbank, IA",2,0,2,2,0,2,1,3,0,4,2003
44076,"Plainfield, IA","Oelwein, IA",2,2,0,1,3,0,2,1,1,4,2003
44042,"Plainfield, IA","Des Moines, IA",1,3,0,1,3,0,2,1,1,4,2003
44044,"Plainfield, IA","Dunkerton, IA",0,3,0,0,2,1,0,3,0,3,2003
44062,"Plainfield, IA","Iowa City, IA",2,0,1,0,3,0,1,2,0,3,2003
44081,"Plainfield, IA","Randalia, IA",0,3,0,2,1,0,1,2,0,3,2003
44064,"Plainfield, IA","Jesup, IA",0,3,0,2,0,1,1,2,0,3,2003
44043,"Plainfield, IA","Dubuque, IA",0,3,0,0,3,0,0,3,0,3,2003
44038,"Plainfield, IA","Cresco, IA",2,0,1,3,0,0,0,3,0,3,2003
44035,"Plainfield, IA","Clive, IA",3,0,0,0,1,2,2,1,0,3,2003
44031,"Plainfield, IA","Charles City, IA",1,1,1,0,2,1,2,0,1,3,2003
44073,"Plainfield, IA","Nevada, IA",1,2,0,0,2,1,1,2,0,3,2003
44096,"Plainfield, IA","West Union, IA",0,1,2,1,2,0,2,1,0,3,2003
44057,"Plainfield, IA","Hazleton, IA",0,2,1,1,1,1,2,1,0,3,2003
44058,"Plainfield, IA","Hiawatha, IA",2,0,0,0,2,0,2,0,0,2,2003
44078,"Plainfield, IA","Parkersburg, IA",2,0,0,1,1,0,1,1,0,2,2003
44063,"Plainfield, IA","Janesville, IA",2,0,0,1,0,1,0,2,0,2,2003
44068,"Plainfield, IA","Marquette, IA",1,1,0,0,0,2,1,1,0,2,2003
44069,"Plainfield, IA","Marshalltown, IA",1,1,0,0,2,0,0,1,1,2,2003
44024,"Plainfield, IA","Alta Vista, IA",0,2,0,0,2,0,0,2,0,2,2003
44097,"Plainfield, IA","Windsor Heights, IA",1,1,0,0,1,1,0,1,1,2,2003
44084,"Plainfield, IA","Shell Rock, IA",1,1,0,1,1,0,0,2,0,2,2003
44086,"Plainfield, IA","Spencer, IA",1,0,1,1,0,1,2,0,0,2,2003
44040,"Plainfield, IA","Decorah, IA",1,0,1,0,2,0,2,0,0,2,2003
44090,"Plainfield, IA","University Heights, IA",1,0,1,0,1,1,0,2,0,2,2003
44034,"Plainfield, IA","Clarksville, IA",1,1,0,1,0,1,0,2,0,2,2003
44028,"Plainfield, IA","Bettendorf, IA",1,1,0,0,0,2,0,1,1,2,2003
44027,"Plainfield, IA","Belmond, IA",0,1,1,0,2,0,0,2,0,2,2003
44082,"Plainfield, IA","Raymond, IA",0,1,0,1,0,0,0,1,0,1,2003
44085,"Plainfield, IA","Sioux City, IA",0,1,0,0,1,0,0,1,0,1,2003
44075,"Plainfield, IA","Newton, IA",0,1,0,0,0,1,0,1,0,1,2003
44079,"Plainfield, IA","Pella, IA",1,0,0,0,1,0,1,0,0,1,2003
44077,"Plainfield, IA","Ottumwa, IA",0,1,0,0,1,0,0,1,0,1,2003
44091,"Plainfield, IA","University Park, IA",0,1,0,0,1,0,1,0,0,1,2003
44093,"Plainfield, IA","Waukee, IA",1,0,0,0,1,0,0,1,0,1,2003
44095,"Plainfield, IA","Webster City, IA",0,1,0,0,0,1,0,0,1,1,2003
44087,"Plainfield, IA","Stanley, IA",1,0,0,0,0,1,1,0,0,1,2003
44023,"Plainfield, IA","Allison, IA",0,1,0,0,0,1,0,0,1,1,2003
44071,"Plainfield, IA","Muscatine, IA",1,0,0,1,0,0,1,0,0,1,2003
44067,"Plainfield, IA","Lincoln, IA",0,0,1,0,0,1,0,1,0,1,2003
