,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
45596,"Protivin, IA","Cresco, IA",41,190,52,127,114,42,79,171,33,283,2003
45601,"Protivin, IA","Decorah, IA",33,66,20,41,67,11,45,63,11,119,2003
45646,"Protivin, IA","Protivin, IA",20,36,23,15,40,24,40,36,3,79,2003
45612,"Protivin, IA","Fort Atkinson, IA",12,25,13,11,24,15,23,20,7,50,2003
45628,"Protivin, IA","Lime Springs, IA",4,24,5,12,11,10,8,24,1,33,2003
45635,"Protivin, IA","McIntire, IA",8,2,3,8,3,2,4,9,0,13,2003
45633,"Protivin, IA","Marshalltown, IA",6,3,3,4,6,2,2,7,3,12,2003
45640,"Protivin, IA","New Hampton, IA",1,9,0,2,6,2,2,4,4,10,2003
45587,"Protivin, IA","Castalia, IA",0,7,3,3,6,1,3,4,3,10,2003
45634,"Protivin, IA","Mason City, IA",5,4,0,3,2,4,2,3,4,9,2003
45581,"Protivin, IA","Ames, IA",5,4,0,1,5,3,4,4,1,9,2003
45603,"Protivin, IA","Des Moines, IA",0,6,2,2,4,2,2,1,5,8,2003
45656,"Protivin, IA","Waterloo, IA",4,1,2,2,5,0,6,1,0,7,2003
45664,"Protivin, IA","West Union, IA",0,4,2,3,3,0,0,6,0,6,2003
45593,"Protivin, IA","Clive, IA",1,3,1,0,4,1,3,1,1,5,2003
45607,"Protivin, IA","Elma, IA",3,1,1,0,4,1,4,1,0,5,2003
45621,"Protivin, IA","Iowa City, IA",2,2,1,1,3,1,2,3,0,5,2003
45648,"Protivin, IA","Ridgeway, IA",1,3,0,0,3,1,1,2,1,4,2003
45637,"Protivin, IA","Morrison, IA",1,3,0,3,0,1,0,1,3,4,2003
45625,"Protivin, IA","Lawler, IA",0,2,2,4,0,0,3,1,0,4,2003
45642,"Protivin, IA","Newton, IA",1,2,1,0,2,2,1,1,2,4,2003
