,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
56395,"Walford, IA","Cedar Rapids, IA",62,235,51,114,150,84,58,138,152,348,2003
56389,"Walford, IA","Blairstown, IA",25,99,27,84,58,9,36,70,45,151,2003
56479,"Walford, IA","Walford, IA",44,56,48,29,78,41,75,58,15,148,2003
56422,"Walford, IA","Hiawatha, IA",24,50,6,7,64,9,28,31,21,80,2003
56426,"Walford, IA","Iowa City, IA",15,41,4,3,44,13,17,17,26,60,2003
56486,"Walford, IA","Williamsburg, IA",11,22,16,15,24,10,20,20,9,49,2003
56436,"Walford, IA","Marengo, IA",9,19,14,13,22,7,21,9,12,42,2003
56466,"Walford, IA","Shueyville, IA",11,21,2,1,19,14,9,18,7,34,2003
56407,"Walford, IA","Des Moines, IA",9,23,1,0,21,12,7,10,16,33,2003
56412,"Walford, IA","Ely, IA",12,17,1,7,23,0,2,11,17,30,2003
56384,"Walford, IA","Atkins, IA",4,16,6,5,13,8,16,6,4,26,2003
56451,"Walford, IA","North Liberty, IA",8,14,2,11,10,3,7,10,7,24,2003
56449,"Walford, IA","Newton, IA",1,18,2,11,0,10,2,10,9,21,2003
56415,"Walford, IA","Fairfax, IA",7,11,2,10,3,7,5,7,8,20,2003
56437,"Walford, IA","Marion, IA",5,10,3,7,3,8,1,9,8,18,2003
56476,"Walford, IA","Van Horne, IA",4,7,4,1,3,11,8,3,4,15,2003
56471,"Walford, IA","Tiffin, IA",1,13,0,1,6,7,3,6,5,14,2003
56473,"Walford, IA","University Heights, IA",0,12,2,0,12,2,3,4,7,14,2003
56447,"Walford, IA","Muscatine, IA",4,6,2,2,4,6,2,7,3,12,2003
56481,"Walford, IA","Waterloo, IA",4,8,0,7,3,2,5,6,1,12,2003
56485,"Walford, IA","West Des Moines, IA",3,6,2,2,3,6,5,3,3,11,2003
56404,"Walford, IA","Davenport, IA",3,6,1,0,7,3,5,3,2,10,2003
56463,"Walford, IA","Robins, IA",2,8,0,1,5,4,3,3,4,10,2003
56457,"Walford, IA","Parnell, IA",1,3,4,0,7,1,2,5,1,8,2003
56478,"Walford, IA","Vinton, IA",3,5,0,0,5,3,3,0,5,8,2003
56455,"Walford, IA","Oxford, IA",4,4,0,0,8,0,4,1,3,8,2003
56401,"Walford, IA","Coralville, IA",5,3,0,0,2,6,4,1,3,8,2003
56399,"Walford, IA","Clive, IA",1,4,2,1,2,4,1,5,1,7,2003
56408,"Walford, IA","Dubuque, IA",1,3,2,2,4,0,2,3,1,6,2003
56382,"Walford, IA","Ankeny, IA",1,4,1,1,1,4,1,3,2,6,2003
56453,"Walford, IA","Norway, IA",1,3,1,0,3,2,3,2,0,5,2003
56411,"Walford, IA","Elberon, IA",1,3,1,0,4,1,5,0,0,5,2003
56393,"Walford, IA","Carlisle, IA",1,3,1,1,2,2,3,2,0,5,2003
56430,"Walford, IA","Ladora, IA",0,4,0,4,0,0,0,1,3,4,2003
56420,"Walford, IA","Hampton, IA",2,2,0,2,1,1,2,1,1,4,2003
56388,"Walford, IA","Bettendorf, IA",2,2,0,0,1,3,2,2,0,4,2003
56475,"Walford, IA","Urbandale, IA",2,2,0,0,2,2,2,0,2,4,2003
56440,"Walford, IA","Mason City, IA",2,2,0,0,2,2,1,2,1,4,2003
56394,"Walford, IA","Cedar Falls, IA",2,2,0,0,2,2,3,1,0,4,2003
56438,"Walford, IA","Marshalltown, IA",2,1,0,0,1,2,2,1,0,3,2003
56428,"Walford, IA","Johnston, IA",1,2,0,0,0,3,1,1,1,3,2003
56445,"Walford, IA","Mount Pleasant, IA",1,1,1,0,0,3,1,2,0,3,2003
56418,"Walford, IA","Fort Dodge, IA",0,2,1,0,2,1,1,1,1,3,2003
56484,"Walford, IA","West Burlington, IA",0,2,1,1,1,1,2,0,1,3,2003
56385,"Walford, IA","Belle Plaine, IA",3,0,0,3,0,0,0,1,2,3,2003
56482,"Walford, IA","Waverly, IA",2,1,0,1,1,1,1,1,1,3,2003
56381,"Walford, IA","Ames, IA",2,1,0,0,1,2,2,1,0,3,2003
56390,"Walford, IA","Bloomfield, IA",0,3,0,3,0,0,2,1,0,3,2003
56434,"Walford, IA","Malcom, IA",0,2,0,1,1,0,0,2,0,2,2003
56460,"Walford, IA","Readlyn, IA",0,2,0,1,1,0,1,1,0,2,2003
56459,"Walford, IA","Rathbun, IA",2,0,0,0,0,2,2,0,0,2,2003
56444,"Walford, IA","Mount Auburn, IA",1,1,0,1,1,0,0,2,0,2,2003
56443,"Walford, IA","Moulton, IA",2,0,0,0,1,1,1,1,0,2,2003
56387,"Walford, IA","Bertram, IA",1,1,0,1,0,1,0,2,0,2,2003
56450,"Walford, IA","North English, IA",0,0,2,0,1,1,1,0,1,2,2003
56403,"Walford, IA","Creston, IA",0,1,1,0,1,1,1,1,0,2,2003
56379,"Walford, IA","Alden, IA",2,0,0,1,1,0,1,0,1,2,2003
56472,"Walford, IA","Tipton, IA",0,1,1,1,1,0,1,1,0,2,2003
56406,"Walford, IA","Denver, IA",0,2,0,0,0,2,0,0,2,2,2003
56402,"Walford, IA","Cresco, IA",0,2,0,1,0,1,1,0,1,2,2003
56429,"Walford, IA","Keosauqua, IA",0,2,0,0,2,0,0,0,2,2,2003
56397,"Walford, IA","Chariton, IA",0,1,1,1,0,1,0,1,1,2,2003
56392,"Walford, IA","Bussey, IA",0,2,0,2,0,0,0,0,2,2,2003
56474,"Walford, IA","Urbana, IA",1,1,0,1,1,0,1,1,0,2,2003
56480,"Walford, IA","Washington, IA",0,1,0,1,0,0,0,0,1,1,2003
56458,"Walford, IA","Randalia, IA",0,1,0,0,1,0,1,0,0,1,2003
56477,"Walford, IA","Victor, IA",0,0,1,0,1,0,0,0,1,1,2003
56456,"Walford, IA","Palo, IA",0,0,1,0,0,1,1,0,0,1,2003
56469,"Walford, IA","Solon, IA",0,1,0,0,1,0,0,1,0,1,2003
56470,"Walford, IA","Springville, IA",0,1,0,1,0,0,0,0,1,1,2003
56464,"Walford, IA","Rockwell, IA",0,0,1,0,1,0,1,0,0,1,2003
56468,"Walford, IA","Slater, IA",1,0,0,0,0,1,0,1,0,1,2003
56461,"Walford, IA","Riverdale, IA",1,0,0,0,0,1,1,0,0,1,2003
56462,"Walford, IA","Riverside, IA",1,0,0,0,1,0,1,0,0,1,2003
56467,"Walford, IA","Sigourney, IA",0,1,0,0,1,0,0,1,0,1,2003
56483,"Walford, IA","Webster, IA",0,1,0,0,0,1,0,1,0,1,2003
56465,"Walford, IA","Roland, IA",0,1,0,0,1,0,1,0,0,1,2003
56378,"Walford, IA","Adel, IA",0,0,1,0,1,0,0,1,0,1,2003
56433,"Walford, IA","Lisbon, IA",1,0,0,0,0,1,0,1,0,1,2003
56454,"Walford, IA","Ottumwa, IA",0,1,0,0,0,1,0,1,0,1,2003
56417,"Walford, IA","Farley, IA",0,0,1,0,0,1,1,0,0,1,2003
56380,"Walford, IA","Allison, IA",0,1,0,0,1,0,0,1,0,1,2003
56383,"Walford, IA","Asbury, IA",0,1,0,0,1,0,0,0,1,1,2003
56386,"Walford, IA","Bennett, IA",1,0,0,0,0,1,0,1,0,1,2003
56391,"Walford, IA","Brooklyn, IA",0,1,0,1,0,0,0,0,1,1,2003
56396,"Walford, IA","Central City, IA",0,1,0,0,0,1,0,0,1,1,2003
56398,"Walford, IA","Clinton, IA",0,1,0,0,0,1,1,0,0,1,2003
56400,"Walford, IA","Columbus Junction, IA",0,1,0,0,1,0,0,0,1,1,2003
56405,"Walford, IA","Denison, IA",0,1,0,0,1,0,0,1,0,1,2003
56409,"Walford, IA","Dyersville, IA",0,1,0,1,0,0,1,0,0,1,2003
56410,"Walford, IA","Eagle Grove, IA",1,0,0,0,1,0,1,0,0,1,2003
56413,"Walford, IA","Evansdale, IA",1,0,0,0,0,1,1,0,0,1,2003
56414,"Walford, IA","Everly, IA",0,1,0,0,0,1,0,1,0,1,2003
56416,"Walford, IA","Fairfield, IA",0,1,0,0,0,1,0,1,0,1,2003
56419,"Walford, IA","Guernsey, IA",1,0,0,0,0,1,1,0,0,1,2003
56452,"Walford, IA","Norwalk, IA",0,1,0,0,1,0,0,0,1,1,2003
56421,"Walford, IA","Hazleton, IA",1,0,0,0,0,1,1,0,0,1,2003
56423,"Walford, IA","Huxley, IA",0,1,0,1,0,0,0,1,0,1,2003
56424,"Walford, IA","Independence, IA",0,0,1,0,0,1,0,0,1,1,2003
56425,"Walford, IA","Indianola, IA",1,0,0,0,0,1,1,0,0,1,2003
56427,"Walford, IA","Iowa Falls, IA",1,0,0,0,0,1,1,0,0,1,2003
56431,"Walford, IA","Lambs Grove, IA",1,0,0,0,1,0,1,0,0,1,2003
56432,"Walford, IA","Leon, IA",0,1,0,1,0,0,0,0,1,1,2003
56435,"Walford, IA","Manchester, IA",0,1,0,0,1,0,0,1,0,1,2003
56439,"Walford, IA","Martelle, IA",0,1,0,1,0,0,0,0,1,1,2003
56441,"Walford, IA","Morley, IA",0,1,0,0,0,1,0,1,0,1,2003
56442,"Walford, IA","Morrison, IA",0,1,0,0,0,1,1,0,0,1,2003
56446,"Walford, IA","Mount Union, IA",1,0,0,0,1,0,1,0,0,1,2003
56448,"Walford, IA","New Hampton, IA",1,0,0,0,0,1,1,0,0,1,2003
56487,"Walford, IA","Windsor Heights, IA",1,0,0,0,0,1,0,1,0,1,2003
