,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
11228,"Clive, IA","Des Moines, IA",1665,2484,430,132,3547,900,1526,2224,829,4579,2003
11189,"Clive, IA","Clive, IA",1042,2262,501,56,3239,510,968,1275,1562,3805,2003
11700,"Clive, IA","Windsor Heights, IA",929,1527,351,55,2249,503,746,1222,839,2807,2003
11659,"Clive, IA","Urbandale, IA",649,1212,261,36,1656,430,582,808,732,2122,2003
11686,"Clive, IA","West Des Moines, IA",523,1142,283,35,1583,330,586,693,669,1948,2003
11676,"Clive, IA","Waukee, IA",430,832,157,27,1197,195,329,494,596,1419,2003
11109,"Clive, IA","Ankeny, IA",363,714,108,31,941,213,228,448,509,1185,2003
11538,"Clive, IA","Pleasant Hill, IA",339,542,109,44,783,163,275,525,190,990,2003
11502,"Clive, IA","Norwalk, IA",285,533,68,19,709,158,211,420,255,886,2003
11361,"Clive, IA","Johnston, IA",218,436,82,20,577,139,193,274,269,736,2003
11163,"Clive, IA","Carlisle, IA",102,229,50,4,319,58,85,201,95,381,2003
11350,"Clive, IA","Indianola, IA",118,209,35,9,297,56,95,153,114,362,2003
11219,"Clive, IA","De Soto, IA",97,222,43,15,293,54,69,169,124,362,2003
11104,"Clive, IA","Altoona, IA",89,205,30,12,253,59,74,155,95,324,2003
11172,"Clive, IA","Cedar Rapids, IA",108,135,42,0,211,74,110,75,100,285,2003
11105,"Clive, IA","Ames, IA",138,116,23,7,190,80,128,66,83,277,2003
11216,"Clive, IA","Davenport, IA",96,118,23,0,128,109,126,67,44,237,2003
11353,"Clive, IA","Iowa City, IA",119,102,15,3,141,92,88,68,80,236,2003
11314,"Clive, IA","Grimes, IA",57,147,17,8,164,49,55,88,78,221,2003
11661,"Clive, IA","Van Meter, IA",54,121,20,5,162,28,49,69,77,195,2003
11544,"Clive, IA","Polk City, IA",37,143,11,1,172,18,30,84,77,191,2003
11618,"Clive, IA","Spring Hill, IA",41,118,31,11,158,21,42,65,83,190,2003
11092,"Clive, IA","Adel, IA",60,111,16,3,154,30,33,94,60,187,2003
11674,"Clive, IA","Waterloo, IA",89,81,16,1,90,95,81,76,29,186,2003
11426,"Clive, IA","Madrid, IA",51,95,13,5,138,16,33,74,52,159,2003
11702,"Clive, IA","Winterset, IA",47,82,13,9,120,13,26,75,41,142,2003
11533,"Clive, IA","Perry, IA",45,78,16,1,117,21,31,98,10,139,2003
11377,"Clive, IA","Knoxville, IA",54,79,3,0,119,17,50,70,16,136,2003
11459,"Clive, IA","Minburn, IA",33,80,19,1,121,10,29,67,36,132,2003
11307,"Clive, IA","Granger, IA",28,96,7,3,108,20,30,54,47,131,2003
11338,"Clive, IA","Hiawatha, IA",49,60,15,0,97,27,36,38,50,124,2003
11622,"Clive, IA","St. Marys, IA",38,70,14,6,104,12,27,56,39,122,2003
11203,"Clive, IA","Council Bluffs, IA",58,39,19,2,76,38,64,33,19,116,2003
11441,"Clive, IA","Marshalltown, IA",39,49,26,0,79,35,53,49,12,114,2003
11529,"Clive, IA","Patterson, IA",26,77,7,2,97,11,21,43,46,110,2003
11171,"Clive, IA","Cedar Falls, IA",52,51,6,1,46,62,53,39,17,109,2003
11229,"Clive, IA","Dexter, IA",28,73,7,3,94,11,18,51,39,108,2003
11138,"Clive, IA","Bettendorf, IA",44,49,13,0,61,45,46,33,27,106,2003
11214,"Clive, IA","Dallas Center, IA",22,57,10,3,66,20,22,45,22,89,2003
11611,"Clive, IA","Sioux City, IA",37,46,4,1,46,40,29,35,23,87,2003
11146,"Clive, IA","Boone, IA",36,40,7,0,53,30,30,27,26,83,2003
11575,"Clive, IA","Robins, IA",32,38,6,0,55,21,33,18,25,76,2003
11495,"Clive, IA","Newton, IA",31,40,2,0,63,10,21,43,9,73,2003
11444,"Clive, IA","Mason City, IA",20,46,5,0,54,17,31,24,16,71,2003
11516,"Clive, IA","Ottumwa, IA",30,33,8,0,27,44,37,22,12,71,2003
11656,"Clive, IA","University Heights, IA",33,33,3,1,38,30,22,32,15,69,2003
11564,"Clive, IA","Redfield, IA",9,49,5,0,51,12,6,32,25,63,2003
11282,"Clive, IA","Fort Dodge, IA",23,27,10,1,42,17,25,25,10,60,2003
11463,"Clive, IA","Mitchellville, IA",17,40,3,0,52,8,19,20,21,60,2003
11198,"Clive, IA","Coralville, IA",32,25,2,0,34,25,26,21,12,59,2003
11707,"Clive, IA","Woodward, IA",13,39,3,4,40,11,15,26,14,55,2003
11500,"Clive, IA","North Liberty, IA",26,23,5,0,31,23,23,20,11,54,2003
11177,"Clive, IA","Chariton, IA",18,26,6,4,31,15,17,22,11,50,2003
11346,"Clive, IA","Huxley, IA",18,28,4,0,42,8,11,27,12,50,2003
11238,"Clive, IA","Dubuque, IA",24,21,4,0,31,18,20,13,16,49,2003
11164,"Clive, IA","Carroll, IA",16,24,8,7,21,20,23,10,15,48,2003
11090,"Clive, IA","Ackworth, IA",9,35,4,0,41,7,10,21,17,48,2003
11247,"Clive, IA","East Peru, IA",12,27,8,1,37,9,12,15,20,47,2003
11486,"Clive, IA","Nevada, IA",16,22,8,2,22,22,14,26,6,46,2003
11315,"Clive, IA","Grinnell, IA",14,22,9,3,33,9,15,23,7,45,2003
11145,"Clive, IA","Bondurant, IA",16,23,3,0,35,7,12,13,17,42,2003
11158,"Clive, IA","Burlington, IA",23,13,5,0,18,23,18,14,9,41,2003
11513,"Clive, IA","Osceola, IA",11,25,4,2,34,4,11,22,7,40,2003
11187,"Clive, IA","Clinton, IA",13,18,6,2,29,6,13,7,17,37,2003
11452,"Clive, IA","Melcher-Dallas, IA",21,14,1,0,29,7,7,25,4,36,2003
11406,"Clive, IA","Linden, IA",8,22,6,1,30,5,7,14,15,36,2003
11641,"Clive, IA","Swan, IA",7,26,2,2,27,6,7,18,10,35,2003
11162,"Clive, IA","Cambridge, IA",9,24,0,1,23,9,6,18,9,33,2003
11484,"Clive, IA","Muscatine, IA",17,14,2,0,19,14,16,9,8,33,2003
11379,"Clive, IA","Lacona, IA",6,19,7,2,26,4,7,12,13,32,2003
11192,"Clive, IA","Colfax, IA",5,25,2,0,31,1,2,15,15,32,2003
11168,"Clive, IA","Casey, IA",5,25,1,0,28,3,4,19,8,31,2003
11531,"Clive, IA","Pella, IA",17,14,0,1,24,6,15,8,8,31,2003
11318,"Clive, IA","Guthrie Center, IA",9,15,6,3,20,7,5,21,4,30,2003
11193,"Clive, IA","Colo, IA",8,20,2,0,19,11,4,14,12,30,2003
11593,"Clive, IA","Sandyville, IA",12,14,3,5,22,2,8,17,4,29,2003
11270,"Clive, IA","Fairfax, IA",9,16,3,0,23,5,7,10,11,28,2003
11312,"Clive, IA","Greenfield, IA",10,16,2,0,24,4,2,15,11,28,2003
11266,"Clive, IA","Evansdale, IA",15,11,2,0,12,16,14,9,5,28,2003
11514,"Clive, IA","Oskaloosa, IA",12,10,6,0,20,8,13,13,2,28,2003
11226,"Clive, IA","Denison, IA",10,16,1,0,21,6,5,18,4,27,2003
11166,"Clive, IA","Carter Lake, IA",11,9,5,1,14,10,12,9,4,25,2003
11633,"Clive, IA","Story City, IA",12,12,1,3,19,3,7,9,9,25,2003
11585,"Clive, IA","Runnells, IA",7,15,2,0,18,6,7,7,10,24,2003
11547,"Clive, IA","Prairie City, IA",4,13,6,0,21,2,5,10,8,23,2003
11388,"Clive, IA","Lamoni, IA",6,14,2,0,18,4,10,10,2,22,2003
11526,"Clive, IA","Panorama Park, IA",11,11,0,0,15,7,11,5,6,22,2003
11253,"Clive, IA","Eldridge, IA",8,10,4,0,14,8,13,3,6,22,2003
11330,"Clive, IA","Harvey, IA",8,12,2,1,19,2,11,8,3,22,2003
11397,"Clive, IA","Le Mars, IA",10,9,3,0,15,7,9,8,5,22,2003
11221,"Clive, IA","Decorah, IA",12,6,3,0,15,6,12,8,1,21,2003
