,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
21837,"Forest City, IA","Forest City, IA",193,465,162,14,655,151,413,263,144,820,2003
21869,"Forest City, IA","Lake Mills, IA",20,73,23,3,90,23,57,43,16,116,2003
21840,"Forest City, IA","Garner, IA",30,60,17,3,61,43,51,49,7,107,2003
21818,"Forest City, IA","Crystal Lake, IA",19,38,6,1,47,15,35,25,3,63,2003
21883,"Forest City, IA","Mason City, IA",20,27,8,2,45,8,18,25,12,55,2003
21799,"Forest City, IA","Britt, IA",17,31,5,0,38,15,28,21,4,53,2003
21874,"Forest City, IA","Leland, IA",13,33,6,0,47,5,31,18,3,52,2003
21811,"Forest City, IA","Clear Lake, IA",6,22,11,0,27,12,9,21,9,39,2003
21800,"Forest City, IA","Buffalo Center, IA",15,19,5,0,27,12,19,16,4,39,2003
21918,"Forest City, IA","Scarville, IA",6,23,7,4,25,7,13,18,5,36,2003
21866,"Forest City, IA","Klemme, IA",9,18,4,0,22,9,13,16,2,31,2003
21908,"Forest City, IA","Rake, IA",4,16,4,0,21,3,13,8,3,24,2003
21895,"Forest City, IA","Northwood, IA",8,8,0,1,10,5,10,6,0,16,2003
21863,"Forest City, IA","Joice, IA",4,10,1,2,10,3,7,6,2,15,2003
21896,"Forest City, IA","Osage, IA",10,4,0,0,13,1,11,3,0,14,2003
21816,"Forest City, IA","Corwith, IA",2,8,3,0,12,1,9,1,3,13,2003
21933,"Forest City, IA","Thompson, IA",3,6,3,0,10,2,3,8,1,12,2003
21838,"Forest City, IA","Fort Dodge, IA",8,3,0,1,6,4,7,4,0,11,2003
21843,"Forest City, IA","Hampton, IA",1,5,3,0,3,6,3,5,1,9,2003
21902,"Forest City, IA","Plymouth, IA",2,4,1,0,5,2,3,1,3,7,2003
21894,"Forest City, IA","Nora Springs, IA",1,5,1,0,7,0,3,2,2,7,2003
21820,"Forest City, IA","Davenport, IA",1,3,2,1,4,1,5,1,0,6,2003
21830,"Forest City, IA","Estherville, IA",1,2,2,0,3,2,3,2,0,5,2003
21844,"Forest City, IA","Hanlontown, IA",2,3,0,0,2,3,2,3,0,5,2003
