,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
29871,"Joice, IA","Clear Lake, IA",5,14,9,19,0,9,11,11,6,28,2003
29889,"Joice, IA","Mason City, IA",2,12,2,7,0,9,3,9,4,16,2003
29891,"Joice, IA","Northwood, IA",3,2,4,4,2,3,5,3,1,9,2003
29887,"Joice, IA","Leland, IA",1,4,2,1,1,5,1,3,3,7,2003
29879,"Joice, IA","Forest City, IA",0,7,0,2,1,4,3,2,2,7,2003
29893,"Joice, IA","Scarville, IA",0,5,1,0,0,6,3,3,0,6,2003
29885,"Joice, IA","Lake Mills, IA",0,3,2,1,1,3,2,2,1,5,2003
29883,"Joice, IA","Joice, IA",2,1,1,3,0,1,1,2,1,4,2003
29873,"Joice, IA","Corwith, IA",0,3,0,3,0,0,0,1,2,3,2003
29888,"Joice, IA","Manly, IA",0,1,2,0,2,1,3,0,0,3,2003
29882,"Joice, IA","Hanlontown, IA",0,2,1,3,0,0,1,1,1,3,2003
29894,"Joice, IA","Shell Rock, IA",0,2,0,2,0,0,0,2,0,2,2003
29890,"Joice, IA","Milford, IA",1,0,1,2,0,0,0,1,1,2,2003
29881,"Joice, IA","Garner, IA",0,1,1,1,0,1,1,1,0,2,2003
29874,"Joice, IA","Crystal Lake, IA",0,1,1,2,0,0,1,0,1,2,2003
29870,"Joice, IA","Cedar Falls, IA",0,2,0,2,0,0,0,2,0,2,2003
29898,"Joice, IA","Thornton, IA",1,0,0,1,0,0,0,1,0,1,2003
29899,"Joice, IA","Urbandale, IA",0,1,0,1,0,0,0,0,1,1,2003
29897,"Joice, IA","Superior, IA",0,1,0,1,0,0,0,0,1,1,2003
29900,"Joice, IA","Waterloo, IA",0,1,0,1,0,0,1,0,0,1,2003
29896,"Joice, IA","Stanley, IA",0,0,1,1,0,0,1,0,0,1,2003
29901,"Joice, IA","Waukon, IA",1,0,0,1,0,0,0,0,1,1,2003
29902,"Joice, IA","Waverly, IA",0,1,0,1,0,0,0,0,1,1,2003
29903,"Joice, IA","Windsor Heights, IA",0,0,1,0,0,1,0,1,0,1,2003
29895,"Joice, IA","Sibley, IA",0,0,1,1,0,0,0,0,1,1,2003
29868,"Joice, IA","Ames, IA",0,1,0,1,0,0,0,0,1,1,2003
29886,"Joice, IA","Larchwood, IA",0,1,0,1,0,0,0,0,1,1,2003
29892,"Joice, IA","Pomeroy, IA",0,0,1,1,0,0,0,1,0,1,2003
29869,"Joice, IA","Britt, IA",0,1,0,1,0,0,0,0,1,1,2003
29884,"Joice, IA","Kensett, IA",0,1,0,0,0,1,1,0,0,1,2003
29880,"Joice, IA","Fort Dodge, IA",0,0,1,1,0,0,0,1,0,1,2003
29878,"Joice, IA","Fairbank, IA",0,1,0,0,0,1,0,1,0,1,2003
29877,"Joice, IA","Evansdale, IA",0,1,0,0,0,1,1,0,0,1,2003
29876,"Joice, IA","Dubuque, IA",0,1,0,1,0,0,0,0,1,1,2003
29875,"Joice, IA","Decorah, IA",0,1,0,1,0,0,0,1,0,1,2003
29872,"Joice, IA","Clive, IA",0,0,1,1,0,0,1,0,0,1,2003
29904,"Joice, IA","Woden, IA",0,1,0,1,0,0,0,1,0,1,2003
