,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
34874,"Marengo, IA","Marengo, IA",73,168,55,40,206,50,131,123,42,296,2003
34865,"Marengo, IA","Ladora, IA",16,59,23,15,70,13,32,49,17,98,2003
34825,"Marengo, IA","Cedar Rapids, IA",23,52,5,49,28,3,19,39,22,80,2003
34856,"Marengo, IA","Hartwick, IA",12,40,14,11,43,12,22,34,10,66,2003
34936,"Marengo, IA","Walford, IA",9,19,14,13,22,7,21,9,12,42,2003
34815,"Marengo, IA","Belle Plaine, IA",6,31,5,27,11,4,7,25,10,42,2003
34932,"Marengo, IA","Victor, IA",6,29,5,22,16,2,14,16,10,40,2003
34893,"Marengo, IA","North Liberty, IA",9,18,4,5,25,1,13,13,5,31,2003
34859,"Marengo, IA","Iowa City, IA",6,17,8,6,23,2,13,12,6,31,2003
34948,"Marengo, IA","Williamsburg, IA",10,12,9,8,18,5,15,12,4,31,2003
34924,"Marengo, IA","Tama, IA",8,17,3,20,7,1,3,18,7,28,2003
34818,"Marengo, IA","Blairstown, IA",4,12,7,7,13,3,12,8,3,23,2003
34858,"Marengo, IA","Hiawatha, IA",7,13,1,12,6,3,6,8,7,21,2003
34899,"Marengo, IA","Oxford, IA",5,11,3,8,10,1,3,12,4,19,2003
34852,"Marengo, IA","Grinnell, IA",3,9,4,9,6,1,5,10,1,16,2003
34892,"Marengo, IA","North English, IA",2,12,2,8,7,1,3,9,4,16,2003
34835,"Marengo, IA","Des Moines, IA",11,4,0,0,10,5,6,8,1,15,2003
34942,"Marengo, IA","Webster, IA",4,9,2,7,8,0,4,8,3,15,2003
34901,"Marengo, IA","Parnell, IA",1,11,2,2,12,0,4,7,3,14,2003
34838,"Marengo, IA","Elberon, IA",3,9,1,9,4,0,1,7,5,13,2003
34862,"Marengo, IA","Keystone, IA",1,9,3,7,4,2,5,3,5,13,2003
34925,"Marengo, IA","Tiffin, IA",3,7,2,4,8,0,4,2,6,12,2003
34895,"Marengo, IA","Norway, IA",3,5,4,5,5,2,4,5,3,12,2003
34844,"Marengo, IA","Fairfax, IA",4,6,2,5,6,1,4,7,1,12,2003
34820,"Marengo, IA","Brooklyn, IA",2,8,1,6,5,0,1,9,1,11,2003
34871,"Marengo, IA","Malcom, IA",3,8,0,6,5,0,3,6,2,11,2003
34854,"Marengo, IA","Guernsey, IA",1,7,2,7,3,0,0,8,2,10,2003
34930,"Marengo, IA","Urbana, IA",1,8,1,2,8,0,0,9,1,10,2003
34926,"Marengo, IA","Toledo, IA",0,7,3,1,9,0,2,8,0,10,2003
34876,"Marengo, IA","Marshalltown, IA",0,8,2,0,10,0,2,6,2,10,2003
34883,"Marengo, IA","Montezuma, IA",2,6,1,4,1,4,2,4,3,9,2003
34911,"Marengo, IA","Robins, IA",4,2,2,2,1,5,5,3,0,8,2003
34915,"Marengo, IA","Sigourney, IA",1,5,1,3,4,0,1,3,3,7,2003
34928,"Marengo, IA","University Heights, IA",3,4,0,3,3,1,2,2,3,7,2003
34821,"Marengo, IA","Burlington, IA",4,3,0,0,6,1,2,4,1,7,2003
34817,"Marengo, IA","Bertram, IA",0,4,2,5,0,1,0,3,3,6,2003
34896,"Marengo, IA","Oskaloosa, IA",1,1,4,2,4,0,2,2,2,6,2003
34884,"Marengo, IA","Montour, IA",0,4,2,2,4,0,0,4,2,6,2003
34832,"Marengo, IA","Coralville, IA",3,3,0,1,4,1,2,3,1,6,2003
34887,"Marengo, IA","Muscatine, IA",0,5,1,0,6,0,0,3,3,6,2003
34914,"Marengo, IA","Shueyville, IA",3,3,0,2,3,1,1,3,2,6,2003
34923,"Marengo, IA","Swisher, IA",2,1,2,1,4,0,3,2,0,5,2003
34906,"Marengo, IA","Reinbeck, IA",1,2,2,1,3,1,3,0,2,5,2003
34811,"Marengo, IA","Ames, IA",2,2,1,0,5,0,0,5,0,5,2003
34849,"Marengo, IA","Gibson, IA",0,2,2,1,3,0,1,3,0,4,2003
34934,"Marengo, IA","Vinton, IA",2,2,0,0,3,1,2,1,1,4,2003
34938,"Marengo, IA","Washington, IA",2,1,1,0,0,4,2,2,0,4,2003
34836,"Marengo, IA","Dubuque, IA",0,4,0,0,3,1,0,3,1,4,2003
34947,"Marengo, IA","What Cheer, IA",3,1,0,2,1,1,0,4,0,4,2003
34939,"Marengo, IA","Waterloo, IA",3,1,0,0,3,1,1,3,0,4,2003
34841,"Marengo, IA","Ely, IA",0,4,0,3,1,0,0,3,1,4,2003
34812,"Marengo, IA","Ankeny, IA",1,3,0,1,1,2,0,2,2,4,2003
34900,"Marengo, IA","Palo, IA",2,1,0,1,1,1,1,2,0,3,2003
34861,"Marengo, IA","Keokuk, IA",0,3,0,0,2,1,1,1,1,3,2003
34875,"Marengo, IA","Marion, IA",1,2,0,1,1,1,1,1,1,3,2003
34827,"Marengo, IA","Chariton, IA",0,3,0,0,3,0,0,3,0,3,2003
34829,"Marengo, IA","Clive, IA",0,3,0,1,2,0,0,1,2,3,2003
34946,"Marengo, IA","West Union, IA",1,0,2,0,3,0,0,1,2,3,2003
34837,"Marengo, IA","Dysart, IA",3,0,0,3,0,0,0,1,2,3,2003
34904,"Marengo, IA","Postville, IA",1,2,0,2,1,0,1,1,1,3,2003
34840,"Marengo, IA","Elgin, IA",0,1,2,2,0,1,1,0,2,3,2003
34927,"Marengo, IA","Traer, IA",0,1,2,0,2,1,1,2,0,3,2003
34885,"Marengo, IA","Mount Auburn, IA",0,1,2,1,2,0,1,1,1,3,2003
34813,"Marengo, IA","Atkins, IA",0,3,0,0,1,2,2,1,0,3,2003
34890,"Marengo, IA","New Sharon, IA",0,2,0,0,2,0,1,1,0,2,2003
34878,"Marengo, IA","Mechanicsville, IA",0,2,0,0,1,1,1,1,0,2,2003
34879,"Marengo, IA","Melbourne, IA",0,2,0,0,2,0,0,2,0,2,2003
34886,"Marengo, IA","Mount Pleasant, IA",0,2,0,0,2,0,0,2,0,2,2003
34833,"Marengo, IA","Delaware, IA",1,0,1,0,2,0,1,0,1,2,2003
34824,"Marengo, IA","Cedar Falls, IA",2,0,0,0,2,0,1,1,0,2,2003
34902,"Marengo, IA","Perry, IA",0,2,0,0,1,1,0,0,2,2,2003
34912,"Marengo, IA","Russell, IA",0,2,0,0,2,0,0,0,2,2,2003
34868,"Marengo, IA","Lisbon, IA",0,2,0,0,2,0,0,2,0,2,2003
34940,"Marengo, IA","Waukon, IA",0,2,0,0,2,0,2,0,0,2,2003
34843,"Marengo, IA","Fairbank, IA",1,0,1,0,2,0,1,1,0,2,2003
34935,"Marengo, IA","Wadena, IA",2,0,0,0,2,0,0,1,1,2,2003
34888,"Marengo, IA","Nevada, IA",0,2,0,0,2,0,0,2,0,2,2003
34910,"Marengo, IA","Riverside, IA",0,1,0,0,0,1,1,0,0,1,2003
34913,"Marengo, IA","Shenandoah, IA",0,0,1,0,1,0,1,0,0,1,2003
34916,"Marengo, IA","Solon, IA",0,1,0,0,1,0,0,1,0,1,2003
34809,"Marengo, IA","Albion, IA",0,1,0,0,1,0,0,1,0,1,2003
34917,"Marengo, IA","South English, IA",0,0,1,1,0,0,0,0,1,1,2003
34918,"Marengo, IA","Springville, IA",1,0,0,1,0,0,0,1,0,1,2003
34950,"Marengo, IA","Windsor Heights, IA",0,1,0,0,1,0,1,0,0,1,2003
34949,"Marengo, IA","Wilton, IA",0,1,0,0,1,0,0,0,1,1,2003
34945,"Marengo, IA","West Point, IA",0,1,0,0,1,0,0,1,0,1,2003
34944,"Marengo, IA","West Liberty, IA",0,1,0,0,1,0,0,1,0,1,2003
34943,"Marengo, IA","West Burlington, IA",0,1,0,0,1,0,0,1,0,1,2003
34941,"Marengo, IA","Wayland, IA",1,0,0,0,1,0,0,0,1,1,2003
34937,"Marengo, IA","Wapello, IA",0,0,1,0,1,0,0,0,1,1,2003
34933,"Marengo, IA","Vining, IA",0,1,0,1,0,0,0,1,0,1,2003
34931,"Marengo, IA","Urbandale, IA",0,1,0,0,1,0,0,0,1,1,2003
34908,"Marengo, IA","Rippey, IA",0,1,0,0,1,0,0,0,1,1,2003
34929,"Marengo, IA","University Park, IA",0,1,0,0,1,0,0,1,0,1,2003
34922,"Marengo, IA","Story City, IA",0,1,0,0,0,1,0,0,1,1,2003
34921,"Marengo, IA","Stockton, IA",1,0,0,0,1,0,0,1,0,1,2003
34920,"Marengo, IA","Stanley, IA",1,0,0,0,1,0,0,1,0,1,2003
34919,"Marengo, IA","Stanhope, IA",0,1,0,1,0,0,0,0,1,1,2003
34909,"Marengo, IA","Riverdale, IA",0,1,0,0,1,0,0,0,1,1,2003
34880,"Marengo, IA","Millerton, IA",0,1,0,0,1,0,0,1,0,1,2003
34907,"Marengo, IA","Richland, IA",0,1,0,0,1,0,0,1,0,1,2003
34834,"Marengo, IA","Delta, IA",0,1,0,0,1,0,0,1,0,1,2003
34851,"Marengo, IA","Grimes, IA",0,1,0,0,1,0,0,1,0,1,2003
34850,"Marengo, IA","Gilman, IA",0,1,0,0,1,0,0,1,0,1,2003
34848,"Marengo, IA","Franklin, IA",0,1,0,0,1,0,0,0,1,1,2003
34847,"Marengo, IA","Fort Madison, IA",0,1,0,0,1,0,0,0,1,1,2003
34846,"Marengo, IA","Fayette, IA",0,1,0,0,1,0,1,0,0,1,2003
