,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
40346,"Newton, IA","Newton, IA",683,2354,718,1386,1944,425,1045,1497,1213,3755,2003
40280,"Newton, IA","Lambs Grove, IA",96,389,111,223,302,71,147,224,225,596,2003
40234,"Newton, IA","Grinnell, IA",44,185,38,100,121,46,42,141,84,267,2003
40391,"Newton, IA","Reasnor, IA",47,164,52,114,109,40,70,104,89,263,2003
40276,"Newton, IA","Knoxville, IA",44,175,11,126,73,31,36,91,103,230,2003
40269,"Newton, IA","Kellogg, IA",41,141,43,105,84,36,46,110,69,225,2003
40174,"Newton, IA","Des Moines, IA",76,110,29,44,117,54,66,109,40,215,2003
40307,"Newton, IA","Marshalltown, IA",18,140,10,84,38,46,20,82,66,168,2003
40148,"Newton, IA","Colfax, IA",32,97,35,97,52,15,37,68,59,164,2003
40298,"Newton, IA","Lynnville, IA",23,119,22,72,69,23,32,80,52,164,2003
40324,"Newton, IA","Monroe, IA",33,101,27,60,72,29,44,73,44,161,2003
40224,"Newton, IA","Gilman, IA",24,104,19,65,62,20,23,82,42,147,2003
40132,"Newton, IA","Cedar Rapids, IA",44,78,22,87,19,38,18,74,52,144,2003
40381,"Newton, IA","Prairie City, IA",27,64,14,58,34,13,28,38,39,105,2003
40105,"Newton, IA","Baxter, IA",13,69,17,57,27,15,14,60,25,99,2003
40371,"Newton, IA","Pella, IA",24,56,18,26,38,34,31,33,34,98,2003
40145,"Newton, IA","Clive, IA",25,54,11,34,35,21,20,27,43,90,2003
40474,"Newton, IA","West Des Moines, IA",17,46,15,27,37,14,28,25,25,78,2003
40093,"Newton, IA","Ankeny, IA",9,58,8,33,28,14,12,19,44,75,2003
40261,"Newton, IA","Iowa City, IA",25,41,7,25,13,35,18,28,27,73,2003
40453,"Newton, IA","Urbandale, IA",19,40,13,28,28,16,19,24,29,72,2003
40344,"Newton, IA","New Sharon, IA",6,46,13,26,33,6,6,27,32,65,2003
40251,"Newton, IA","Hiawatha, IA",20,35,9,39,10,15,5,33,26,64,2003
40260,"Newton, IA","Indianola, IA",21,24,18,9,25,29,28,27,8,63,2003
40483,"Newton, IA","Windsor Heights, IA",18,39,4,16,33,12,19,31,11,61,2003
40374,"Newton, IA","Pleasant Hill, IA",20,30,8,14,34,10,13,31,14,58,2003
40436,"Newton, IA","Sully, IA",12,40,5,27,27,3,12,30,15,57,2003
40316,"Newton, IA","Melcher-Dallas, IA",9,39,9,34,16,7,12,23,22,57,2003
40364,"Newton, IA","Ottumwa, IA",10,33,11,12,23,19,25,22,7,54,2003
40439,"Newton, IA","Swan, IA",8,38,7,28,17,8,13,23,17,53,2003
40304,"Newton, IA","Marengo, IA",8,34,7,16,0,33,0,28,21,49,2003
40321,"Newton, IA","Mitchellville, IA",18,27,3,19,20,9,4,24,20,48,2003
40361,"Newton, IA","Oskaloosa, IA",13,22,11,14,12,20,17,16,13,46,2003
40089,"Newton, IA","Ames, IA",21,15,8,8,21,15,21,11,12,44,2003
40400,"Newton, IA","Robins, IA",8,28,6,19,3,20,5,23,14,42,2003
40441,"Newton, IA","Tama, IA",5,30,4,17,16,6,3,26,10,39,2003
40396,"Newton, IA","Rhodes, IA",4,29,6,21,13,5,5,20,14,39,2003
40445,"Newton, IA","Toledo, IA",15,15,6,11,14,11,7,14,15,36,2003
40205,"Newton, IA","Ferguson, IA",6,26,3,20,13,2,8,13,14,35,2003
40088,"Newton, IA","Altoona, IA",8,22,4,18,12,4,6,11,17,34,2003
40245,"Newton, IA","Harvey, IA",7,26,1,19,10,5,7,11,16,34,2003
40085,"Newton, IA","Albia, IA",5,25,3,26,4,3,5,12,16,33,2003
40312,"Newton, IA","Maxwell, IA",1,26,6,20,10,3,6,16,11,33,2003
40247,"Newton, IA","Haverhill, IA",1,24,4,18,11,0,5,13,11,29,2003
40463,"Newton, IA","Waterloo, IA",15,11,2,0,10,18,15,11,2,28,2003
40353,"Newton, IA","Norwalk, IA",10,15,2,4,19,4,3,20,4,27,2003
40376,"Newton, IA","Pleasantville, IA",9,15,1,13,10,2,7,5,13,25,2003
40236,"Newton, IA","Guernsey, IA",7,14,4,11,9,5,4,8,13,25,2003
40121,"Newton, IA","Brooklyn, IA",3,18,3,17,5,2,1,13,10,24,2003
40284,"Newton, IA","Le Grand, IA",3,21,0,11,5,8,6,8,10,24,2003
40456,"Newton, IA","Victor, IA",4,13,7,21,0,3,1,13,10,24,2003
40315,"Newton, IA","Melbourne, IA",2,17,3,16,5,1,0,10,12,22,2003
40198,"Newton, IA","Fairfax, IA",3,13,5,10,2,9,4,12,5,21,2003
40464,"Newton, IA","Waukee, IA",5,12,4,5,11,5,3,4,14,21,2003
40458,"Newton, IA","Vinton, IA",3,14,4,11,5,5,10,7,4,21,2003
40265,"Newton, IA","Johnston, IA",7,14,0,4,9,8,8,8,5,21,2003
40460,"Newton, IA","Walford, IA",1,18,2,11,0,10,2,10,9,21,2003
40462,"Newton, IA","Washington, IA",3,12,6,8,8,5,2,6,13,21,2003
40177,"Newton, IA","Dubuque, IA",6,12,2,1,11,8,6,9,5,20,2003
40149,"Newton, IA","Colo, IA",4,11,4,15,1,3,1,8,10,19,2003
40108,"Newton, IA","Belle Plaine, IA",1,13,5,16,1,2,2,8,9,19,2003
40086,"Newton, IA","Albion, IA",4,9,6,11,4,4,3,12,4,19,2003
40154,"Newton, IA","Coralville, IA",6,10,1,8,1,8,2,9,6,17,2003
40131,"Newton, IA","Cedar Falls, IA",8,8,0,0,11,5,6,8,2,16,2003
40128,"Newton, IA","Carlisle, IA",3,8,5,0,15,1,5,9,2,16,2003
40117,"Newton, IA","Boone, IA",6,9,1,0,7,9,10,6,0,16,2003
40185,"Newton, IA","Elberon, IA",5,9,2,7,7,2,4,9,3,16,2003
40258,"Newton, IA","Huxley, IA",8,5,2,6,4,5,4,10,1,15,2003
40309,"Newton, IA","Marysville, IA",1,14,0,12,2,1,1,7,7,15,2003
40451,"Newton, IA","University Park, IA",5,9,1,6,6,3,4,7,4,15,2003
40404,"Newton, IA","Russell, IA",3,12,0,7,4,4,0,6,9,15,2003
40450,"Newton, IA","University Heights, IA",5,9,1,7,1,7,4,6,5,15,2003
40157,"Newton, IA","Council Bluffs, IA",4,7,4,0,3,12,7,5,3,15,2003
40293,"Newton, IA","Liscomb, IA",1,10,3,7,1,6,4,6,4,14,2003
40300,"Newton, IA","Malcom, IA",0,11,3,6,4,4,0,13,1,14,2003
40183,"Newton, IA","Eddyville, IA",2,10,1,11,0,2,1,4,8,13,2003
40379,"Newton, IA","Polk City, IA",2,7,4,4,7,2,4,4,5,13,2003
40470,"Newton, IA","Webster, IA",1,9,3,11,2,0,1,7,5,13,2003
40372,"Newton, IA","Perry, IA",4,5,4,0,4,9,3,6,4,13,2003
40329,"Newton, IA","Moravia, IA",1,10,2,10,2,1,1,1,11,13,2003
40351,"Newton, IA","North Liberty, IA",2,10,0,5,0,7,1,5,6,12,2003
40160,"Newton, IA","Creston, IA",0,12,0,0,5,7,7,2,3,12,2003
40366,"Newton, IA","Oxford, IA",3,9,0,4,0,8,1,7,4,12,2003
40325,"Newton, IA","Montezuma, IA",3,8,1,2,5,5,3,6,3,12,2003
40310,"Newton, IA","Mason City, IA",3,7,2,0,6,6,5,5,2,12,2003
40136,"Newton, IA","Chariton, IA",8,2,1,3,6,2,1,8,2,11,2003
40144,"Newton, IA","Clio, IA",2,7,2,3,3,5,1,6,4,11,2003
40209,"Newton, IA","Fort Dodge, IA",3,7,1,1,1,9,5,4,2,11,2003
40114,"Newton, IA","Blairstown, IA",0,10,1,4,0,7,0,3,8,11,2003
40415,"Newton, IA","Sigourney, IA",3,6,1,5,3,2,2,3,5,10,2003
40221,"Newton, IA","Gibson, IA",0,9,1,7,2,1,2,5,3,10,2003
40417,"Newton, IA","Sioux City, IA",5,4,1,0,2,8,4,4,2,10,2003
40350,"Newton, IA","North English, IA",2,7,1,9,0,1,0,8,2,10,2003
40368,"Newton, IA","Palo, IA",3,7,0,4,2,4,4,5,1,10,2003
40399,"Newton, IA","Riverside, IA",2,7,1,2,6,2,4,2,4,10,2003
40489,"Newton, IA","Zearing, IA",1,6,3,8,0,2,3,1,6,10,2003
40166,"Newton, IA","De Soto, IA",5,3,2,2,5,3,4,4,2,10,2003
40481,"Newton, IA","Williamsburg, IA",0,10,0,8,0,2,0,6,4,10,2003
40143,"Newton, IA","Clinton, IA",4,3,2,2,3,4,4,3,2,9,2003
40100,"Newton, IA","Atkins, IA",1,8,0,4,0,5,0,3,6,9,2003
40305,"Newton, IA","Marion, IA",2,4,3,5,1,3,1,5,3,9,2003
40123,"Newton, IA","Bussey, IA",2,4,3,4,3,2,2,5,2,9,2003
40097,"Newton, IA","Asbury, IA",3,4,2,2,4,3,1,4,4,9,2003
40219,"Newton, IA","Garwin, IA",0,9,0,4,0,5,0,4,5,9,2003
40395,"Newton, IA","Reinbeck, IA",5,2,2,2,3,4,3,3,3,9,2003
40478,"Newton, IA","What Cheer, IA",2,7,0,8,0,1,3,5,1,9,2003
40418,"Newton, IA","Slater, IA",4,3,1,3,2,3,3,4,1,8,2003
40394,"Newton, IA","Redfield, IA",1,4,3,3,2,3,0,5,3,8,2003
40111,"Newton, IA","Bertram, IA",0,7,1,5,0,3,0,3,5,8,2003
40233,"Newton, IA","Grimes, IA",1,5,2,5,2,1,1,4,3,8,2003
40244,"Newton, IA","Hartwick, IA",1,5,2,2,0,6,0,5,3,8,2003
40299,"Newton, IA","Madrid, IA",2,6,0,3,3,2,2,2,4,8,2003
40175,"Newton, IA","Dexter, IA",3,3,2,1,6,1,4,4,0,8,2003
40301,"Newton, IA","Manchester, IA",4,2,2,1,4,3,3,3,2,8,2003
40354,"Newton, IA","Norway, IA",1,2,5,4,0,4,0,4,4,8,2003
40452,"Newton, IA","Urbana, IA",1,3,3,4,2,1,1,3,3,7,2003
40402,"Newton, IA","Roland, IA",2,5,0,5,1,1,4,0,3,7,2003
40409,"Newton, IA","Shannon City, IA",2,5,0,0,6,1,2,0,5,7,2003
40173,"Newton, IA","Denver, IA",3,3,1,1,5,1,1,3,3,7,2003
40194,"Newton, IA","Evansdale, IA",2,4,1,0,1,6,2,5,0,7,2003
40187,"Newton, IA","Eldora, IA",3,3,1,1,3,3,4,1,2,7,2003
40273,"Newton, IA","Keystone, IA",3,1,3,4,0,3,2,3,2,7,2003
40080,"Newton, IA","Adel, IA",1,5,1,0,6,1,3,2,2,7,2003
40422,"Newton, IA","Spring Hill, IA",1,4,2,5,1,1,1,4,2,7,2003
40240,"Newton, IA","Hampton, IA",4,3,0,0,1,6,4,3,0,7,2003
40122,"Newton, IA","Burlington, IA",3,2,1,0,0,6,5,1,0,6,2003
40115,"Newton, IA","Bonaparte, IA",1,3,2,2,4,0,0,4,2,6,2003
40126,"Newton, IA","Cambridge, IA",4,2,0,2,2,2,3,1,2,6,2003
40279,"Newton, IA","Ladora, IA",1,5,0,2,0,4,0,2,4,6,2003
40318,"Newton, IA","Millerton, IA",2,2,2,1,2,3,0,4,2,6,2003
40424,"Newton, IA","St. Marys, IA",1,4,1,1,3,2,2,3,1,6,2003
40134,"Newton, IA","Centerville, IA",1,4,1,0,1,5,3,3,0,6,2003
40270,"Newton, IA","Keokuk, IA",4,2,0,0,1,5,4,2,0,6,2003
40326,"Newton, IA","Montour, IA",1,4,1,0,3,3,1,4,1,6,2003
40446,"Newton, IA","Traer, IA",2,1,3,0,2,4,4,0,2,6,2003
40180,"Newton, IA","Dysart, IA",0,3,3,2,2,2,2,1,3,6,2003
40466,"Newton, IA","Waverly, IA",3,3,0,0,0,6,2,4,0,6,2003
40197,"Newton, IA","Fairbank, IA",2,3,1,0,3,3,2,3,1,6,2003
40199,"Newton, IA","Fairfield, IA",1,4,0,1,2,2,2,0,3,5,2003
40087,"Newton, IA","Algona, IA",4,1,0,0,0,5,3,2,0,5,2003
40142,"Newton, IA","Clearfield, IA",1,2,2,1,2,2,3,0,2,5,2003
40392,"Newton, IA","Red Oak, IA",1,3,1,0,2,3,3,2,0,5,2003
