,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
48149,"Rockwell, IA","Thornton, IA",12,28,12,1,42,9,27,22,3,52,2003
48147,"Rockwell, IA","Rockwell, IA",4,29,9,0,38,4,21,15,6,42,2003
48146,"Rockwell, IA","Rockford, IA",7,20,9,0,32,4,14,17,5,36,2003
48140,"Rockwell, IA","Mason City, IA",7,16,6,1,27,1,11,9,9,29,2003
48128,"Rockwell, IA","Clear Lake, IA",3,6,3,0,7,5,5,5,2,12,2003
48142,"Rockwell, IA","Nora Springs, IA",1,2,2,0,5,0,2,1,2,5,2003
48152,"Rockwell, IA","Waverly, IA",1,2,1,0,3,1,2,1,1,4,2003
48132,"Rockwell, IA","Floyd, IA",0,4,0,0,4,0,0,4,0,4,2003
48135,"Rockwell, IA","Hampton, IA",2,1,1,0,4,0,1,0,3,4,2003
48144,"Rockwell, IA","Plymouth, IA",2,0,0,0,2,0,1,1,0,2,2003
48153,"Rockwell, IA","Williamsburg, IA",0,2,0,0,2,0,1,0,1,2,2003
48127,"Rockwell, IA","Charles City, IA",0,2,0,0,2,0,1,1,0,2,2003
48129,"Rockwell, IA","Coulter, IA",0,2,0,0,1,1,1,0,1,2,2003
48133,"Rockwell, IA","Fort Dodge, IA",0,1,1,0,2,0,0,0,2,2,2003
48138,"Rockwell, IA","Manly, IA",0,2,0,0,2,0,0,0,2,2,2003
48125,"Rockwell, IA","Belmond, IA",2,0,0,0,2,0,2,0,0,2,2003
48124,"Rockwell, IA","Alden, IA",1,0,0,0,0,1,0,1,0,1,2003
48148,"Rockwell, IA","Roland, IA",0,0,1,0,1,0,0,1,0,1,2003
48145,"Rockwell, IA","Renwick, IA",0,1,0,0,0,1,1,0,0,1,2003
48151,"Rockwell, IA","Waterloo, IA",1,0,0,0,0,1,1,0,0,1,2003
48150,"Rockwell, IA","Walford, IA",0,0,1,0,1,0,1,0,0,1,2003
48139,"Rockwell, IA","Marshalltown, IA",1,0,0,0,1,0,0,1,0,1,2003
48143,"Rockwell, IA","Northwood, IA",0,1,0,0,1,0,0,0,1,1,2003
48141,"Rockwell, IA","Nashua, IA",0,0,1,0,1,0,1,0,0,1,2003
48137,"Rockwell, IA","Lake City, IA",0,0,1,0,1,0,0,0,1,1,2003
48136,"Rockwell, IA","Iowa City, IA",0,1,0,0,1,0,0,1,0,1,2003
48134,"Rockwell, IA","Garner, IA",1,0,0,0,1,0,1,0,0,1,2003
48131,"Rockwell, IA","Elberon, IA",0,1,0,0,1,0,0,1,0,1,2003
48130,"Rockwell, IA","Crystal Lake, IA",0,1,0,0,1,0,1,0,0,1,2003
48126,"Rockwell, IA","Britt, IA",0,0,1,0,1,0,1,0,0,1,2003
48154,"Rockwell, IA","Yetter, IA",0,0,1,0,1,0,0,0,1,1,2003
