,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
51386,"Spirit Lake, IA","Spirit Lake, IA",269,874,235,439,736,203,452,687,239,1378,2003
51390,"Spirit Lake, IA","Superior, IA",64,287,113,151,249,64,136,231,97,464,2003
51271,"Spirit Lake, IA","Estherville, IA",79,265,49,240,112,41,92,260,41,393,2003
51337,"Spirit Lake, IA","Milford, IA",75,158,46,113,126,40,78,165,36,279,2003
51225,"Spirit Lake, IA","Arnolds Park, IA",42,132,69,58,143,42,85,102,56,243,2003
51385,"Spirit Lake, IA","Spencer, IA",71,130,22,82,77,64,71,127,25,223,2003
51312,"Spirit Lake, IA","Lake Park, IA",36,100,14,68,63,19,38,93,19,150,2003
51295,"Spirit Lake, IA","Harris, IA",25,95,20,73,57,10,34,83,23,140,2003
51393,"Spirit Lake, IA","Terril, IA",32,58,22,45,47,20,35,60,17,112,2003
51397,"Spirit Lake, IA","Wahpeton, IA",11,44,26,21,46,14,26,37,18,81,2003
51404,"Spirit Lake, IA","West Okoboji, IA",20,29,24,17,48,8,23,33,17,73,2003
51382,"Spirit Lake, IA","Sioux City, IA",15,13,10,6,8,24,15,19,4,38,2003
51377,"Spirit Lake, IA","Sheldon, IA",12,15,3,19,3,8,10,15,5,30,2003
51370,"Spirit Lake, IA","Ruthven, IA",8,17,3,15,5,8,9,17,2,28,2003
51287,"Spirit Lake, IA","Graettinger, IA",8,12,0,11,6,3,4,16,0,20,2003
51290,"Spirit Lake, IA","Greenville, IA",4,9,6,7,8,4,8,11,0,19,2003
51270,"Spirit Lake, IA","Emmetsburg, IA",8,8,3,0,17,2,9,6,4,19,2003
51331,"Spirit Lake, IA","Mason City, IA",6,9,2,2,4,11,4,11,2,17,2003
51278,"Spirit Lake, IA","Fort Dodge, IA",9,7,1,0,4,13,9,6,2,17,2003
51265,"Spirit Lake, IA","Dolliver, IA",3,10,1,5,4,5,9,4,1,14,2003
51264,"Spirit Lake, IA","Dickens, IA",2,10,1,6,6,1,1,8,4,13,2003
51227,"Spirit Lake, IA","Ashton, IA",3,9,1,9,4,0,3,9,1,13,2003
51381,"Spirit Lake, IA","Sioux Center, IA",9,2,1,2,1,9,8,4,0,12,2003
51369,"Spirit Lake, IA","Royal, IA",3,8,1,5,3,4,5,7,0,12,2003
51280,"Spirit Lake, IA","Fostoria, IA",4,6,1,6,3,2,2,9,0,11,2003
51389,"Spirit Lake, IA","Storm Lake, IA",7,2,2,0,8,3,4,7,0,11,2003
51399,"Spirit Lake, IA","Wallingford, IA",2,8,0,3,3,4,4,6,0,10,2003
51273,"Spirit Lake, IA","Everly, IA",2,5,1,5,1,2,1,7,0,8,2003
51261,"Spirit Lake, IA","Davenport, IA",4,3,1,0,1,7,1,6,1,8,2003
51349,"Spirit Lake, IA","Orange City, IA",4,3,0,4,1,2,1,5,1,7,2003
51296,"Spirit Lake, IA","Hartley, IA",2,4,0,6,0,0,0,4,2,6,2003
51239,"Spirit Lake, IA","Carroll, IA",1,4,1,0,2,4,2,3,1,6,2003
51224,"Spirit Lake, IA","Armstrong, IA",3,3,0,2,4,0,1,5,0,6,2003
51231,"Spirit Lake, IA","Aurelia, IA",4,1,1,0,5,1,4,2,0,6,2003
51348,"Spirit Lake, IA","Ocheyedan, IA",0,4,2,4,0,2,2,4,0,6,2003
51243,"Spirit Lake, IA","Charles City, IA",2,1,2,0,1,4,1,3,1,5,2003
51235,"Spirit Lake, IA","Bettendorf, IA",2,3,0,1,0,4,1,3,1,5,2003
51320,"Spirit Lake, IA","Le Mars, IA",2,1,2,0,2,3,3,1,1,5,2003
51242,"Spirit Lake, IA","Cedar Falls, IA",2,3,0,0,0,5,2,2,1,5,2003
51314,"Spirit Lake, IA","Lakeside, IA",2,1,2,0,4,1,2,3,0,5,2003
51375,"Spirit Lake, IA","Sergeant Bluff, IA",2,3,0,0,1,4,2,3,0,5,2003
51342,"Spirit Lake, IA","Moville, IA",3,2,0,0,1,4,3,1,1,5,2003
51366,"Spirit Lake, IA","Rock Rapids, IA",1,2,2,0,1,4,4,1,0,5,2003
51378,"Spirit Lake, IA","Sibley, IA",3,2,0,5,0,0,2,3,0,5,2003
51236,"Spirit Lake, IA","Boyden, IA",2,2,1,3,0,2,2,3,0,5,2003
51307,"Spirit Lake, IA","Jefferson, IA",1,2,1,0,2,2,2,2,0,4,2003
51245,"Spirit Lake, IA","Cherokee, IA",2,1,1,0,2,2,2,0,2,4,2003
51402,"Spirit Lake, IA","Webster City, IA",1,2,1,1,2,1,1,3,0,4,2003
51401,"Spirit Lake, IA","Webb, IA",2,2,0,3,1,0,1,3,0,4,2003
51306,"Spirit Lake, IA","Ireton, IA",3,1,0,0,0,4,3,1,0,4,2003
51335,"Spirit Lake, IA","Merrill, IA",2,1,1,1,1,2,2,1,1,4,2003
51310,"Spirit Lake, IA","Lake City, IA",1,2,1,1,1,2,2,2,0,4,2003
51367,"Spirit Lake, IA","Rock Valley, IA",3,0,1,0,1,3,4,0,0,4,2003
51324,"Spirit Lake, IA","Little Rock, IA",2,2,0,1,3,0,0,4,0,4,2003
51263,"Spirit Lake, IA","Denison, IA",0,4,0,1,1,2,2,2,0,4,2003
51400,"Spirit Lake, IA","Waterloo, IA",0,2,1,0,0,3,0,3,0,3,2003
51334,"Spirit Lake, IA","Meriden, IA",1,1,1,0,1,2,1,2,0,3,2003
51302,"Spirit Lake, IA","Humboldt, IA",2,1,0,0,1,2,2,1,0,3,2003
51298,"Spirit Lake, IA","Hinton, IA",1,1,1,0,2,1,0,2,1,3,2003
51383,"Spirit Lake, IA","Sloan, IA",1,1,1,0,1,2,3,0,0,3,2003
51398,"Spirit Lake, IA","Wall Lake, IA",1,1,1,0,1,2,3,0,0,3,2003
51346,"Spirit Lake, IA","Newell, IA",1,1,1,0,1,2,2,1,0,3,2003
