,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55402,"Van Meter, IA","Waukee, IA",7,22,8,11,23,3,15,14,8,37,2003
55361,"Van Meter, IA","De Soto, IA",8,16,3,7,18,2,12,12,3,27,2003
55358,"Van Meter, IA","Clive, IA",6,12,6,9,14,1,12,6,6,24,2003
55362,"Van Meter, IA","Des Moines, IA",8,10,4,17,2,3,3,18,1,22,2003
55400,"Van Meter, IA","Van Meter, IA",1,11,6,6,9,3,4,10,4,18,2003
55406,"Van Meter, IA","Windsor Heights, IA",4,6,0,4,6,0,3,5,2,10,2003
55344,"Van Meter, IA","Adel, IA",2,4,2,2,6,0,3,3,2,8,2003
55392,"Van Meter, IA","Pleasant Hill, IA",2,3,3,8,0,0,0,7,1,8,2003
55391,"Van Meter, IA","Perry, IA",1,6,0,6,0,1,2,4,1,7,2003
55405,"Van Meter, IA","West Des Moines, IA",2,4,0,2,3,1,2,2,2,6,2003
55399,"Van Meter, IA","Urbandale, IA",2,3,0,1,4,0,0,3,2,5,2003
55366,"Van Meter, IA","Grimes, IA",2,3,0,4,1,0,2,2,1,5,2003
55360,"Van Meter, IA","Dallas Center, IA",0,5,0,4,1,0,1,4,0,5,2003
55385,"Van Meter, IA","Norwalk, IA",3,2,0,3,1,1,1,4,0,5,2003
55394,"Van Meter, IA","Redfield, IA",0,3,0,1,1,1,1,1,1,3,2003
55354,"Van Meter, IA","Carlisle, IA",1,1,1,2,1,0,0,2,1,3,2003
55379,"Van Meter, IA","Marshalltown, IA",0,3,0,2,1,0,1,1,1,3,2003
55345,"Van Meter, IA","Albia, IA",0,0,3,3,0,0,0,0,3,3,2003
55381,"Van Meter, IA","Minburn, IA",1,2,0,1,2,0,1,1,1,3,2003
55364,"Van Meter, IA","East Peru, IA",0,3,0,3,0,0,0,3,0,3,2003
55370,"Van Meter, IA","Indianola, IA",0,3,0,3,0,0,1,0,2,3,2003
55398,"Van Meter, IA","Toledo, IA",2,1,0,0,3,0,1,2,0,3,2003
55367,"Van Meter, IA","Guthrie Center, IA",2,1,0,1,2,0,0,3,0,3,2003
55356,"Van Meter, IA","Churdan, IA",1,1,0,1,0,1,1,0,1,2,2003
55374,"Van Meter, IA","Linden, IA",0,2,0,1,1,0,1,1,0,2,2003
55347,"Van Meter, IA","Altoona, IA",1,1,0,1,1,0,1,0,1,2,2003
