,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
59810,"Williamsburg, IA","Williamsburg, IA",104,218,84,108,172,126,161,128,117,406,2003
59733,"Williamsburg, IA","Marengo, IA",60,80,32,82,58,32,61,81,30,172,2003
59760,"Williamsburg, IA","Oxford, IA",47,81,32,29,85,46,76,37,47,160,2003
59793,"Williamsburg, IA","Victor, IA",46,91,19,73,32,51,57,69,30,156,2003
59762,"Williamsburg, IA","Parnell, IA",40,80,35,41,59,55,66,45,44,155,2003
59800,"Williamsburg, IA","Webster, IA",23,90,16,83,11,35,24,81,24,129,2003
59779,"Williamsburg, IA","Sigourney, IA",20,54,5,67,3,9,2,67,10,79,2003
59751,"Williamsburg, IA","North English, IA",19,49,7,46,11,18,20,32,23,75,2003
59662,"Williamsburg, IA","Cedar Rapids, IA",22,33,8,30,5,28,13,32,18,63,2003
59649,"Williamsburg, IA","Belle Plaine, IA",27,25,3,32,5,18,19,29,7,55,2003
59795,"Williamsburg, IA","Walford, IA",11,22,16,15,24,10,20,20,9,49,2003
59807,"Williamsburg, IA","What Cheer, IA",13,29,4,28,7,11,13,28,5,46,2003
59784,"Williamsburg, IA","Tama, IA",16,25,4,38,2,5,5,33,7,45,2003
59721,"Williamsburg, IA","Ladora, IA",16,22,5,25,8,10,14,19,10,43,2003
59713,"Williamsburg, IA","Iowa City, IA",13,20,10,18,20,5,12,22,9,43,2003
59698,"Williamsburg, IA","Gibson, IA",9,24,7,27,4,9,5,27,8,40,2003
59752,"Williamsburg, IA","North Liberty, IA",15,12,7,13,12,9,11,17,6,34,2003
59705,"Williamsburg, IA","Hartwick, IA",11,22,1,19,11,4,13,12,9,34,2003
59658,"Williamsburg, IA","Brooklyn, IA",6,21,6,23,5,5,6,19,8,33,2003
59703,"Williamsburg, IA","Guernsey, IA",8,20,5,23,1,9,6,20,7,33,2003
59740,"Williamsburg, IA","Montezuma, IA",5,20,5,20,1,9,6,21,3,30,2003
59654,"Williamsburg, IA","Blairstown, IA",5,20,4,16,8,5,5,12,12,29,2003
59702,"Williamsburg, IA","Grinnell, IA",4,19,6,10,3,16,5,19,5,29,2003
59671,"Williamsburg, IA","Coralville, IA",12,17,0,13,8,8,11,5,13,29,2003
59717,"Williamsburg, IA","Keota, IA",3,19,4,19,1,6,6,18,2,26,2003
59708,"Williamsburg, IA","Hiawatha, IA",5,13,4,14,2,6,5,11,6,22,2003
59773,"Williamsburg, IA","Riverside, IA",7,9,4,11,5,4,11,5,4,20,2003
