,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
1325,"Allison, IA","Allison, IA",29,76,44,12,119,18,58,67,24,149,2004
1393,"Allison, IA","Waverly, IA",11,34,15,23,32,5,11,35,14,60,2004
1333,"Allison, IA","Clarksville, IA",10,33,9,19,15,18,18,15,19,52,2004
1332,"Allison, IA","Charles City, IA",13,27,7,12,27,8,22,14,11,47,2004
1379,"Allison, IA","Parkersburg, IA",10,19,9,6,22,10,18,17,3,38,2004
1392,"Allison, IA","Waterloo, IA",17,13,2,3,19,10,6,23,3,32,2004
1367,"Allison, IA","Marble Rock, IA",0,22,2,12,12,0,1,12,11,24,2004
1359,"Allison, IA","Hampton, IA",3,16,3,12,8,2,4,15,3,22,2004
1330,"Allison, IA","Cedar Falls, IA",5,10,3,4,11,3,8,8,2,18,2004
1369,"Allison, IA","Mason City, IA",4,9,3,7,8,1,1,11,4,16,2004
1357,"Allison, IA","Greene, IA",1,8,5,1,6,7,8,6,0,14,2004
1345,"Allison, IA","Des Moines, IA",3,8,0,1,7,3,2,4,5,11,2004
1372,"Allison, IA","Nashua, IA",1,7,1,1,3,5,0,9,0,9,2004
1329,"Allison, IA","Bristow, IA",4,4,1,0,9,0,7,2,0,9,2004
1386,"Allison, IA","Shell Rock, IA",3,4,0,3,1,3,2,4,1,7,2004
1368,"Allison, IA","Marshalltown, IA",1,3,2,1,2,3,3,3,0,6,2004
1352,"Allison, IA","Elk Run Heights, IA",1,1,4,5,0,1,1,1,4,6,2004
1353,"Allison, IA","Evansdale, IA",4,1,0,0,4,1,0,5,0,5,2004
1350,"Allison, IA","Eldora, IA",0,3,2,0,0,5,0,2,3,5,2004
1324,"Allison, IA","Alden, IA",4,1,0,5,0,0,0,5,0,5,2004
1326,"Allison, IA","Ames, IA",2,3,0,0,4,1,1,4,0,5,2004
1331,"Allison, IA","Cedar Rapids, IA",5,0,0,0,4,1,2,3,0,5,2004
1361,"Allison, IA","Iowa Falls, IA",1,3,0,1,2,1,2,2,0,4,2004
1334,"Allison, IA","Clear Lake, IA",3,1,0,0,4,0,2,1,1,4,2004
1377,"Allison, IA","Oelwein, IA",0,2,2,0,2,2,2,1,1,4,2004
1362,"Allison, IA","Janesville, IA",0,3,1,4,0,0,0,3,1,4,2004
1376,"Allison, IA","Nora Springs, IA",0,2,2,1,2,1,1,2,1,4,2004
1373,"Allison, IA","New Hampton, IA",0,3,0,3,0,0,0,2,1,3,2004
1349,"Allison, IA","Dyersville, IA",0,0,3,3,0,0,0,1,2,3,2004
1341,"Allison, IA","Davenport, IA",0,2,1,1,1,1,2,1,0,3,2004
1340,"Allison, IA","Crystal Lake, IA",1,2,0,3,0,0,0,3,0,3,2004
1388,"Allison, IA","St. Ansgar, IA",0,3,0,3,0,0,0,3,0,3,2004
1383,"Allison, IA","Rockford, IA",1,2,0,0,1,2,1,2,0,3,2004
1335,"Allison, IA","Clive, IA",1,1,0,0,2,0,1,1,0,2,2004
1378,"Allison, IA","Osceola, IA",0,2,0,2,0,0,0,2,0,2,2004
1336,"Allison, IA","Colwell, IA",2,0,0,1,1,0,0,2,0,2,2004
1338,"Allison, IA","Council Bluffs, IA",1,1,0,2,0,0,0,2,0,2,2004
1354,"Allison, IA","Fairfax, IA",0,0,2,1,0,1,0,2,0,2,2004
1348,"Allison, IA","Dubuque, IA",1,0,1,0,0,2,1,0,1,2,2004
1374,"Allison, IA","New Hartford, IA",0,1,1,0,2,0,1,0,1,2,2004
1385,"Allison, IA","Sheffield, IA",0,1,0,0,1,0,0,0,1,1,2004
1328,"Allison, IA","Bettendorf, IA",0,0,1,0,0,1,0,1,0,1,2004
1384,"Allison, IA","Rockwell, IA",1,0,0,0,1,0,1,0,0,1,2004
1387,"Allison, IA","Shenandoah, IA",0,1,0,0,0,1,0,1,0,1,2004
1382,"Allison, IA","Readlyn, IA",0,1,0,0,1,0,0,1,0,1,2004
1381,"Allison, IA","Popejoy, IA",0,1,0,0,0,1,0,1,0,1,2004
1380,"Allison, IA","Plainfield, IA",0,1,0,0,1,0,0,0,1,1,2004
1389,"Allison, IA","Tripoli, IA",0,0,1,0,0,1,1,0,0,1,2004
1390,"Allison, IA","Vinton, IA",1,0,0,0,1,0,1,0,0,1,2004
1391,"Allison, IA","Washington, IA",0,1,0,0,1,0,0,0,1,1,2004
1327,"Allison, IA","Ankeny, IA",0,0,1,0,0,1,0,0,1,1,2004
1344,"Allison, IA","Denver, IA",0,1,0,0,1,0,1,0,0,1,2004
1375,"Allison, IA","Newton, IA",1,0,0,0,1,0,0,0,1,1,2004
1358,"Allison, IA","Grundy Center, IA",0,1,0,0,0,1,0,1,0,1,2004
1346,"Allison, IA","Dike, IA",0,0,1,0,1,0,1,0,0,1,2004
1347,"Allison, IA","Dougherty, IA",0,0,1,1,0,0,0,1,0,1,2004
1342,"Allison, IA","Dayton, IA",0,1,0,0,1,0,0,1,0,1,2004
1351,"Allison, IA","Eldridge, IA",0,1,0,0,1,0,0,1,0,1,2004
1355,"Allison, IA","Floyd, IA",0,1,0,0,1,0,1,0,0,1,2004
1356,"Allison, IA","Fort Dodge, IA",0,0,1,0,0,1,0,1,0,1,2004
1339,"Allison, IA","Creston, IA",0,1,0,0,1,0,0,1,0,1,2004
1360,"Allison, IA","Iowa City, IA",1,0,0,0,1,0,1,0,0,1,2004
1371,"Allison, IA","Muscatine, IA",0,1,0,0,0,1,0,1,0,1,2004
1363,"Allison, IA","Johnston, IA",1,0,0,0,0,1,0,1,0,1,2004
1364,"Allison, IA","Kensett, IA",0,1,0,0,1,0,0,1,0,1,2004
1365,"Allison, IA","Lisbon, IA",0,1,0,0,0,1,0,1,0,1,2004
1366,"Allison, IA","Liscomb, IA",0,1,0,0,0,1,0,0,1,1,2004
1337,"Allison, IA","Coulter, IA",0,1,0,0,0,1,0,1,0,1,2004
1343,"Allison, IA","Decorah, IA",0,1,0,1,0,0,0,0,1,1,2004
1370,"Allison, IA","Morrison, IA",0,1,0,1,0,0,0,0,1,1,2004
1394,"Allison, IA","West Des Moines, IA",0,1,0,0,0,1,0,0,1,1,2004
