,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
5022,"Bettendorf, IA","Davenport, IA",1106,3002,981,556,3558,975,1407,1642,2040,5089,2004
4993,"Bettendorf, IA","Bettendorf, IA",1151,1786,536,155,2533,785,1526,1105,842,3473,2004
5031,"Bettendorf, IA","Eldridge, IA",219,537,133,261,302,326,221,292,376,889,2004
5125,"Bettendorf, IA","Riverdale, IA",168,489,177,100,639,95,245,302,287,834,2004
5114,"Bettendorf, IA","Panorama Park, IA",92,474,152,385,245,88,143,135,440,718,2004
5028,"Bettendorf, IA","Dubuque, IA",106,132,36,19,141,114,129,84,61,274,2004
5012,"Bettendorf, IA","Clinton, IA",74,167,31,22,179,71,103,100,69,272,2004
5155,"Bettendorf, IA","Waterloo, IA",89,115,12,45,89,82,89,73,54,216,2004
5007,"Bettendorf, IA","Cedar Rapids, IA",71,96,21,12,98,78,79,61,48,188,2004
5095,"Bettendorf, IA","Muscatine, IA",40,105,19,53,70,41,41,61,62,164,2004
5026,"Bettendorf, IA","Des Moines, IA",52,89,17,14,83,61,39,64,55,158,2004
5013,"Bettendorf, IA","Clive, IA",47,52,13,2,55,55,46,34,32,112,2004
5159,"Bettendorf, IA","West Burlington, IA",39,49,10,18,11,69,35,38,25,98,2004
5050,"Bettendorf, IA","Hiawatha, IA",40,47,10,2,54,41,47,37,13,97,2004
5056,"Bettendorf, IA","Iowa City, IA",39,50,7,5,58,33,47,34,15,96,2004
5006,"Bettendorf, IA","Cedar Falls, IA",40,38,7,16,33,36,38,23,24,85,2004
5140,"Bettendorf, IA","Storm Lake, IA",26,42,14,42,25,15,23,52,7,82,2004
4989,"Bettendorf, IA","Asbury, IA",35,35,8,2,31,45,36,20,22,78,2004
5001,"Bettendorf, IA","Burlington, IA",17,50,5,5,42,25,28,28,16,72,2004
5093,"Bettendorf, IA","Mount Pleasant, IA",25,35,11,9,10,52,32,30,9,71,2004
5149,"Bettendorf, IA","Urbandale, IA",22,32,8,2,30,30,21,17,24,62,2004
5016,"Bettendorf, IA","Coralville, IA",30,17,6,0,23,30,35,12,6,53,2004
4986,"Bettendorf, IA","Ames, IA",26,17,6,2,30,17,31,9,9,49,2004
5024,"Bettendorf, IA","De Witt, IA",7,31,10,15,21,12,7,11,30,48,2004
5072,"Bettendorf, IA","Long Grove, IA",10,26,10,11,24,11,16,14,16,46,2004
4997,"Bettendorf, IA","Blue Grass, IA",3,38,4,35,7,3,3,8,34,45,2004
5160,"Bettendorf, IA","West Des Moines, IA",8,31,5,16,5,23,9,14,21,44,2004
5068,"Bettendorf, IA","Le Claire, IA",18,19,5,9,31,2,16,16,10,42,2004
5144,"Bettendorf, IA","Tipton, IA",5,30,0,17,16,2,13,16,6,35,2004
5000,"Bettendorf, IA","Buffalo, IA",5,21,8,11,19,4,4,11,19,34,2004
5130,"Bettendorf, IA","Sageville, IA",10,21,3,27,6,1,4,4,26,34,2004
5146,"Bettendorf, IA","University Heights, IA",13,19,1,1,25,7,12,10,11,33,2004
5152,"Bettendorf, IA","Walcott, IA",4,20,7,3,19,9,7,10,14,31,2004
5151,"Bettendorf, IA","Vinton, IA",10,13,6,0,26,3,12,14,3,29,2004
5109,"Bettendorf, IA","Ottumwa, IA",10,14,4,5,9,14,12,12,4,28,2004
4988,"Bettendorf, IA","Ankeny, IA",6,20,2,7,6,15,7,5,16,28,2004
5165,"Bettendorf, IA","Windsor Heights, IA",15,9,3,1,13,13,18,6,3,27,2004
5119,"Bettendorf, IA","Princeton, IA",6,9,7,7,15,0,2,19,1,22,2004
5073,"Bettendorf, IA","Low Moor, IA",2,15,5,8,5,9,4,6,12,22,2004
5032,"Bettendorf, IA","Elk Run Heights, IA",2,18,1,4,2,15,15,4,2,21,2004
5066,"Bettendorf, IA","Lakeside, IA",7,10,3,5,15,0,7,9,4,20,2004
5037,"Bettendorf, IA","Fairfax, IA",10,10,0,1,6,13,10,8,2,20,2004
5080,"Bettendorf, IA","Marshalltown, IA",5,8,4,1,4,12,10,6,1,17,2004
5082,"Bettendorf, IA","Mason City, IA",5,11,1,0,5,12,5,10,2,17,2004
5076,"Bettendorf, IA","Manchester, IA",7,9,1,4,4,9,8,6,3,17,2004
5136,"Bettendorf, IA","Spirit Lake, IA",4,10,3,0,4,13,8,8,1,17,2004
5030,"Bettendorf, IA","Dyersville, IA",2,11,3,1,9,6,5,10,1,16,2004
5143,"Bettendorf, IA","Tiffin, IA",4,11,1,0,1,15,5,3,8,16,2004
5003,"Bettendorf, IA","Camanche, IA",2,13,1,11,1,4,1,3,12,16,2004
5027,"Bettendorf, IA","Dixon, IA",8,5,2,7,7,1,2,9,4,15,2004
5164,"Bettendorf, IA","Wilton, IA",6,6,3,3,12,0,3,4,8,15,2004
5040,"Bettendorf, IA","Fort Dodge, IA",8,6,0,3,5,6,6,4,4,14,2004
5077,"Bettendorf, IA","Maquoketa, IA",3,9,2,3,7,4,3,6,5,14,2004
5127,"Bettendorf, IA","Robins, IA",3,9,1,1,4,8,5,5,3,13,2004
5131,"Bettendorf, IA","Sergeant Bluff, IA",5,6,1,1,4,7,0,7,5,12,2004
5054,"Bettendorf, IA","Independence, IA",8,4,0,3,1,8,5,6,1,12,2004
5156,"Bettendorf, IA","Waverly, IA",4,7,1,0,8,4,4,6,2,12,2004
5041,"Bettendorf, IA","Fort Madison, IA",2,6,3,1,7,3,5,4,2,11,2004
5060,"Bettendorf, IA","Johnston, IA",5,4,2,2,4,5,6,0,5,11,2004
5025,"Bettendorf, IA","Decorah, IA",4,7,0,2,7,2,4,5,2,11,2004
5039,"Bettendorf, IA","Farley, IA",4,6,0,1,0,9,1,9,0,10,2004
5017,"Bettendorf, IA","Council Bluffs, IA",3,7,0,3,5,2,2,5,3,10,2004
5062,"Bettendorf, IA","Keokuk, IA",4,3,3,0,2,8,6,3,1,10,2004
5124,"Bettendorf, IA","Reinbeck, IA",2,4,2,0,8,0,0,8,0,8,2004
5134,"Bettendorf, IA","Sioux City, IA",5,3,0,2,1,5,5,1,2,8,2004
5009,"Bettendorf, IA","Chariton, IA",4,3,1,0,0,8,4,4,0,8,2004
5055,"Bettendorf, IA","Indianola, IA",1,5,2,1,4,3,3,4,1,8,2004
5098,"Bettendorf, IA","New Hampton, IA",1,6,1,1,0,7,3,3,2,8,2004
5163,"Bettendorf, IA","Williamsburg, IA",2,5,1,0,1,7,6,0,2,8,2004
5036,"Bettendorf, IA","Evansdale, IA",2,5,1,0,1,7,5,3,0,8,2004
4996,"Bettendorf, IA","Bloomfield, IA",5,3,0,0,0,8,6,2,0,8,2004
4985,"Bettendorf, IA","Altoona, IA",2,6,0,0,2,6,3,5,0,8,2004
5141,"Bettendorf, IA","Strawberry Point, IA",0,8,0,8,0,0,1,0,7,8,2004
5010,"Bettendorf, IA","Charles City, IA",5,1,1,0,2,5,5,1,1,7,2004
5161,"Bettendorf, IA","West Liberty, IA",0,6,1,5,0,2,1,5,1,7,2004
5047,"Bettendorf, IA","Grinnell, IA",3,4,0,0,1,6,6,0,1,7,2004
5069,"Bettendorf, IA","Leon, IA",4,1,2,2,4,1,5,1,1,7,2004
5071,"Bettendorf, IA","Lone Tree, IA",0,6,0,1,2,3,1,4,1,6,2004
5011,"Bettendorf, IA","Clarence, IA",2,3,1,2,4,0,2,2,2,6,2004
5154,"Bettendorf, IA","Washington, IA",1,3,2,0,1,5,5,1,0,6,2004
5034,"Bettendorf, IA","Ely, IA",1,4,0,0,5,0,0,5,0,5,2004
5019,"Bettendorf, IA","Creston, IA",2,2,1,0,1,4,3,2,0,5,2004
5103,"Bettendorf, IA","North English, IA",3,1,1,0,4,1,4,1,0,5,2004
5046,"Bettendorf, IA","Grimes, IA",0,5,0,3,1,1,0,3,2,5,2004
5038,"Bettendorf, IA","Fairfield, IA",2,1,2,1,0,4,2,1,2,5,2004
5053,"Bettendorf, IA","Ida Grove, IA",3,1,1,0,2,3,1,3,1,5,2004
5106,"Bettendorf, IA","Oelwein, IA",2,2,1,0,2,3,2,1,2,5,2004
5018,"Bettendorf, IA","Cresco, IA",0,3,1,0,4,0,0,4,0,4,2004
5090,"Bettendorf, IA","Morley, IA",0,4,0,0,4,0,4,0,0,4,2004
5042,"Bettendorf, IA","Fruitland, IA",0,2,2,2,0,2,0,4,0,4,2004
5111,"Bettendorf, IA","Oxford, IA",0,2,2,0,0,4,0,0,4,4,2004
4987,"Bettendorf, IA","Anamosa, IA",1,3,0,0,1,3,2,1,1,4,2004
5092,"Bettendorf, IA","Moulton, IA",0,3,1,4,0,0,0,2,2,4,2004
5137,"Bettendorf, IA","Springbrook, IA",3,1,0,0,0,4,0,3,1,4,2004
5079,"Bettendorf, IA","Marion, IA",1,1,2,2,2,0,2,1,1,4,2004
5094,"Bettendorf, IA","Mount Union, IA",1,2,1,1,2,1,0,4,0,4,2004
