,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
19018,"Forest City, IA","Forest City, IA",232,444,158,31,652,151,381,296,157,834,2004
19008,"Forest City, IA","Crystal Lake, IA",127,492,124,691,14,38,39,503,201,743,2004
19021,"Forest City, IA","Garner, IA",59,70,11,10,112,18,89,47,4,140,2004
19041,"Forest City, IA","Mason City, IA",41,58,15,10,91,13,43,52,19,114,2004
19034,"Forest City, IA","Lake Mills, IA",20,47,10,44,25,8,9,54,14,77,2004
19039,"Forest City, IA","Marble Rock, IA",10,27,8,45,0,0,0,33,12,45,2004
18996,"Forest City, IA","Britt, IA",14,14,5,9,10,14,8,23,2,33,2004
19003,"Forest City, IA","Clear Lake, IA",6,18,6,11,17,2,13,5,12,30,2004
19012,"Forest City, IA","Des Moines, IA",7,16,5,0,20,8,7,13,8,28,2004
19032,"Forest City, IA","Klemme, IA",3,11,4,10,1,7,6,9,3,18,2004
18989,"Forest City, IA","Algona, IA",5,7,3,0,15,0,6,8,1,15,2004
18991,"Forest City, IA","Ames, IA",7,5,3,2,9,4,11,3,1,15,2004
19024,"Forest City, IA","Hampton, IA",2,8,0,9,0,1,2,6,2,10,2004
19065,"Forest City, IA","Spencer, IA",2,2,6,0,7,3,5,5,0,10,2004
18994,"Forest City, IA","Belmond, IA",3,6,1,4,6,0,4,0,6,10,2004
19048,"Forest City, IA","Osage, IA",1,6,1,0,8,0,7,1,0,8,2004
19002,"Forest City, IA","Clarion, IA",3,3,2,0,8,0,4,4,0,8,2004
19078,"Forest City, IA","West Des Moines, IA",1,5,1,2,1,4,4,1,2,7,2004
19029,"Forest City, IA","Iowa City, IA",3,4,0,3,3,1,3,3,1,7,2004
18992,"Forest City, IA","Ankeny, IA",1,4,2,0,2,5,2,2,3,7,2004
19047,"Forest City, IA","Northwood, IA",0,3,4,0,7,0,6,1,0,7,2004
19079,"Forest City, IA","Woden, IA",1,4,1,0,6,0,2,4,0,6,2004
19066,"Forest City, IA","Spirit Lake, IA",1,4,1,2,4,0,4,1,1,6,2004
19004,"Forest City, IA","Clive, IA",3,2,1,0,4,2,3,1,2,6,2004
19055,"Forest City, IA","Rake, IA",2,2,2,6,0,0,0,4,2,6,2004
18997,"Forest City, IA","Buffalo Center, IA",1,4,0,0,5,0,5,0,0,5,2004
19077,"Forest City, IA","Webster City, IA",0,5,0,0,3,2,0,5,0,5,2004
19037,"Forest City, IA","Leland, IA",1,4,0,0,5,0,3,1,1,5,2004
19046,"Forest City, IA","Newton, IA",1,1,2,2,1,1,0,1,3,4,2004
19068,"Forest City, IA","Swea City, IA",0,2,2,0,4,0,0,4,0,4,2004
19000,"Forest City, IA","Cedar Rapids, IA",4,0,0,0,1,3,4,0,0,4,2004
19013,"Forest City, IA","Emmetsburg, IA",3,1,0,0,1,3,3,1,0,4,2004
19014,"Forest City, IA","Estherville, IA",0,4,0,0,4,0,3,0,1,4,2004
19010,"Forest City, IA","Davenport, IA",1,2,1,0,3,1,1,2,1,4,2004
19015,"Forest City, IA","Fairfax, IA",1,3,0,1,0,3,1,3,0,4,2004
