,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27842,"La Porte City, IA","Waterloo, IA",138,320,86,121,348,75,144,275,125,544,2004
27807,"La Porte City, IA","La Porte City, IA",25,92,37,29,91,34,74,47,33,154,2004
27767,"La Porte City, IA","Cedar Falls, IA",34,76,13,40,62,21,33,56,34,123,2004
27788,"La Porte City, IA","Evansdale, IA",28,75,13,60,39,17,24,81,11,116,2004
27786,"La Porte City, IA","Elk Run Heights, IA",12,58,13,66,11,6,5,30,48,83,2004
27819,"La Porte City, IA","Mount Auburn, IA",14,40,15,7,43,19,36,24,9,69,2004
27815,"La Porte City, IA","Mason City, IA",7,27,5,3,36,0,15,15,9,39,2004
27844,"La Porte City, IA","Waverly, IA",7,16,7,9,19,2,8,17,5,30,2004
27768,"La Porte City, IA","Cedar Rapids, IA",9,12,1,3,12,7,8,11,3,22,2004
27781,"La Porte City, IA","Des Moines, IA",8,11,3,0,16,6,8,12,2,22,2004
27783,"La Porte City, IA","Dysart, IA",4,14,3,0,19,2,8,6,7,21,2004
27769,"La Porte City, IA","Charles City, IA",4,11,2,5,10,2,4,12,1,17,2004
27804,"La Porte City, IA","Jesup, IA",5,11,1,12,0,5,1,16,0,17,2004
27762,"La Porte City, IA","Ankeny, IA",3,8,2,4,1,8,2,6,5,13,2004
27772,"La Porte City, IA","Clive, IA",6,6,0,1,3,8,4,6,2,12,2004
27761,"La Porte City, IA","Ames, IA",9,2,0,0,6,5,9,2,0,11,2004
27799,"La Porte City, IA","Hiawatha, IA",3,7,0,0,6,4,2,4,4,10,2004
27771,"La Porte City, IA","Clear Lake, IA",0,9,1,0,10,0,4,5,1,10,2004
27829,"La Porte City, IA","Parkersburg, IA",0,9,0,2,7,0,1,5,3,9,2004
27847,"La Porte City, IA","Windsor Heights, IA",5,3,1,1,4,4,5,4,0,9,2004
27814,"La Porte City, IA","Marshalltown, IA",4,4,0,0,5,3,4,4,0,8,2004
27774,"La Porte City, IA","Coralville, IA",7,1,0,0,4,4,8,0,0,8,2004
27846,"La Porte City, IA","West Des Moines, IA",1,6,1,0,5,3,0,7,1,8,2004
27792,"La Porte City, IA","Fort Dodge, IA",5,2,0,1,3,3,4,1,2,7,2004
27841,"La Porte City, IA","Urbandale, IA",2,5,0,0,3,4,3,4,0,7,2004
27823,"La Porte City, IA","New Hampton, IA",1,3,2,4,2,0,2,3,1,6,2004
27803,"La Porte City, IA","Iowa City, IA",3,2,1,0,3,3,5,1,0,6,2004
27796,"La Porte City, IA","Grundy Center, IA",0,5,0,0,4,1,0,4,1,5,2004
27773,"La Porte City, IA","Columbus Junction, IA",1,4,0,5,0,0,0,5,0,5,2004
27791,"La Porte City, IA","Floyd, IA",0,5,0,0,3,2,0,5,0,5,2004
27763,"La Porte City, IA","Blairstown, IA",0,5,0,0,2,3,1,3,1,5,2004
27824,"La Porte City, IA","Norwalk, IA",2,2,0,0,2,2,1,3,0,4,2004
27828,"La Porte City, IA","Ottumwa, IA",2,1,1,2,2,0,2,1,1,4,2004
27801,"La Porte City, IA","Independence, IA",2,1,1,3,1,0,1,3,0,4,2004
27800,"La Porte City, IA","Hudson, IA",1,3,0,2,2,0,2,2,0,4,2004
27831,"La Porte City, IA","Raymond, IA",1,3,0,0,3,1,0,3,1,4,2004
27838,"La Porte City, IA","Toledo, IA",1,3,0,0,4,0,0,4,0,4,2004
27780,"La Porte City, IA","Denver, IA",2,2,0,1,2,1,2,2,0,4,2004
27784,"La Porte City, IA","Elberon, IA",0,4,0,0,1,3,1,3,0,4,2004
27782,"La Porte City, IA","Dike, IA",1,2,1,1,0,3,2,1,1,4,2004
27809,"La Porte City, IA","Lincoln, IA",2,1,0,0,0,3,2,1,0,3,2004
27835,"La Porte City, IA","Spirit Lake, IA",0,3,0,0,3,0,0,0,3,3,2004
27779,"La Porte City, IA","Decorah, IA",0,0,3,2,0,1,0,1,2,3,2004
27836,"La Porte City, IA","Sumner, IA",0,1,2,1,0,2,1,1,1,3,2004
27805,"La Porte City, IA","Johnston, IA",0,2,1,0,2,1,1,1,1,3,2004
27825,"La Porte City, IA","Oelwein, IA",0,1,2,1,2,0,0,1,2,3,2004
27785,"La Porte City, IA","Eldridge, IA",1,1,1,1,2,0,1,0,2,3,2004
27833,"La Porte City, IA","Reinbeck, IA",2,0,0,2,0,0,1,1,0,2,2004
27832,"La Porte City, IA","Readlyn, IA",0,0,2,0,0,2,0,2,0,2,2004
27821,"La Porte City, IA","Nashua, IA",2,0,0,0,2,0,0,2,0,2,2004
27830,"La Porte City, IA","Pleasant Hill, IA",1,1,0,0,1,1,2,0,0,2,2004
27839,"La Porte City, IA","University Heights, IA",1,1,0,0,2,0,2,0,0,2,2004
27777,"La Porte City, IA","Davenport, IA",0,1,1,0,1,1,1,1,0,2,2004
27822,"La Porte City, IA","Nevada, IA",0,1,1,0,1,1,0,1,1,2,2004
27759,"La Porte City, IA","Allison, IA",1,1,0,2,0,0,0,2,0,2,2004
27843,"La Porte City, IA","Waukon, IA",2,0,0,0,2,0,1,1,0,2,2004
27795,"La Porte City, IA","Grinnell, IA",0,1,1,0,2,0,2,0,0,2,2004
