,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
33688,"McClelland, IA","Council Bluffs, IA",68,112,27,26,138,43,69,82,56,207,2004
33710,"McClelland, IA","Minden, IA",5,18,12,10,24,1,15,11,9,35,2004
33708,"McClelland, IA","McClelland, IA",10,17,6,5,5,23,14,15,4,33,2004
33722,"McClelland, IA","Underwood, IA",1,8,1,0,10,0,2,1,7,10,2004
33682,"McClelland, IA","Carter Lake, IA",3,3,0,4,0,2,2,2,2,6,2004
33719,"McClelland, IA","Silver City, IA",1,4,1,0,3,3,3,1,2,6,2004
33713,"McClelland, IA","Oakland, IA",0,3,3,0,5,1,4,2,0,6,2004
33724,"McClelland, IA","Urbandale, IA",3,1,0,0,1,3,2,2,0,4,2004
33691,"McClelland, IA","Creston, IA",2,2,0,2,2,0,1,1,2,4,2004
33718,"McClelland, IA","Shelby, IA",1,3,0,0,2,2,2,2,0,4,2004
33679,"McClelland, IA","Avoca, IA",0,3,0,0,1,2,1,0,2,3,2004
33694,"McClelland, IA","Des Moines, IA",2,1,0,0,3,0,0,3,0,3,2004
33686,"McClelland, IA","Clive, IA",1,2,0,0,2,1,1,2,0,3,2004
33707,"McClelland, IA","Logan, IA",0,3,0,1,2,0,0,2,1,3,2004
33712,"McClelland, IA","Mondamin, IA",0,3,0,3,0,0,0,3,0,3,2004
33725,"McClelland, IA","Waterloo, IA",1,1,1,0,0,3,0,3,0,3,2004
33704,"McClelland, IA","Iowa City, IA",2,0,0,0,2,0,2,0,0,2,2004
33705,"McClelland, IA","Johnston, IA",0,1,1,0,2,0,0,2,0,2,2004
33706,"McClelland, IA","Lewis, IA",0,1,1,2,0,0,0,1,1,2,2004
33701,"McClelland, IA","Harlan, IA",0,2,0,0,2,0,2,0,0,2,2004
33709,"McClelland, IA","Melcher-Dallas, IA",0,1,1,2,0,0,0,2,0,2,2004
33676,"McClelland, IA","Ames, IA",1,1,0,0,2,0,0,2,0,2,2004
33714,"McClelland, IA","Onawa, IA",0,2,0,0,2,0,0,2,0,2,2004
33715,"McClelland, IA","Ottumwa, IA",0,1,1,0,0,2,1,0,1,2,2004
33721,"McClelland, IA","Tennant, IA",0,2,0,0,1,1,1,0,1,2,2004
33703,"McClelland, IA","Henderson, IA",1,1,0,0,0,2,1,1,0,2,2004
33726,"McClelland, IA","West Des Moines, IA",1,0,1,0,1,1,1,1,0,2,2004
33690,"McClelland, IA","Cresco, IA",0,2,0,0,0,2,0,2,0,2,2004
33689,"McClelland, IA","Crescent, IA",2,0,0,0,0,2,1,1,0,2,2004
33702,"McClelland, IA","Hastings, IA",1,0,0,0,0,1,0,1,0,1,2004
33716,"McClelland, IA","Rock Valley, IA",0,1,0,0,1,0,0,0,1,1,2004
33677,"McClelland, IA","Ankeny, IA",0,1,0,0,0,1,1,0,0,1,2004
33678,"McClelland, IA","Atlantic, IA",0,1,0,0,1,0,1,0,0,1,2004
33723,"McClelland, IA","University Heights, IA",1,0,0,0,1,0,1,0,0,1,2004
33680,"McClelland, IA","Boone, IA",1,0,0,0,0,1,1,0,0,1,2004
33681,"McClelland, IA","Carson, IA",1,0,0,0,0,1,0,1,0,1,2004
33720,"McClelland, IA","Sioux City, IA",1,0,0,0,0,1,0,1,0,1,2004
33683,"McClelland, IA","Cedar Falls, IA",1,0,0,0,0,1,1,0,0,1,2004
33684,"McClelland, IA","Charles City, IA",0,1,0,0,0,1,0,0,1,1,2004
33717,"McClelland, IA","Schleswig, IA",0,1,0,1,0,0,1,0,0,1,2004
33687,"McClelland, IA","Corning, IA",1,0,0,0,1,0,1,0,0,1,2004
33685,"McClelland, IA","Clarinda, IA",0,1,0,1,0,0,0,1,0,1,2004
33700,"McClelland, IA","Hancock, IA",0,1,0,0,1,0,0,0,1,1,2004
33711,"McClelland, IA","Missouri Valley, IA",0,0,1,1,0,0,0,1,0,1,2004
33692,"McClelland, IA","Cumberland, IA",0,1,0,0,0,1,1,0,0,1,2004
33693,"McClelland, IA","Danbury, IA",1,0,0,0,0,1,1,0,0,1,2004
33695,"McClelland, IA","Diagonal, IA",1,0,0,1,0,0,0,1,0,1,2004
33696,"McClelland, IA","Evansdale, IA",1,0,0,0,0,1,1,0,0,1,2004
33697,"McClelland, IA","Fort Dodge, IA",1,0,0,0,0,1,1,0,0,1,2004
33698,"McClelland, IA","Grant, IA",0,1,0,0,0,1,1,0,0,1,2004
33699,"McClelland, IA","Gravity, IA",0,1,0,0,0,1,0,0,1,1,2004
33675,"McClelland, IA","Altoona, IA",1,0,0,0,1,0,0,0,1,1,2004
