,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41482,"Panama, IA","Tennant, IA",30,53,29,12,65,35,58,46,8,112,2004
41441,"Panama, IA","Harlan, IA",23,35,18,4,53,19,39,25,12,76,2004
41424,"Panama, IA","Council Bluffs, IA",11,14,7,3,21,8,8,18,6,32,2004
41472,"Panama, IA","Panama, IA",5,18,5,6,15,7,12,14,2,28,2004
41480,"Panama, IA","Storm Lake, IA",7,14,2,9,10,4,11,9,3,23,2004
41429,"Panama, IA","Denison, IA",4,16,0,8,7,5,5,14,1,20,2004
41412,"Panama, IA","Carroll, IA",0,3,11,0,11,3,7,4,3,14,2004
41430,"Panama, IA","Des Moines, IA",5,5,1,1,6,4,4,4,3,11,2004
41448,"Panama, IA","Kirkman, IA",2,6,2,0,3,7,4,6,0,10,2004
41475,"Panama, IA","Shelby, IA",1,4,4,0,4,5,2,5,2,9,2004
41409,"Panama, IA","Avoca, IA",2,4,1,0,1,6,1,5,1,7,2004
41402,"Panama, IA","Ames, IA",1,4,1,0,3,3,3,2,1,6,2004
41461,"Panama, IA","Missouri Valley, IA",3,3,0,0,4,2,2,3,1,6,2004
41434,"Panama, IA","Estherville, IA",2,3,0,0,4,1,1,4,0,5,2004
41457,"Panama, IA","McClelland, IA",0,2,3,0,0,5,3,2,0,5,2004
41483,"Panama, IA","Underwood, IA",0,4,1,0,4,1,0,1,4,5,2004
41486,"Panama, IA","Waterloo, IA",0,4,1,1,4,0,0,4,1,5,2004
41449,"Panama, IA","Lakeside, IA",2,2,0,1,3,0,3,1,0,4,2004
41439,"Panama, IA","Guthrie Center, IA",1,1,2,0,3,1,1,2,1,4,2004
41474,"Panama, IA","Red Oak, IA",2,2,0,0,4,0,2,2,0,4,2004
41406,"Panama, IA","Audubon, IA",3,1,0,3,1,0,0,4,0,4,2004
41465,"Panama, IA","Newell, IA",2,2,0,0,4,0,3,1,0,4,2004
41477,"Panama, IA","Silver City, IA",0,4,0,0,4,0,0,0,4,4,2004
41416,"Panama, IA","Cedar Rapids, IA",1,1,1,0,2,1,2,1,0,3,2004
41484,"Panama, IA","Urbandale, IA",1,2,0,0,2,1,1,2,0,3,2004
41443,"Panama, IA","Ida Grove, IA",1,2,0,0,1,2,2,1,0,3,2004
41487,"Panama, IA","Windsor Heights, IA",2,1,0,0,1,2,2,1,0,3,2004
41485,"Panama, IA","Walnut, IA",0,1,2,0,2,1,1,2,0,3,2004
41431,"Panama, IA","Dunlap, IA",0,2,1,0,3,0,0,1,2,3,2004
41428,"Panama, IA","Defiance, IA",2,1,0,1,0,2,1,2,0,3,2004
41455,"Panama, IA","Marcus, IA",0,3,0,0,3,0,0,3,0,3,2004
41422,"Panama, IA","Coburg, IA",1,2,0,3,0,0,3,0,0,3,2004
41421,"Panama, IA","Clive, IA",0,2,1,0,2,1,0,1,2,3,2004
