,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
45432,"Ridgeway, IA","Decorah, IA",23,45,15,21,57,5,29,40,14,83,2004
45439,"Ridgeway, IA","Fort Atkinson, IA",9,24,7,12,12,16,19,15,6,40,2004
45429,"Ridgeway, IA","Cresco, IA",3,8,0,7,4,0,0,11,0,11,2004
45453,"Ridgeway, IA","New Hampton, IA",4,5,0,5,4,0,2,7,0,9,2004
45459,"Ridgeway, IA","Ridgeway, IA",6,1,2,6,1,2,3,5,1,9,2004
45457,"Ridgeway, IA","Postville, IA",4,4,0,8,0,0,1,6,1,8,2004
45421,"Ridgeway, IA","Castalia, IA",1,3,3,1,6,0,1,6,0,7,2004
45465,"Ridgeway, IA","Waterloo, IA",1,2,3,1,5,0,2,2,2,6,2004
45450,"Ridgeway, IA","Marshalltown, IA",3,2,1,3,3,0,2,4,0,6,2004
45433,"Ridgeway, IA","Des Moines, IA",2,4,0,1,4,1,0,3,3,6,2004
45451,"Ridgeway, IA","Mason City, IA",1,2,2,1,1,3,1,1,3,5,2004
45468,"Ridgeway, IA","West Union, IA",0,4,0,2,2,0,0,3,1,4,2004
45458,"Ridgeway, IA","Protivin, IA",0,3,1,1,1,2,1,3,0,4,2004
45422,"Ridgeway, IA","Cedar Falls, IA",3,1,0,0,3,1,3,1,0,4,2004
45427,"Ridgeway, IA","Coralville, IA",2,2,0,0,0,4,1,3,0,4,2004
45431,"Ridgeway, IA","Davenport, IA",1,1,1,0,1,2,3,0,0,3,2004
45423,"Ridgeway, IA","Cedar Rapids, IA",2,1,0,0,3,0,2,0,1,3,2004
45426,"Ridgeway, IA","Colwell, IA",1,2,0,3,0,0,2,1,0,3,2004
45448,"Ridgeway, IA","Luana, IA",0,3,0,2,1,0,0,3,0,3,2004
45446,"Ridgeway, IA","Hiawatha, IA",1,1,0,1,1,0,0,2,0,2,2004
45445,"Ridgeway, IA","Hawkeye, IA",1,1,0,0,0,2,1,1,0,2,2004
45447,"Ridgeway, IA","Lawler, IA",1,1,0,2,0,0,1,1,0,2,2004
45469,"Ridgeway, IA","Windsor Heights, IA",1,1,0,0,2,0,1,0,1,2,2004
45462,"Ridgeway, IA","Toledo, IA",2,0,0,0,2,0,0,2,0,2,2004
45454,"Ridgeway, IA","Newton, IA",1,1,0,0,0,2,2,0,0,2,2004
45434,"Ridgeway, IA","Dubuque, IA",0,1,1,2,0,0,1,1,0,2,2004
45428,"Ridgeway, IA","Council Bluffs, IA",1,1,0,1,1,0,1,1,0,2,2004
45425,"Ridgeway, IA","Clive, IA",0,2,0,0,2,0,1,1,0,2,2004
45466,"Ridgeway, IA","Waucoma, IA",2,0,0,0,1,1,2,0,0,2,2004
45435,"Ridgeway, IA","Elk Run Heights, IA",2,0,0,0,1,1,1,1,0,2,2004
45461,"Ridgeway, IA","St. Lucas, IA",1,0,0,0,0,1,0,1,0,1,2004
45460,"Ridgeway, IA","Sheffield, IA",0,1,0,1,0,0,0,1,0,1,2004
45463,"Ridgeway, IA","University Heights, IA",0,1,0,0,1,0,1,0,0,1,2004
45464,"Ridgeway, IA","Urbandale, IA",1,0,0,0,1,0,1,0,0,1,2004
45456,"Ridgeway, IA","Ottumwa, IA",1,0,0,0,0,1,1,0,0,1,2004
45467,"Ridgeway, IA","West Chester, IA",0,1,0,1,0,0,0,0,1,1,2004
45455,"Ridgeway, IA","Oskaloosa, IA",0,0,1,0,0,1,0,1,0,1,2004
45417,"Ridgeway, IA","Ames, IA",0,1,0,0,1,0,0,0,1,1,2004
45452,"Ridgeway, IA","Morrison, IA",0,1,0,1,0,0,1,0,0,1,2004
45449,"Ridgeway, IA","Maquoketa, IA",1,0,0,0,0,1,0,1,0,1,2004
45444,"Ridgeway, IA","Haverhill, IA",0,1,0,0,1,0,1,0,0,1,2004
45418,"Ridgeway, IA","Bettendorf, IA",1,0,0,0,0,1,0,1,0,1,2004
45442,"Ridgeway, IA","Grinnell, IA",0,1,0,0,0,1,0,0,1,1,2004
45441,"Ridgeway, IA","Fredericksburg, IA",0,1,0,0,0,1,0,1,0,1,2004
45440,"Ridgeway, IA","Fort Dodge, IA",0,1,0,0,0,1,1,0,0,1,2004
45438,"Ridgeway, IA","Fairfield, IA",0,1,0,0,0,1,1,0,0,1,2004
45437,"Ridgeway, IA","Evansdale, IA",1,0,0,0,1,0,1,0,0,1,2004
45436,"Ridgeway, IA","Elkader, IA",0,1,0,0,1,0,0,1,0,1,2004
45430,"Ridgeway, IA","Creston, IA",0,0,1,0,1,0,0,1,0,1,2004
45424,"Ridgeway, IA","Clear Lake, IA",1,0,0,0,0,1,1,0,0,1,2004
45420,"Ridgeway, IA","Carlisle, IA",0,1,0,0,0,1,0,1,0,1,2004
45419,"Ridgeway, IA","Brooklyn, IA",0,0,1,1,0,0,0,1,0,1,2004
45443,"Ridgeway, IA","Grundy Center, IA",1,0,0,0,1,0,1,0,0,1,2004
