,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
46900,"Ruthven, IA","Spencer, IA",76,202,49,116,146,65,107,156,64,327,2004
46892,"Ruthven, IA","Ruthven, IA",19,61,33,14,75,24,49,46,18,113,2004
46851,"Ruthven, IA","Emmetsburg, IA",18,27,15,3,53,4,35,22,3,60,2004
46901,"Ruthven, IA","Spirit Lake, IA",8,20,10,23,11,4,9,24,5,38,2004
46881,"Ruthven, IA","Milford, IA",8,23,3,23,7,4,5,27,2,34,2004
46830,"Ruthven, IA","Algona, IA",4,19,3,3,20,3,7,14,5,26,2004
46852,"Ruthven, IA","Estherville, IA",9,9,3,5,12,4,2,10,9,21,2004
46860,"Ruthven, IA","Graettinger, IA",4,9,6,7,11,1,3,14,2,19,2004
46846,"Ruthven, IA","Dickens, IA",1,11,5,8,7,2,8,7,2,17,2004
46873,"Ruthven, IA","Laurens, IA",3,10,2,15,0,0,3,12,0,15,2004
46845,"Ruthven, IA","Des Moines, IA",4,8,2,1,7,6,4,4,6,14,2004
46897,"Ruthven, IA","Sioux City, IA",6,5,2,1,3,9,9,2,2,13,2004
46843,"Ruthven, IA","Curlew, IA",0,7,5,11,1,0,0,4,8,12,2004
46857,"Ruthven, IA","Fort Dodge, IA",2,7,2,0,6,5,2,6,3,11,2004
46907,"Ruthven, IA","Truesdale, IA",6,2,0,7,1,0,1,7,0,8,2004
46914,"Ruthven, IA","Whittemore, IA",1,4,2,0,0,7,3,4,0,7,2004
46833,"Ruthven, IA","Armstrong, IA",3,4,0,4,3,0,0,7,0,7,2004
46908,"Ruthven, IA","Urbandale, IA",2,4,0,1,4,1,2,1,3,6,2004
46910,"Ruthven, IA","Webb, IA",3,3,0,6,0,0,1,5,0,6,2004
46834,"Ruthven, IA","Arnolds Park, IA",5,0,0,0,5,0,2,3,0,5,2004
46902,"Ruthven, IA","Storm Lake, IA",0,3,2,0,4,1,4,0,1,5,2004
46847,"Ruthven, IA","Dolliver, IA",1,4,0,0,5,0,0,5,0,5,2004
46838,"Ruthven, IA","Clinton, IA",0,5,0,2,2,1,0,2,3,5,2004
46898,"Ruthven, IA","Sioux Rapids, IA",1,3,0,1,2,1,2,1,1,4,2004
46844,"Ruthven, IA","Davenport, IA",3,0,1,1,2,1,3,1,0,4,2004
46831,"Ruthven, IA","Ames, IA",3,1,0,0,2,2,4,0,0,4,2004
46866,"Ruthven, IA","Humboldt, IA",4,0,0,0,4,0,4,0,0,4,2004
46911,"Ruthven, IA","West Bend, IA",1,2,0,2,1,0,1,2,0,3,2004
46840,"Ruthven, IA","Columbus Junction, IA",1,2,0,2,1,0,1,1,1,3,2004
46858,"Ruthven, IA","Fostoria, IA",1,1,1,0,0,3,2,0,1,3,2004
46906,"Ruthven, IA","Terril, IA",0,3,0,1,1,1,1,1,1,3,2004
46861,"Ruthven, IA","Greenville, IA",0,3,0,3,0,0,3,0,0,3,2004
46890,"Ruthven, IA","Rock Valley, IA",1,2,0,0,3,0,1,2,0,3,2004
46883,"Ruthven, IA","Moville, IA",1,1,0,2,0,0,2,0,0,2,2004
46879,"Ruthven, IA","Melcher-Dallas, IA",1,1,0,2,0,0,0,1,1,2,2004
46876,"Ruthven, IA","Low Moor, IA",2,0,0,0,1,1,1,1,0,2,2004
46895,"Ruthven, IA","Sheldon, IA",0,1,1,1,1,0,1,1,0,2,2004
46886,"Ruthven, IA","Paullina, IA",0,2,0,2,0,0,2,0,0,2,2004
46891,"Ruthven, IA","Royal, IA",0,2,0,0,1,1,0,1,1,2,2004
46894,"Ruthven, IA","Sergeant Bluff, IA",1,1,0,1,0,1,0,2,0,2,2004
46905,"Ruthven, IA","Swea City, IA",2,0,0,0,2,0,2,0,0,2,2004
46874,"Ruthven, IA","Le Mars, IA",0,1,1,1,0,1,1,0,1,2,2004
46829,"Ruthven, IA","Albert City, IA",0,2,0,1,1,0,0,1,1,2,2004
46837,"Ruthven, IA","Cedar Rapids, IA",2,0,0,1,1,0,1,0,1,2,2004
46870,"Ruthven, IA","Johnston, IA",0,2,0,2,0,0,0,2,0,2,2004
46871,"Ruthven, IA","Lake Park, IA",0,2,0,0,0,2,2,0,0,2,2004
46868,"Ruthven, IA","Indianola, IA",1,1,0,0,0,2,2,0,0,2,2004
46867,"Ruthven, IA","Ida Grove, IA",0,1,1,0,1,1,1,1,0,2,2004
46836,"Ruthven, IA","Camanche, IA",2,0,0,0,2,0,2,0,0,2,2004
46839,"Ruthven, IA","Clive, IA",2,0,0,0,1,1,1,1,0,2,2004
46864,"Ruthven, IA","Hartley, IA",1,1,0,1,1,0,0,2,0,2,2004
46841,"Ruthven, IA","Council Bluffs, IA",1,1,0,1,0,1,0,1,1,2,2004
46842,"Ruthven, IA","Creston, IA",0,0,1,0,0,1,1,0,0,1,2004
46899,"Ruthven, IA","Sloan, IA",0,0,1,0,1,0,0,0,1,1,2004
46850,"Ruthven, IA","Eldridge, IA",0,1,0,1,0,0,0,0,1,1,2004
46849,"Ruthven, IA","Eagle Grove, IA",1,0,0,0,0,1,1,0,0,1,2004
46848,"Ruthven, IA","Duncombe, IA",0,1,0,1,0,0,0,0,1,1,2004
46903,"Ruthven, IA","Superior, IA",0,1,0,0,1,0,0,0,1,1,2004
46904,"Ruthven, IA","Sutherland, IA",0,1,0,0,0,1,1,0,0,1,2004
46872,"Ruthven, IA","Lakeside, IA",0,1,0,0,0,1,0,0,1,1,2004
46854,"Ruthven, IA","Farragut, IA",0,1,0,1,0,0,0,0,1,1,2004
46909,"Ruthven, IA","Wahpeton, IA",1,0,0,0,1,0,1,0,0,1,2004
46835,"Ruthven, IA","Bettendorf, IA",0,1,0,0,0,1,0,1,0,1,2004
46912,"Ruthven, IA","West Des Moines, IA",1,0,0,0,0,1,1,0,0,1,2004
46913,"Ruthven, IA","West Okoboji, IA",1,0,0,0,1,0,0,1,0,1,2004
46832,"Ruthven, IA","Ankeny, IA",1,0,0,0,1,0,1,0,0,1,2004
46915,"Ruthven, IA","Windsor Heights, IA",0,1,0,0,0,1,0,1,0,1,2004
46853,"Ruthven, IA","Everly, IA",0,1,0,0,0,1,0,0,1,1,2004
46856,"Ruthven, IA","Forest City, IA",0,1,0,0,1,0,0,1,0,1,2004
46896,"Ruthven, IA","Sioux Center, IA",1,0,0,0,0,1,0,1,0,1,2004
46884,"Ruthven, IA","Newton, IA",0,1,0,0,1,0,0,0,1,1,2004
46875,"Ruthven, IA","Ledyard, IA",0,1,0,0,1,0,0,0,1,1,2004
46869,"Ruthven, IA","Iowa City, IA",0,0,1,1,0,0,0,0,1,1,2004
46877,"Ruthven, IA","Manson, IA",0,1,0,0,1,0,0,1,0,1,2004
46878,"Ruthven, IA","Maquoketa, IA",0,1,0,0,1,0,0,0,1,1,2004
46880,"Ruthven, IA","Meriden, IA",1,0,0,0,1,0,1,0,0,1,2004
46882,"Ruthven, IA","Montezuma, IA",1,0,0,0,0,1,1,0,0,1,2004
46865,"Ruthven, IA","Havelock, IA",1,0,0,0,1,0,0,1,0,1,2004
46885,"Ruthven, IA","Onawa, IA",0,1,0,0,1,0,0,1,0,1,2004
46855,"Ruthven, IA","Fenton, IA",0,1,0,0,0,1,1,0,0,1,2004
46887,"Ruthven, IA","Pleasant Hill, IA",0,1,0,0,0,1,0,0,1,1,2004
46888,"Ruthven, IA","Pocahontas, IA",0,1,0,0,1,0,1,0,0,1,2004
46889,"Ruthven, IA","Rock Rapids, IA",1,0,0,0,1,0,1,0,0,1,2004
46863,"Ruthven, IA","Harris, IA",0,1,0,0,0,1,0,1,0,1,2004
46862,"Ruthven, IA","Hardy, IA",1,0,0,1,0,0,0,1,0,1,2004
46859,"Ruthven, IA","Gilman, IA",1,0,0,1,0,0,0,1,0,1,2004
46893,"Ruthven, IA","Sanborn, IA",0,0,1,1,0,0,0,1,0,1,2004
46916,"Ruthven, IA","Winterset, IA",0,1,0,0,1,0,1,0,0,1,2004
