,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
56907,"West Des Moines, IA","Des Moines, IA",1035,3133,881,311,4186,552,929,1689,2431,5049,2004
56896,"West Des Moines, IA","Clive, IA",516,1186,335,39,1713,285,574,745,718,2037,2004
57017,"West Des Moines, IA","West Des Moines, IA",373,795,273,266,851,324,468,504,469,1441,2004
57012,"West Des Moines, IA","Urbandale, IA",299,506,104,60,582,267,257,353,299,909,2004
57018,"West Des Moines, IA","Windsor Heights, IA",244,329,140,43,503,167,334,247,132,713,2004
56938,"West Des Moines, IA","Johnston, IA",87,196,46,21,164,144,77,115,137,329,2004
56875,"West Des Moines, IA","Ankeny, IA",90,177,52,64,139,116,84,118,117,319,2004
57015,"West Des Moines, IA","Waukee, IA",80,160,33,41,175,57,67,109,97,273,2004
56967,"West Des Moines, IA","Norwalk, IA",66,132,28,15,143,68,84,69,73,226,2004
56874,"West Des Moines, IA","Ames, IA",93,107,25,28,158,39,67,92,66,225,2004
56978,"West Des Moines, IA","Pleasant Hill, IA",51,91,24,21,90,55,73,52,41,166,2004
56891,"West Des Moines, IA","Cedar Rapids, IA",35,47,2,9,46,29,22,36,26,84,2004
56925,"West Des Moines, IA","Grimes, IA",22,40,14,27,22,27,25,23,28,76,2004
56964,"West Des Moines, IA","Newton, IA",15,40,8,26,26,11,11,25,27,63,2004
56873,"West Des Moines, IA","Altoona, IA",18,30,14,8,39,15,16,31,15,62,2004
56935,"West Des Moines, IA","Indianola, IA",15,34,10,6,39,14,15,23,21,59,2004
56936,"West Des Moines, IA","Iowa City, IA",22,27,2,9,34,8,28,15,8,51,2004
56904,"West Des Moines, IA","Davenport, IA",14,32,5,3,18,30,14,21,16,51,2004
56969,"West Des Moines, IA","Osceola, IA",22,16,4,5,34,3,2,18,22,42,2004
56887,"West Des Moines, IA","Carlisle, IA",16,16,6,15,18,5,6,17,15,38,2004
56901,"West Des Moines, IA","Council Bluffs, IA",10,20,7,7,11,19,7,22,8,37,2004
56933,"West Des Moines, IA","Hiawatha, IA",15,20,2,2,18,17,14,15,8,37,2004
56916,"West Des Moines, IA","Fort Dodge, IA",17,14,6,2,16,19,16,13,8,37,2004
56998,"West Des Moines, IA","Sioux City, IA",12,21,3,2,14,20,13,19,4,36,2004
56955,"West Des Moines, IA","Marshalltown, IA",16,14,4,4,16,14,10,15,9,34,2004
56899,"West Des Moines, IA","Coralville, IA",18,10,0,1,14,13,19,4,5,28,2004
56971,"West Des Moines, IA","Ottumwa, IA",12,10,4,5,10,11,5,12,9,26,2004
56892,"West Des Moines, IA","Chariton, IA",11,13,0,1,2,21,11,11,2,24,2004
56959,"West Des Moines, IA","Mitchellville, IA",7,16,1,0,18,6,10,8,6,24,2004
56872,"West Des Moines, IA","Allison, IA",7,15,1,0,23,0,0,15,8,23,2004
56880,"West Des Moines, IA","Bettendorf, IA",4,12,6,2,16,4,5,9,8,22,2004
56980,"West Des Moines, IA","Polk City, IA",5,12,4,1,19,1,6,11,4,21,2004
56883,"West Des Moines, IA","Boone, IA",17,2,2,0,7,14,14,5,2,21,2004
56926,"West Des Moines, IA","Grinnell, IA",5,9,0,2,8,4,6,4,4,14,2004
56913,"West Des Moines, IA","Fairfax, IA",4,8,1,1,2,10,5,6,2,13,2004
56994,"West Des Moines, IA","Sergeant Bluff, IA",7,5,1,3,6,4,4,5,4,13,2004
56962,"West Des Moines, IA","Nevada, IA",5,7,0,2,7,3,1,6,5,12,2004
57019,"West Des Moines, IA","Winterset, IA",3,6,3,5,6,1,5,5,2,12,2004
56922,"West Des Moines, IA","Granger, IA",2,7,3,4,2,6,2,3,7,12,2004
56905,"West Des Moines, IA","De Soto, IA",2,8,1,6,4,1,2,6,3,11,2004
56956,"West Des Moines, IA","Melcher-Dallas, IA",3,5,2,7,2,1,1,5,4,10,2004
56902,"West Des Moines, IA","Creston, IA",3,6,1,0,2,8,1,8,1,10,2004
57010,"West Des Moines, IA","University Heights, IA",8,2,0,0,8,2,6,3,1,10,2004
57007,"West Des Moines, IA","Tiffin, IA",1,5,3,0,0,9,3,2,4,9,2004
56911,"West Des Moines, IA","Eldridge, IA",1,7,1,0,2,7,3,2,4,9,2004
56934,"West Des Moines, IA","Huxley, IA",4,2,2,0,7,1,2,0,6,8,2004
56914,"West Des Moines, IA","Fairfield, IA",3,5,0,1,5,2,4,2,2,8,2004
56975,"West Des Moines, IA","Patterson, IA",2,6,0,7,1,0,0,8,0,8,2004
56906,"West Des Moines, IA","Decorah, IA",4,2,1,2,3,2,5,0,2,7,2004
56989,"West Des Moines, IA","Robins, IA",1,6,0,1,4,2,2,3,2,7,2004
57011,"West Des Moines, IA","University Park, IA",1,6,0,1,1,5,3,2,2,7,2004
56868,"West Des Moines, IA","Adel, IA",4,3,0,6,1,0,0,7,0,7,2004
56903,"West Des Moines, IA","Dallas Center, IA",0,5,1,0,6,0,1,2,3,6,2004
56942,"West Des Moines, IA","Knoxville, IA",3,2,1,0,4,2,4,2,0,6,2004
56970,"West Des Moines, IA","Oskaloosa, IA",2,2,2,0,3,3,3,3,0,6,2004
57003,"West Des Moines, IA","Story City, IA",1,4,0,2,1,2,2,0,3,5,2004
56984,"West Des Moines, IA","Red Oak, IA",2,2,1,0,3,2,1,3,1,5,2004
