,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
57107,"West Liberty, IA","West Liberty, IA",146,302,68,288,204,24,150,291,75,516,2004
57059,"West Liberty, IA","Iowa City, IA",100,254,58,127,243,42,113,190,109,412,2004
57072,"West Liberty, IA","Muscatine, IA",26,75,19,28,69,23,32,44,44,120,2004
57096,"West Liberty, IA","University Heights, IA",16,59,6,9,69,3,14,44,23,81,2004
57064,"West Liberty, IA","Lone Tree, IA",10,47,12,1,13,55,22,45,2,69,2004
57110,"West Liberty, IA","Wilton, IA",9,34,3,33,10,3,4,23,19,46,2004
57038,"West Liberty, IA","Coralville, IA",14,23,7,7,29,8,11,19,14,44,2004
57036,"West Liberty, IA","Columbus Junction, IA",10,22,2,27,5,2,3,25,6,34,2004
57104,"West Liberty, IA","West Branch, IA",11,21,1,10,14,9,13,12,8,33,2004
57074,"West Liberty, IA","Nichols, IA",5,10,7,4,8,10,10,9,3,22,2004
57025,"West Liberty, IA","Bettendorf, IA",9,9,2,0,12,8,11,7,2,20,2004
57094,"West Liberty, IA","Tiffin, IA",6,12,0,2,2,14,2,12,4,18,2004
57041,"West Liberty, IA","Davenport, IA",5,8,2,7,4,4,5,8,2,15,2004
57095,"West Liberty, IA","Tipton, IA",2,6,6,4,7,3,3,11,0,14,2004
57075,"West Liberty, IA","North Liberty, IA",4,8,1,7,5,1,2,7,4,13,2004
57043,"West Liberty, IA","Des Moines, IA",3,9,1,3,9,1,1,6,6,13,2004
57100,"West Liberty, IA","Waterloo, IA",11,2,0,0,0,13,13,0,0,13,2004
57030,"West Liberty, IA","Cedar Rapids, IA",5,6,1,1,6,5,6,4,2,12,2004
57024,"West Liberty, IA","Bennett, IA",3,8,1,4,4,4,6,5,1,12,2004
57079,"West Liberty, IA","Ottumwa, IA",4,5,2,1,7,3,2,6,3,11,2004
57088,"West Liberty, IA","Riverside, IA",0,8,2,3,4,3,2,6,2,10,2004
57023,"West Liberty, IA","Atalissa, IA",2,7,1,5,1,4,1,8,1,10,2004
57069,"West Liberty, IA","Mount Pleasant, IA",3,2,2,0,4,3,3,2,2,7,2004
57056,"West Liberty, IA","Hiawatha, IA",4,1,1,0,4,2,3,1,2,6,2004
57029,"West Liberty, IA","Cedar Falls, IA",6,0,0,0,0,6,6,0,0,6,2004
57060,"West Liberty, IA","Kalona, IA",2,3,0,2,3,0,3,1,1,5,2004
57026,"West Liberty, IA","Blue Grass, IA",2,3,0,3,1,1,1,1,3,5,2004
57055,"West Liberty, IA","Grandview, IA",0,5,0,2,3,0,0,3,2,5,2004
57022,"West Liberty, IA","Ankeny, IA",0,5,0,1,0,4,1,4,0,5,2004
57098,"West Liberty, IA","Urbandale, IA",0,3,1,1,1,2,1,2,1,4,2004
57050,"West Liberty, IA","Fairfield, IA",0,2,2,2,1,1,1,1,2,4,2004
57028,"West Liberty, IA","Burlington, IA",4,0,0,0,4,0,4,0,0,4,2004
57105,"West Liberty, IA","West Burlington, IA",1,0,3,0,0,4,1,1,2,4,2004
57035,"West Liberty, IA","Clive, IA",3,1,0,0,3,1,3,0,1,4,2004
57081,"West Liberty, IA","Panorama Park, IA",1,3,0,3,1,0,0,2,2,4,2004
