,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
406,"Ainsworth, IA","Riverside, IA",5,19,7,13,14,4,13,17,1,31,2004
410,"Ainsworth, IA","Washington, IA",2,14,2,11,7,0,13,4,1,18,2004
385,"Ainsworth, IA","Ainsworth, IA",2,11,4,4,9,4,8,8,1,17,2004
389,"Ainsworth, IA","Crawfordsville, IA",0,13,2,6,8,1,6,8,1,15,2004
414,"Ainsworth, IA","Winfield, IA",1,2,5,0,8,0,3,5,0,8,2004
394,"Ainsworth, IA","Kalona, IA",2,4,1,2,5,0,3,4,0,7,2004
390,"Ainsworth, IA","Fairfield, IA",2,3,1,5,1,0,1,4,1,6,2004
412,"Ainsworth, IA","Wellman, IA",2,3,0,4,1,0,1,4,0,5,2004
399,"Ainsworth, IA","Mount Union, IA",1,2,1,1,3,0,2,2,0,4,2004
411,"Ainsworth, IA","Wayland, IA",0,2,2,1,3,0,1,3,0,4,2004
403,"Ainsworth, IA","Ottumwa, IA",1,1,1,2,0,1,2,1,0,3,2004
413,"Ainsworth, IA","West Chester, IA",2,0,0,2,0,0,0,2,0,2,2004
404,"Ainsworth, IA","Oxford, IA",0,2,0,1,1,0,0,1,1,2,2004
401,"Ainsworth, IA","North Liberty, IA",1,1,0,0,1,1,0,1,1,2,2004
400,"Ainsworth, IA","Muscatine, IA",2,0,0,2,0,0,0,2,0,2,2004
395,"Ainsworth, IA","Keota, IA",0,2,0,2,0,0,0,2,0,2,2004
386,"Ainsworth, IA","Blairstown, IA",0,0,1,0,1,0,0,1,0,1,2004
398,"Ainsworth, IA","Mount Pleasant, IA",0,1,0,1,0,0,0,1,0,1,2004
391,"Ainsworth, IA","Grandview, IA",0,1,0,0,1,0,0,1,0,1,2004
397,"Ainsworth, IA","Marshalltown, IA",0,0,1,0,1,0,0,0,1,1,2004
396,"Ainsworth, IA","Kinross, IA",0,1,0,1,0,0,1,0,0,1,2004
405,"Ainsworth, IA","Pleasant Plain, IA",0,1,0,1,0,0,0,1,0,1,2004
388,"Ainsworth, IA","Coralville, IA",1,0,0,0,1,0,0,1,0,1,2004
407,"Ainsworth, IA","Solon, IA",0,0,1,0,1,0,0,0,1,1,2004
408,"Ainsworth, IA","University Heights, IA",0,1,0,0,1,0,0,1,0,1,2004
409,"Ainsworth, IA","University Park, IA",0,1,0,1,0,0,1,0,0,1,2004
387,"Ainsworth, IA","Brighton, IA",0,1,0,1,0,0,0,1,0,1,2004
393,"Ainsworth, IA","Iowa City, IA",0,1,0,0,1,0,0,1,0,1,2004
392,"Ainsworth, IA","Hiawatha, IA",0,1,0,0,1,0,0,1,0,1,2004
402,"Ainsworth, IA","Oskaloosa, IA",0,0,1,1,0,0,0,1,0,1,2004
