,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
12466,"Corning, IA","Nodaway, IA",27,56,48,10,107,14,64,51,16,131,2004
12420,"Corning, IA","Corning, IA",25,42,33,22,61,17,41,51,8,100,2004
12434,"Corning, IA","Grant, IA",6,11,9,3,17,6,7,18,1,26,2004
12423,"Corning, IA","Creston, IA",7,16,1,2,20,2,5,19,0,24,2004
12424,"Corning, IA","Cromwell, IA",7,7,8,6,14,2,10,11,1,22,2004
12421,"Corning, IA","Council Bluffs, IA",4,14,2,2,17,1,6,9,5,20,2004
12472,"Corning, IA","Red Oak, IA",1,15,0,8,7,1,7,9,0,16,2004
12446,"Corning, IA","Lenox, IA",3,11,2,6,10,0,5,9,2,16,2004
12479,"Corning, IA","Stanton, IA",6,5,1,2,6,4,0,7,5,12,2004
12447,"Corning, IA","Lewis, IA",2,7,0,2,7,0,1,7,1,9,2004
12435,"Corning, IA","Gravity, IA",0,9,0,1,5,3,3,6,0,9,2004
12409,"Corning, IA","Bedford, IA",2,4,3,3,6,0,0,7,2,9,2004
12416,"Corning, IA","Clearfield, IA",1,6,1,4,4,0,2,6,0,8,2004
12432,"Corning, IA","Glenwood, IA",0,7,0,0,6,1,0,4,3,7,2004
12415,"Corning, IA","Clarinda, IA",0,5,2,4,1,2,3,3,1,7,2004
12476,"Corning, IA","Sharpsburg, IA",0,5,0,0,3,2,4,0,1,5,2004
12407,"Corning, IA","Atlantic, IA",0,3,2,1,4,0,1,4,0,5,2004
12433,"Corning, IA","Grand River, IA",0,3,1,0,2,2,1,3,0,4,2004
12426,"Corning, IA","Des Moines, IA",1,0,3,1,0,3,2,1,1,4,2004
12417,"Corning, IA","Clinton, IA",3,0,0,0,2,1,0,3,0,3,2004
12436,"Corning, IA","Greenfield, IA",1,2,0,2,1,0,0,3,0,3,2004
12408,"Corning, IA","Audubon, IA",0,0,3,0,3,0,2,1,0,3,2004
12461,"Corning, IA","Mount Ayr, IA",0,1,2,1,1,1,0,3,0,3,2004
12403,"Corning, IA","Afton, IA",0,1,2,3,0,0,0,3,0,3,2004
12441,"Corning, IA","Indianola, IA",0,2,0,2,0,0,0,1,1,2,2004
12445,"Corning, IA","Lamoni, IA",0,0,2,0,2,0,2,0,0,2,2004
12401,"Corning, IA","Ackworth, IA",1,1,0,1,0,1,1,1,0,2,2004
12450,"Corning, IA","Lisbon, IA",1,0,1,0,2,0,1,1,0,2,2004
12456,"Corning, IA","Massena, IA",1,1,0,0,2,0,2,0,0,2,2004
12463,"Corning, IA","Nevada, IA",0,2,0,1,1,0,1,1,0,2,2004
12467,"Corning, IA","Norwalk, IA",0,2,0,2,0,0,0,0,2,2,2004
12468,"Corning, IA","Pleasant Hill, IA",0,1,1,1,1,0,1,0,1,2,2004
12478,"Corning, IA","Spring Hill, IA",0,2,0,2,0,0,0,0,2,2,2004
12483,"Corning, IA","Webb, IA",1,1,0,0,2,0,1,1,0,2,2004
12464,"Corning, IA","New Sharon, IA",1,1,0,2,0,0,0,1,1,2,2004
12444,"Corning, IA","Lacona, IA",0,2,0,2,0,0,0,2,0,2,2004
12486,"Corning, IA","What Cheer, IA",1,1,0,1,0,1,1,0,1,2,2004
