,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
15546,"Denison, IA","Denison, IA",616,1436,442,964,1190,340,718,1334,442,2494,2004
15653,"Denison, IA","Schleswig, IA",57,149,30,77,98,61,97,97,42,236,2004
15527,"Denison, IA","Charter Oak, IA",71,117,34,81,100,41,76,121,25,222,2004
15535,"Denison, IA","Council Bluffs, IA",44,75,26,45,32,68,59,61,25,145,2004
15677,"Denison, IA","Westside, IA",16,87,28,42,55,34,33,73,25,131,2004
15539,"Denison, IA","Danbury, IA",17,74,22,43,51,19,29,65,19,113,2004
15520,"Denison, IA","Buck Grove, IA",27,56,21,34,43,27,42,53,9,104,2004
15545,"Denison, IA","Deloit, IA",19,57,22,32,52,14,27,56,15,98,2004
15602,"Denison, IA","Manilla, IA",14,59,16,19,45,25,27,48,14,89,2004
15523,"Denison, IA","Carroll, IA",28,46,14,33,30,25,23,35,30,88,2004
15661,"Denison, IA","Soldier, IA",10,37,9,19,21,16,21,33,2,56,2004
15619,"Denison, IA","Newell, IA",18,35,2,28,18,9,6,41,8,55,2004
15664,"Denison, IA","Storm Lake, IA",33,21,1,48,1,6,9,45,1,55,2004
15573,"Denison, IA","Indianola, IA",13,29,10,5,39,8,25,14,13,52,2004
15673,"Denison, IA","Webb, IA",12,31,7,7,35,8,15,25,10,50,2004
15667,"Denison, IA","Truesdale, IA",10,30,7,17,22,8,15,25,7,47,2004
15550,"Denison, IA","Dunlap, IA",10,31,6,18,21,8,12,25,10,47,2004
15594,"Denison, IA","Little Sioux, IA",6,31,9,24,17,5,8,30,8,46,2004
15531,"Denison, IA","Clinton, IA",6,27,12,5,28,12,10,22,13,45,2004
15600,"Denison, IA","Magnolia, IA",12,23,8,18,18,7,10,24,9,43,2004
15658,"Denison, IA","Sioux City, IA",23,14,3,1,3,36,13,22,5,40,2004
15622,"Denison, IA","Norwalk, IA",8,24,5,23,5,9,5,23,9,37,2004
15666,"Denison, IA","Tennant, IA",3,28,3,15,13,6,11,17,6,34,2004
15583,"Denison, IA","Knoxville, IA",14,18,2,19,1,14,6,27,1,34,2004
15504,"Denison, IA","Albert City, IA",8,22,4,14,16,4,6,16,12,34,2004
15567,"Denison, IA","Harlan, IA",6,17,10,9,13,11,9,14,10,33,2004
15615,"Denison, IA","Moorhead, IA",6,26,1,20,8,5,7,22,4,33,2004
15625,"Denison, IA","Onawa, IA",10,16,7,0,28,5,17,15,1,33,2004
15603,"Denison, IA","Manning, IA",7,18,7,12,10,10,10,14,8,32,2004
15522,"Denison, IA","Carlisle, IA",11,19,1,9,11,11,7,16,8,31,2004
15607,"Denison, IA","Mason City, IA",11,14,3,3,11,14,12,12,4,28,2004
15659,"Denison, IA","Sioux Rapids, IA",7,16,4,7,11,9,14,11,2,27,2004
15562,"Denison, IA","Gray, IA",4,14,6,8,7,9,7,12,5,24,2004
15669,"Denison, IA","Wall Lake, IA",5,13,5,8,8,7,8,10,5,23,2004
15587,"Denison, IA","Lakeside, IA",8,13,0,19,2,0,0,20,1,21,2004
15613,"Denison, IA","Mondamin, IA",4,11,5,9,7,4,8,9,3,20,2004
15628,"Denison, IA","Panama, IA",4,16,0,8,7,5,5,14,1,20,2004
15551,"Denison, IA","Early, IA",2,15,2,10,6,3,3,11,5,19,2004
15624,"Denison, IA","Odebolt, IA",1,17,1,9,10,0,1,13,5,19,2004
15590,"Denison, IA","Le Mars, IA",9,6,2,0,3,14,10,2,5,17,2004
15574,"Denison, IA","Irwin, IA",0,10,6,8,7,1,2,13,1,16,2004
15526,"Denison, IA","Castana, IA",2,9,4,2,9,4,2,11,2,15,2004
15555,"Denison, IA","Exira, IA",7,5,2,2,8,4,4,6,4,14,2004
