,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
18684,"Elk Run Heights, IA","Waterloo, IA",514,1711,278,2200,207,96,291,1516,696,2503,2004
18535,"Elk Run Heights, IA","Cedar Falls, IA",68,287,81,394,27,15,42,151,243,436,2004
18564,"Elk Run Heights, IA","Evansdale, IA",58,213,57,277,34,17,48,126,154,328,2004
18562,"Elk Run Heights, IA","Elk Run Heights, IA",50,167,59,197,43,36,52,97,127,276,2004
18620,"Elk Run Heights, IA","Muscatine, IA",45,119,11,147,28,0,21,133,21,175,2004
18643,"Elk Run Heights, IA","Raymond, IA",30,88,21,100,19,20,27,54,58,139,2004
18551,"Elk Run Heights, IA","Denver, IA",19,98,19,126,3,7,7,34,95,136,2004
18590,"Elk Run Heights, IA","Indianola, IA",23,79,14,113,3,0,6,57,53,116,2004
18631,"Elk Run Heights, IA","Ottumwa, IA",36,56,16,106,0,2,5,39,64,108,2004
18686,"Elk Run Heights, IA","Waverly, IA",15,46,25,77,6,3,2,26,58,86,2004
18597,"Elk Run Heights, IA","La Porte City, IA",12,58,13,66,11,6,5,30,48,83,2004
18565,"Elk Run Heights, IA","Fairbank, IA",11,53,16,71,8,1,8,22,50,80,2004
18644,"Elk Run Heights, IA","Readlyn, IA",7,49,11,60,2,5,3,20,44,67,2004
18545,"Elk Run Heights, IA","Council Bluffs, IA",5,54,7,61,3,2,5,42,19,66,2004
18635,"Elk Run Heights, IA","Parkersburg, IA",9,41,10,59,1,0,3,18,39,60,2004
18629,"Elk Run Heights, IA","Oelwein, IA",11,39,7,49,1,7,7,36,14,57,2004
18589,"Elk Run Heights, IA","Independence, IA",9,41,7,52,3,2,3,21,33,57,2004
18530,"Elk Run Heights, IA","Carlisle, IA",16,36,4,53,3,0,5,29,22,56,2004
18595,"Elk Run Heights, IA","Jesup, IA",10,38,7,43,6,6,3,26,26,55,2004
18618,"Elk Run Heights, IA","Mount Auburn, IA",3,43,7,45,3,5,8,16,29,53,2004
18594,"Elk Run Heights, IA","Janesville, IA",11,27,7,39,4,2,2,10,33,45,2004
18625,"Elk Run Heights, IA","Newell, IA",8,36,1,45,0,0,3,42,0,45,2004
18656,"Elk Run Heights, IA","Shell Rock, IA",8,25,6,37,1,1,1,10,28,39,2004
18668,"Elk Run Heights, IA","Sumner, IA",6,23,5,30,1,3,1,12,21,34,2004
18555,"Elk Run Heights, IA","Dubuque, IA",11,15,7,3,23,7,10,19,4,33,2004
18628,"Elk Run Heights, IA","Norwalk, IA",14,14,4,31,1,0,5,14,13,32,2004
18646,"Elk Run Heights, IA","Reinbeck, IA",3,18,8,27,1,1,1,4,24,29,2004
18523,"Elk Run Heights, IA","Blakesburg, IA",0,28,0,28,0,0,1,27,0,28,2004
18508,"Elk Run Heights, IA","Ackworth, IA",3,20,3,25,1,0,0,14,12,26,2004
18617,"Elk Run Heights, IA","Morrison, IA",4,18,4,23,1,2,0,8,18,26,2004
18556,"Elk Run Heights, IA","Dunkerton, IA",3,16,6,23,1,1,1,6,18,25,2004
18687,"Elk Run Heights, IA","Webb, IA",3,18,2,23,0,0,2,19,2,23,2004
18674,"Elk Run Heights, IA","Tripoli, IA",3,18,1,22,0,0,1,10,11,22,2004
18675,"Elk Run Heights, IA","Truesdale, IA",8,14,0,22,0,0,1,21,0,22,2004
18575,"Elk Run Heights, IA","Gilbertville, IA",5,13,3,20,0,1,2,6,13,21,2004
18521,"Elk Run Heights, IA","Bettendorf, IA",2,18,1,4,2,15,15,4,2,21,2004
18659,"Elk Run Heights, IA","Sioux Rapids, IA",6,15,0,20,1,0,4,17,0,21,2004
18587,"Elk Run Heights, IA","Hudson, IA",1,15,4,20,0,0,0,3,17,20,2004
18623,"Elk Run Heights, IA","New Hartford, IA",2,12,6,19,0,1,2,7,11,20,2004
18605,"Elk Run Heights, IA","Marshalltown, IA",6,11,2,12,6,1,2,13,4,19,2004
18660,"Elk Run Heights, IA","Spring Hill, IA",6,11,2,18,1,0,0,9,10,19,2004
18572,"Elk Run Heights, IA","Frederika, IA",2,12,4,18,0,0,3,3,12,18,2004
18507,"Elk Run Heights, IA","Ackley, IA",6,7,5,15,3,0,2,6,10,18,2004
18536,"Elk Run Heights, IA","Cedar Rapids, IA",9,9,0,1,15,2,2,16,0,18,2004
18585,"Elk Run Heights, IA","Hazleton, IA",2,13,1,16,0,0,0,2,14,16,2004
18667,"Elk Run Heights, IA","Storm Lake, IA",15,0,0,15,0,0,2,13,0,15,2004
18622,"Elk Run Heights, IA","New Hampton, IA",0,12,2,14,0,0,1,3,10,14,2004
18558,"Elk Run Heights, IA","Dysart, IA",1,11,2,14,0,0,1,5,8,14,2004
18596,"Elk Run Heights, IA","Knoxville, IA",13,0,0,12,1,0,2,7,4,13,2004
18599,"Elk Run Heights, IA","Lakeside, IA",9,3,1,13,0,0,2,11,0,13,2004
18601,"Elk Run Heights, IA","Lincoln, IA",0,8,5,12,0,1,0,5,8,13,2004
18664,"Elk Run Heights, IA","St. Marys, IA",2,10,1,12,1,0,0,7,6,13,2004
18669,"Elk Run Heights, IA","Swan, IA",1,10,2,13,0,0,1,7,5,13,2004
18661,"Elk Run Heights, IA","Springville, IA",2,10,1,9,4,0,4,0,9,13,2004
18666,"Elk Run Heights, IA","Stanley, IA",2,9,1,12,0,0,0,4,8,12,2004
18627,"Elk Run Heights, IA","North Liberty, IA",5,7,0,6,5,1,7,4,1,12,2004
18639,"Elk Run Heights, IA","Plainfield, IA",3,8,1,12,0,0,1,5,6,12,2004
18677,"Elk Run Heights, IA","Urbana, IA",0,9,2,10,1,0,1,3,7,11,2004
18673,"Elk Run Heights, IA","Traer, IA",1,2,8,11,0,0,1,0,10,11,2004
18679,"Elk Run Heights, IA","Vinton, IA",0,10,1,8,1,2,1,3,7,11,2004
18608,"Elk Run Heights, IA","Mason City, IA",0,7,4,3,6,2,4,6,1,11,2004
18683,"Elk Run Heights, IA","Washington, IA",3,6,2,11,0,0,1,10,0,11,2004
18688,"Elk Run Heights, IA","Wellsburg, IA",5,3,2,8,1,1,1,5,4,10,2004
18632,"Elk Run Heights, IA","Owasa, IA",6,4,0,6,2,2,4,2,4,10,2004
18525,"Elk Run Heights, IA","Brandon, IA",2,5,2,9,0,0,0,1,8,9,2004
18634,"Elk Run Heights, IA","Panorama Park, IA",2,7,0,2,3,4,0,9,0,9,2004
18560,"Elk Run Heights, IA","Elberon, IA",0,6,3,9,0,0,0,0,9,9,2004
18543,"Elk Run Heights, IA","Clutier, IA",1,3,5,9,0,0,0,2,7,9,2004
18598,"Elk Run Heights, IA","Lacona, IA",2,5,1,8,0,0,0,7,1,8,2004
18532,"Elk Run Heights, IA","Carter Lake, IA",5,2,1,6,1,1,1,7,0,8,2004
18510,"Elk Run Heights, IA","Albert City, IA",2,4,1,7,0,0,0,5,2,7,2004
18553,"Elk Run Heights, IA","Dike, IA",1,2,4,6,1,0,0,3,4,7,2004
18653,"Elk Run Heights, IA","Sandyville, IA",1,5,1,7,0,0,1,2,4,7,2004
18509,"Elk Run Heights, IA","Agency, IA",0,7,0,7,0,0,0,7,0,7,2004
18518,"Elk Run Heights, IA","Aurora, IA",0,5,1,6,0,0,0,1,5,6,2004
18513,"Elk Run Heights, IA","Allison, IA",1,1,4,5,0,1,1,1,4,6,2004
