,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
25150,"Hartwick, IA","Marengo, IA",14,12,9,5,2,28,25,9,1,35,2004
25145,"Hartwick, IA","Hartwick, IA",5,1,2,2,0,6,7,1,0,8,2004
25147,"Hartwick, IA","Ladora, IA",2,2,2,0,0,6,4,2,0,6,2004
25140,"Hartwick, IA","Brooklyn, IA",2,0,2,1,1,2,3,1,0,4,2004
25153,"Hartwick, IA","North English, IA",0,3,0,0,0,3,3,0,0,3,2004
25162,"Hartwick, IA","Victor, IA",1,1,0,0,0,2,2,0,0,2,2004
25165,"Hartwick, IA","Williamsburg, IA",1,0,1,0,0,2,2,0,0,2,2004
25143,"Hartwick, IA","Elberon, IA",0,1,1,1,0,1,0,2,0,2,2004
25159,"Hartwick, IA","Tama, IA",1,0,1,1,0,1,2,0,0,2,2004
25160,"Hartwick, IA","Tiffin, IA",0,1,0,1,0,0,0,1,0,1,2004
25158,"Hartwick, IA","Prairieburg, IA",0,1,0,0,0,1,1,0,0,1,2004
25137,"Hartwick, IA","Alden, IA",0,1,0,0,0,1,1,0,0,1,2004
25161,"Hartwick, IA","Traer, IA",0,1,0,1,0,0,1,0,0,1,2004
25156,"Hartwick, IA","Oxford, IA",0,1,0,0,1,0,0,1,0,1,2004
25163,"Hartwick, IA","Vinton, IA",0,0,1,0,0,1,0,1,0,1,2004
25164,"Hartwick, IA","Walford, IA",0,0,1,0,0,1,1,0,0,1,2004
25166,"Hartwick, IA","Wilton, IA",0,0,1,0,0,1,1,0,0,1,2004
25157,"Hartwick, IA","Parnell, IA",1,0,0,0,0,1,1,0,0,1,2004
25152,"Hartwick, IA","Muscatine, IA",1,0,0,0,0,1,1,0,0,1,2004
25155,"Hartwick, IA","Oskaloosa, IA",1,0,0,0,0,1,0,1,0,1,2004
25154,"Hartwick, IA","Norway, IA",0,1,0,0,0,1,0,0,1,1,2004
25138,"Hartwick, IA","Blairstown, IA",0,0,1,0,0,1,1,0,0,1,2004
25151,"Hartwick, IA","Montour, IA",0,1,0,0,0,1,0,1,0,1,2004
25149,"Hartwick, IA","Malcom, IA",0,1,0,1,0,0,0,1,0,1,2004
25148,"Hartwick, IA","Luana, IA",1,0,0,1,0,0,0,1,0,1,2004
25146,"Hartwick, IA","Iowa City, IA",0,0,1,0,0,1,1,0,0,1,2004
25144,"Hartwick, IA","Fairfax, IA",1,0,0,0,0,1,0,0,1,1,2004
25142,"Hartwick, IA","Coggon, IA",1,0,0,1,0,0,1,0,0,1,2004
25141,"Hartwick, IA","Cedar Rapids, IA",1,0,0,0,1,0,0,1,0,1,2004
25139,"Hartwick, IA","Blakesburg, IA",0,1,0,0,0,1,1,0,0,1,2004
25167,"Hartwick, IA","Windsor Heights, IA",0,1,0,0,0,1,0,0,1,1,2004
