,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
27455,"Ionia, IA","New Hampton, IA",5,8,5,5,9,4,6,10,2,18,2004
27445,"Ionia, IA","Fredericksburg, IA",2,8,2,4,8,0,3,7,2,12,2004
27440,"Ionia, IA","Colwell, IA",2,6,1,0,3,6,5,3,1,9,2004
27442,"Ionia, IA","Decorah, IA",4,3,1,6,2,0,1,5,2,8,2004
27449,"Ionia, IA","Lawler, IA",1,6,0,1,3,3,5,2,0,7,2004
27451,"Ionia, IA","Mason City, IA",2,3,2,2,2,3,1,5,1,7,2004
27454,"Ionia, IA","New Albin, IA",1,3,0,0,3,1,0,2,2,4,2004
27447,"Ionia, IA","Ionia, IA",2,2,0,1,0,3,2,2,0,4,2004
27453,"Ionia, IA","Nashua, IA",0,3,0,0,2,1,1,2,0,3,2004
27435,"Ionia, IA","Alta Vista, IA",0,1,1,1,1,0,1,1,0,2,2004
27464,"Ionia, IA","Waucoma, IA",0,0,2,2,0,0,2,0,0,2,2004
27463,"Ionia, IA","Tripoli, IA",0,2,0,0,0,2,0,2,0,2,2004
27459,"Ionia, IA","Rockwell, IA",0,2,0,0,1,1,0,2,0,2,2004
27450,"Ionia, IA","Marble Rock, IA",0,0,2,0,0,2,0,2,0,2,2004
27438,"Ionia, IA","Charles City, IA",0,2,0,0,0,2,0,2,0,2,2004
27448,"Ionia, IA","Lansing, IA",0,1,0,0,1,0,1,0,0,1,2004
27458,"Ionia, IA","Osage, IA",0,1,0,0,1,0,0,1,0,1,2004
27437,"Ionia, IA","Cedar Falls, IA",1,0,0,0,1,0,1,0,0,1,2004
27462,"Ionia, IA","Stacyville, IA",0,0,1,1,0,0,0,1,0,1,2004
27461,"Ionia, IA","St. Lucas, IA",0,1,0,0,0,1,0,1,0,1,2004
27460,"Ionia, IA","Shell Rock, IA",0,1,0,0,1,0,1,0,0,1,2004
27439,"Ionia, IA","Clarksville, IA",0,1,0,0,1,0,0,1,0,1,2004
27457,"Ionia, IA","Oelwein, IA",1,0,0,1,0,0,0,1,0,1,2004
27436,"Ionia, IA","Carlisle, IA",0,1,0,0,1,0,0,1,0,1,2004
27456,"Ionia, IA","Norwalk, IA",0,1,0,0,1,0,0,1,0,1,2004
27441,"Ionia, IA","Cresco, IA",1,0,0,1,0,0,0,1,0,1,2004
27443,"Ionia, IA","Dunkerton, IA",0,1,0,0,0,1,1,0,0,1,2004
27444,"Ionia, IA","Floyd, IA",0,0,1,0,0,1,0,1,0,1,2004
27452,"Ionia, IA","Mount Auburn, IA",0,1,0,0,1,0,1,0,0,1,2004
27446,"Ionia, IA","Hawkeye, IA",0,1,0,0,1,0,0,1,0,1,2004
27465,"Ionia, IA","Wyoming, IA",0,0,1,0,0,1,0,1,0,1,2004
