,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
28547,"Jewell Junction, IA","Ellsworth, IA",9,33,19,10,36,15,21,26,14,61,2004
28553,"Jewell Junction, IA","Jewell Junction, IA",8,29,8,11,28,6,16,20,9,45,2004
28554,"Jewell Junction, IA","Kamrar, IA",1,19,4,7,16,1,7,13,4,24,2004
28540,"Jewell Junction, IA","Ames, IA",8,5,1,1,11,2,7,7,0,14,2004
28570,"Jewell Junction, IA","Story City, IA",2,10,1,0,9,4,2,6,5,13,2004
28575,"Jewell Junction, IA","Webster City, IA",1,5,4,3,6,1,9,1,0,10,2004
28565,"Jewell Junction, IA","Randall, IA",2,5,3,0,9,1,6,3,1,10,2004
28577,"Jewell Junction, IA","Williams, IA",2,6,1,0,6,3,8,1,0,9,2004
28539,"Jewell Junction, IA","Alden, IA",3,4,2,3,4,2,3,4,2,9,2004
28566,"Jewell Junction, IA","Roland, IA",3,5,0,3,2,3,3,1,4,8,2004
28558,"Jewell Junction, IA","Mason City, IA",4,2,1,2,3,2,3,3,1,7,2004
28569,"Jewell Junction, IA","Stanhope, IA",2,3,2,1,4,2,1,5,1,7,2004
28563,"Jewell Junction, IA","Owasa, IA",1,4,2,1,2,4,4,3,0,7,2004
28549,"Jewell Junction, IA","Gilbert, IA",0,4,2,0,5,1,0,2,4,6,2004
28571,"Jewell Junction, IA","Stratford, IA",0,4,1,0,3,2,3,1,1,5,2004
28579,"Jewell Junction, IA","Woolstock, IA",1,0,3,2,1,1,2,1,1,4,2004
28545,"Jewell Junction, IA","Duncombe, IA",1,3,0,0,2,2,2,1,1,4,2004
28548,"Jewell Junction, IA","Fort Dodge, IA",0,3,1,2,2,0,0,2,2,4,2004
28559,"Jewell Junction, IA","New Albin, IA",1,2,0,0,3,0,0,3,0,3,2004
28538,"Jewell Junction, IA","Albia, IA",0,3,0,0,2,1,1,2,0,3,2004
28572,"Jewell Junction, IA","Union, IA",0,2,1,1,0,2,1,2,0,3,2004
28552,"Jewell Junction, IA","Iowa Falls, IA",1,1,1,0,0,3,1,1,1,3,2004
28560,"Jewell Junction, IA","Norwalk, IA",0,2,0,0,2,0,0,0,2,2,2004
28561,"Jewell Junction, IA","Orient, IA",0,1,1,0,2,0,1,1,0,2,2004
28576,"Jewell Junction, IA","Whitten, IA",1,1,0,1,0,1,1,1,0,2,2004
28546,"Jewell Junction, IA","Eldora, IA",0,2,0,0,0,2,1,1,0,2,2004
28551,"Jewell Junction, IA","Hubbard, IA",1,0,1,0,0,2,1,1,0,2,2004
28567,"Jewell Junction, IA","Sheffield, IA",2,0,0,2,0,0,0,2,0,2,2004
28568,"Jewell Junction, IA","Spring Hill, IA",0,1,1,0,1,1,1,1,0,2,2004
28543,"Jewell Junction, IA","Des Moines, IA",1,1,0,0,1,1,0,2,0,2,2004
28542,"Jewell Junction, IA","Denison, IA",0,2,0,1,0,1,1,0,1,2,2004
28537,"Jewell Junction, IA","Adel, IA",1,0,0,0,0,1,1,0,0,1,2004
28573,"Jewell Junction, IA","Wall Lake, IA",0,1,0,1,0,0,0,1,0,1,2004
28578,"Jewell Junction, IA","Windsor Heights, IA",0,1,0,0,0,1,0,1,0,1,2004
28550,"Jewell Junction, IA","Granger, IA",1,0,0,0,0,1,1,0,0,1,2004
28541,"Jewell Junction, IA","Clarion, IA",0,1,0,0,0,1,0,1,0,1,2004
28574,"Jewell Junction, IA","Waukon, IA",1,0,0,0,1,0,0,1,0,1,2004
28544,"Jewell Junction, IA","Diagonal, IA",1,0,0,1,0,0,1,0,0,1,2004
28555,"Jewell Junction, IA","Lansing, IA",0,1,0,0,1,0,0,1,0,1,2004
28557,"Jewell Junction, IA","Manly, IA",1,0,0,0,0,1,1,0,0,1,2004
28564,"Jewell Junction, IA","Popejoy, IA",0,1,0,0,0,1,1,0,0,1,2004
28556,"Jewell Junction, IA","Luana, IA",0,1,0,0,0,1,1,0,0,1,2004
28562,"Jewell Junction, IA","Osage, IA",1,0,0,1,0,0,0,1,0,1,2004
28536,"Jewell Junction, IA","Ackley, IA",0,1,0,0,0,1,1,0,0,1,2004
