,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
30352,"Lake City, IA","Lake City, IA",104,256,91,33,382,36,223,192,36,451,2004
30388,"Lake City, IA","Yetter, IA",51,95,51,18,155,24,97,85,15,197,2004
30373,"Lake City, IA","Rockwell City, IA",17,19,10,0,44,2,29,16,1,46,2004
30371,"Lake City, IA","Pomeroy, IA",9,19,4,0,30,2,10,20,2,32,2004
30383,"Lake City, IA","Wall Lake, IA",9,15,3,1,24,2,11,15,1,27,2004
30351,"Lake City, IA","Knierim, IA",10,12,4,1,25,0,16,10,0,26,2004
30357,"Lake City, IA","Lidderdale, IA",3,15,4,3,16,3,10,11,1,22,2004
30341,"Lake City, IA","Glidden, IA",3,16,2,2,17,2,10,10,1,21,2004
30387,"Lake City, IA","Willey, IA",5,10,4,0,18,1,10,8,1,19,2004
30372,"Lake City, IA","Rinard, IA",2,9,4,1,12,2,6,9,0,15,2004
30327,"Lake City, IA","Carroll, IA",3,7,4,6,8,0,4,8,2,14,2004
30353,"Lake City, IA","Lake View, IA",2,9,1,1,10,1,3,9,0,12,2004
30363,"Lake City, IA","Manson, IA",0,8,3,0,8,3,9,2,0,11,2004
30332,"Lake City, IA","Coon Rapids, IA",0,7,4,0,8,3,3,5,3,11,2004
30375,"Lake City, IA","Sac City, IA",2,7,0,0,9,0,8,1,0,9,2004
30350,"Lake City, IA","Kiron, IA",0,5,1,1,4,1,0,5,1,6,2004
30349,"Lake City, IA","Jefferson, IA",2,3,1,0,4,2,1,3,2,6,2004
30337,"Lake City, IA","Early, IA",1,2,2,0,5,0,1,3,1,5,2004
30367,"Lake City, IA","Odebolt, IA",0,4,1,0,5,0,3,1,1,5,2004
30340,"Lake City, IA","Fort Dodge, IA",2,2,1,1,3,1,3,1,1,5,2004
30348,"Lake City, IA","Ida Grove, IA",0,3,2,1,0,4,4,1,0,5,2004
30380,"Lake City, IA","Storm Lake, IA",2,0,3,2,3,0,1,3,1,5,2004
30366,"Lake City, IA","Newell, IA",1,2,1,0,2,2,2,0,2,4,2004
30330,"Lake City, IA","Clarion, IA",2,0,2,0,3,1,3,1,0,4,2004
30378,"Lake City, IA","Schleswig, IA",2,0,2,1,1,2,2,1,1,4,2004
30369,"Lake City, IA","Otho, IA",0,2,1,0,3,0,0,3,0,3,2004
30377,"Lake City, IA","Schaller, IA",0,3,0,0,1,2,0,3,0,3,2004
30370,"Lake City, IA","Polk City, IA",0,3,0,0,3,0,0,3,0,3,2004
30320,"Lake City, IA","Arcadia, IA",0,1,2,0,3,0,1,1,1,3,2004
30345,"Lake City, IA","Harcourt, IA",0,2,1,0,2,1,0,3,0,3,2004
30325,"Lake City, IA","Callender, IA",0,3,0,0,3,0,0,2,1,3,2004
30354,"Lake City, IA","Lakeside, IA",0,1,1,0,2,0,0,2,0,2,2004
30342,"Lake City, IA","Goldfield, IA",0,2,0,0,1,1,0,1,1,2,2004
30339,"Lake City, IA","Farnhamville, IA",0,2,0,0,2,0,0,2,0,2,2004
30331,"Lake City, IA","Clinton, IA",1,1,0,0,1,1,1,1,0,2,2004
30323,"Lake City, IA","Bagley, IA",2,0,0,0,2,0,0,2,0,2,2004
30329,"Lake City, IA","Churdan, IA",1,1,0,0,2,0,2,0,0,2,2004
30385,"Lake City, IA","West Branch, IA",0,0,2,0,2,0,0,2,0,2,2004
30386,"Lake City, IA","Westside, IA",0,2,0,0,2,0,2,0,0,2,2004
30321,"Lake City, IA","Arthur, IA",0,1,1,0,1,1,0,2,0,2,2004
30343,"Lake City, IA","Grand Junction, IA",0,2,0,0,1,1,1,0,1,2,2004
30384,"Lake City, IA","Waukon, IA",0,1,0,0,0,1,0,1,0,1,2004
30381,"Lake City, IA","Story City, IA",0,1,0,0,0,1,0,0,1,1,2004
30324,"Lake City, IA","Boxholm, IA",1,0,0,0,1,0,1,0,0,1,2004
30379,"Lake City, IA","St. Marys, IA",0,1,0,0,1,0,0,1,0,1,2004
30322,"Lake City, IA","Audubon, IA",0,0,1,0,0,1,0,1,0,1,2004
30326,"Lake City, IA","Carlisle, IA",0,1,0,0,1,0,0,1,0,1,2004
30376,"Lake City, IA","Sageville, IA",0,1,0,0,0,1,0,0,1,1,2004
30328,"Lake City, IA","Cherokee, IA",0,1,0,0,0,1,1,0,0,1,2004
30374,"Lake City, IA","Roland, IA",0,1,0,0,0,1,1,0,0,1,2004
30382,"Lake City, IA","Tipton, IA",0,0,1,1,0,0,0,0,1,1,2004
30347,"Lake City, IA","Humboldt, IA",0,0,1,0,0,1,1,0,0,1,2004
30333,"Lake City, IA","Council Bluffs, IA",0,1,0,1,0,0,1,0,0,1,2004
30361,"Lake City, IA","Madrid, IA",0,0,1,0,1,0,0,1,0,1,2004
30344,"Lake City, IA","Guthrie Center, IA",0,1,0,0,0,1,1,0,0,1,2004
30355,"Lake City, IA","Lansing, IA",0,1,0,0,1,0,0,1,0,1,2004
30356,"Lake City, IA","Lehigh, IA",0,1,0,0,1,0,1,0,0,1,2004
30358,"Lake City, IA","Linden, IA",0,0,1,0,0,1,0,0,1,1,2004
30359,"Lake City, IA","Lisbon, IA",1,0,0,0,1,0,1,0,0,1,2004
30360,"Lake City, IA","Lost Nation, IA",0,0,1,1,0,0,0,1,0,1,2004
30362,"Lake City, IA","Manilla, IA",0,1,0,0,1,0,1,0,0,1,2004
30334,"Lake City, IA","Dawson, IA",1,0,0,0,0,1,1,0,0,1,2004
30364,"Lake City, IA","Mechanicsville, IA",1,0,0,0,1,0,1,0,0,1,2004
30365,"Lake City, IA","New Liberty, IA",0,0,1,1,0,0,0,1,0,1,2004
30338,"Lake City, IA","Exira, IA",0,1,0,0,0,1,0,1,0,1,2004
30336,"Lake City, IA","Durant, IA",0,0,1,0,1,0,0,1,0,1,2004
30368,"Lake City, IA","Onawa, IA",0,0,1,0,0,1,1,0,0,1,2004
30346,"Lake City, IA","Harpers Ferry, IA",0,1,0,0,1,0,0,1,0,1,2004
30335,"Lake City, IA","Dubuque, IA",0,0,1,1,0,0,0,1,0,1,2004
