,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
35932,"Milford, IA","Milford, IA",104,223,71,177,157,64,125,223,50,398,2004
35945,"Milford, IA","Spencer, IA",69,129,32,166,41,23,38,182,10,230,2004
35951,"Milford, IA","Terril, IA",36,89,32,73,57,27,45,90,22,157,2004
35946,"Milford, IA","Spirit Lake, IA",28,92,24,89,41,14,30,100,14,144,2004
35916,"Milford, IA","Estherville, IA",42,59,10,81,19,11,24,81,6,111,2004
35902,"Milford, IA","Arnolds Park, IA",30,45,11,37,36,13,24,52,10,86,2004
35928,"Milford, IA","Lake Park, IA",18,54,5,49,21,7,15,49,13,77,2004
35923,"Milford, IA","Harris, IA",16,49,6,48,17,6,13,55,3,71,2004
35948,"Milford, IA","Superior, IA",11,33,14,21,26,11,11,41,6,58,2004
35941,"Milford, IA","Ruthven, IA",8,23,3,23,7,4,5,27,2,34,2004
35952,"Milford, IA","Wahpeton, IA",5,16,11,16,12,4,10,19,3,32,2004
35955,"Milford, IA","West Okoboji, IA",11,10,4,11,9,5,4,19,2,25,2004
35924,"Milford, IA","Hartley, IA",3,12,2,13,1,3,1,16,0,17,2004
35911,"Milford, IA","Dickens, IA",2,11,2,11,3,1,3,10,2,15,2004
35940,"Milford, IA","Royal, IA",1,12,2,11,1,3,1,13,1,15,2004
35921,"Milford, IA","Graettinger, IA",7,5,2,4,9,1,8,5,1,14,2004
35922,"Milford, IA","Greenville, IA",2,9,1,10,1,1,1,10,1,12,2004
35917,"Milford, IA","Everly, IA",0,8,0,7,0,1,1,7,0,8,2004
35908,"Milford, IA","Carroll, IA",1,3,3,3,2,2,5,1,1,7,2004
35919,"Milford, IA","Fostoria, IA",3,4,0,6,0,1,0,6,1,7,2004
35949,"Milford, IA","Sutherland, IA",0,4,1,2,2,1,0,4,1,5,2004
35925,"Milford, IA","Indianola, IA",0,4,0,4,0,0,0,4,0,4,2004
35938,"Milford, IA","Paullina, IA",2,0,2,4,0,0,0,4,0,4,2004
35910,"Milford, IA","Decorah, IA",0,2,1,0,3,0,1,1,1,3,2004
35931,"Milford, IA","Little Rock, IA",1,2,0,1,2,0,2,1,0,3,2004
35944,"Milford, IA","Sibley, IA",0,3,0,2,1,0,1,2,0,3,2004
35943,"Milford, IA","Sheldon, IA",0,3,0,0,0,3,0,0,3,3,2004
35926,"Milford, IA","Kiron, IA",2,0,1,1,1,1,1,2,0,3,2004
35947,"Milford, IA","Storm Lake, IA",0,2,0,0,0,2,1,1,0,2,2004
35907,"Milford, IA","Carlisle, IA",1,1,0,1,1,0,1,0,1,2,2004
35909,"Milford, IA","Clarion, IA",0,1,1,0,1,1,2,0,0,2,2004
35915,"Milford, IA","Emmetsburg, IA",1,1,0,1,0,1,0,2,0,2,2004
35935,"Milford, IA","Ocheyedan, IA",0,2,0,2,0,0,0,2,0,2,2004
35954,"Milford, IA","Wallingford, IA",1,1,0,1,0,1,1,1,0,2,2004
35918,"Milford, IA","Forest City, IA",1,0,1,0,1,1,2,0,0,2,2004
35913,"Milford, IA","Eagle Grove, IA",0,0,2,0,2,0,2,0,0,2,2004
35903,"Milford, IA","Ashton, IA",0,2,0,2,0,0,0,2,0,2,2004
35950,"Milford, IA","Swan, IA",1,0,0,0,1,0,1,0,0,1,2004
35906,"Milford, IA","Boyden, IA",1,0,0,0,0,1,1,0,0,1,2004
35905,"Milford, IA","Belmond, IA",0,1,0,0,0,1,1,0,0,1,2004
35904,"Milford, IA","Aurelia, IA",0,1,0,0,0,1,1,0,0,1,2004
35953,"Milford, IA","Wall Lake, IA",0,0,1,1,0,0,0,1,0,1,2004
35914,"Milford, IA","Early, IA",1,0,0,0,1,0,0,1,0,1,2004
35942,"Milford, IA","Sergeant Bluff, IA",1,0,0,0,1,0,1,0,0,1,2004
35939,"Milford, IA","Popejoy, IA",0,0,1,0,1,0,1,0,0,1,2004
35937,"Milford, IA","Panorama Park, IA",0,1,0,0,1,0,0,1,0,1,2004
35936,"Milford, IA","Odebolt, IA",1,0,0,0,1,0,0,1,0,1,2004
35934,"Milford, IA","Norwalk, IA",1,0,0,0,0,1,0,1,0,1,2004
35933,"Milford, IA","Northwood, IA",0,1,0,0,1,0,0,0,1,1,2004
35930,"Milford, IA","Lester, IA",1,0,0,1,0,0,0,1,0,1,2004
35927,"Milford, IA","Knoxville, IA",0,1,0,1,0,0,0,0,1,1,2004
35912,"Milford, IA","Dolliver, IA",1,0,0,0,1,0,1,0,0,1,2004
35920,"Milford, IA","George, IA",1,0,0,0,1,0,1,0,0,1,2004
35929,"Milford, IA","Larrabee, IA",1,0,0,0,0,1,0,1,0,1,2004
