,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
39355,"Nora Springs, IA","Nora Springs, IA",16,38,30,6,69,9,33,30,21,84,2004
39348,"Nora Springs, IA","Mason City, IA",12,35,12,13,41,5,17,30,12,59,2004
39331,"Nora Springs, IA","Floyd, IA",3,38,15,3,41,12,23,21,12,56,2004
39365,"Nora Springs, IA","Rockford, IA",5,18,8,3,23,5,12,12,7,31,2004
39352,"Nora Springs, IA","Nashua, IA",4,16,2,5,14,3,10,5,7,22,2004
39317,"Nora Springs, IA","Charles City, IA",4,16,1,3,16,2,10,6,5,21,2004
39363,"Nora Springs, IA","Plymouth, IA",6,2,3,5,5,1,8,3,0,11,2004
39320,"Nora Springs, IA","Clear Lake, IA",2,8,1,0,8,3,2,4,5,11,2004
39358,"Nora Springs, IA","Osage, IA",2,6,0,0,6,2,2,2,4,8,2004
39347,"Nora Springs, IA","Marshalltown, IA",0,2,6,0,7,1,2,3,3,8,2004
39375,"Nora Springs, IA","Thornton, IA",2,2,2,4,1,1,2,4,0,6,2004
39356,"Nora Springs, IA","Northwood, IA",1,5,0,1,0,5,0,3,3,6,2004
39349,"Nora Springs, IA","McIntire, IA",2,2,1,2,3,0,0,2,3,5,2004
39362,"Nora Springs, IA","Parkersburg, IA",0,4,1,0,2,3,0,4,1,5,2004
39309,"Nora Springs, IA","Allison, IA",0,2,2,1,2,1,1,2,1,4,2004
39371,"Nora Springs, IA","Stacyville, IA",0,2,2,0,4,0,2,2,0,4,2004
39341,"Nora Springs, IA","Iowa Falls, IA",1,1,1,0,2,1,1,2,0,3,2004
39328,"Nora Springs, IA","Elkport, IA",0,3,0,0,1,2,1,2,0,3,2004
39366,"Nora Springs, IA","Rockwell, IA",0,3,0,1,1,1,0,1,2,3,2004
39359,"Nora Springs, IA","Ottumwa, IA",0,2,1,0,3,0,0,0,3,3,2004
39322,"Nora Springs, IA","Colwell, IA",0,3,0,0,2,1,0,0,3,3,2004
39378,"Nora Springs, IA","Washington, IA",0,1,2,0,3,0,1,1,1,3,2004
39380,"Nora Springs, IA","West Union, IA",0,0,3,0,3,0,1,1,1,3,2004
39361,"Nora Springs, IA","Oxford, IA",0,1,1,0,2,0,0,1,1,2,2004
39340,"Nora Springs, IA","Indianola, IA",0,2,0,0,2,0,0,1,1,2,2004
39346,"Nora Springs, IA","Marble Rock, IA",0,2,0,0,0,2,0,0,2,2,2004
39338,"Nora Springs, IA","Hanlontown, IA",0,0,2,0,2,0,1,0,1,2,2004
39337,"Nora Springs, IA","Hampton, IA",0,1,1,0,2,0,0,0,2,2,2004
39353,"Nora Springs, IA","New Hampton, IA",0,2,0,1,1,0,1,1,0,2,2004
