,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
41882,"Oxford Junction, IA","Center Junction, IA",0,13,2,0,13,2,11,3,1,15,2004
41900,"Oxford Junction, IA","Wyoming, IA",0,8,4,0,7,5,10,2,0,12,2004
41896,"Oxford Junction, IA","Oxford Junction, IA",1,3,2,0,4,2,5,0,1,6,2004
41893,"Oxford Junction, IA","Monticello, IA",0,2,1,0,3,0,0,3,0,3,2004
41899,"Oxford Junction, IA","Welton, IA",0,2,1,0,2,1,1,2,0,3,2004
41881,"Oxford Junction, IA","Cedar Rapids, IA",0,2,0,0,1,1,0,2,0,2,2004
41887,"Oxford Junction, IA","Hiawatha, IA",1,1,0,0,0,2,1,1,0,2,2004
41880,"Oxford Junction, IA","Baldwin, IA",0,0,2,0,2,0,2,0,0,2,2004
41891,"Oxford Junction, IA","Maquoketa, IA",0,2,0,0,2,0,0,2,0,2,2004
41898,"Oxford Junction, IA","Riverdale, IA",0,1,0,0,1,0,0,1,0,1,2004
41897,"Oxford Junction, IA","Panorama Park, IA",0,0,1,0,1,0,1,0,0,1,2004
41895,"Oxford Junction, IA","New Liberty, IA",0,1,0,0,1,0,1,0,0,1,2004
41894,"Oxford Junction, IA","Morley, IA",0,0,1,0,0,1,1,0,0,1,2004
41879,"Oxford Junction, IA","Anamosa, IA",0,1,0,0,1,0,0,0,1,1,2004
41892,"Oxford Junction, IA","Marengo, IA",1,0,0,0,0,1,1,0,0,1,2004
41889,"Oxford Junction, IA","Lansing, IA",1,0,0,0,1,0,0,1,0,1,2004
41888,"Oxford Junction, IA","Ladora, IA",0,0,1,0,0,1,0,1,0,1,2004
41886,"Oxford Junction, IA","Grinnell, IA",0,0,1,0,0,1,1,0,0,1,2004
41885,"Oxford Junction, IA","Grand Mound, IA",0,1,0,0,1,0,1,0,0,1,2004
41884,"Oxford Junction, IA","Farley, IA",0,1,0,0,0,1,0,1,0,1,2004
41883,"Oxford Junction, IA","Clinton, IA",0,1,0,0,0,1,0,1,0,1,2004
41890,"Oxford Junction, IA","Lost Nation, IA",0,0,1,0,1,0,1,0,0,1,2004
