,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
47456,"Schaller, IA","Schaller, IA",16,23,14,7,37,9,26,17,10,53,2004
47448,"Schaller, IA","Newell, IA",12,15,7,1,27,6,17,9,8,34,2004
47426,"Schaller, IA","Arthur, IA",9,17,6,1,28,3,18,6,8,32,2004
47437,"Schaller, IA","Early, IA",12,11,4,1,23,3,11,9,7,27,2004
47428,"Schaller, IA","Aurelia, IA",2,17,6,6,12,7,8,13,4,25,2004
47455,"Schaller, IA","Sac City, IA",3,12,2,0,7,10,9,5,3,17,2004
47460,"Schaller, IA","Storm Lake, IA",6,2,1,2,6,1,4,5,0,9,2004
47440,"Schaller, IA","Ida Grove, IA",2,3,0,0,5,0,3,0,2,5,2004
47466,"Schaller, IA","Yetter, IA",1,3,0,1,2,1,3,1,0,4,2004
47436,"Schaller, IA","Cushing, IA",3,0,1,0,3,1,2,2,0,4,2004
47463,"Schaller, IA","Wall Lake, IA",2,1,0,0,2,1,1,1,1,3,2004
47462,"Schaller, IA","Truesdale, IA",0,1,2,0,0,3,0,3,0,3,2004
47459,"Schaller, IA","Sloan, IA",0,2,1,0,1,2,0,3,0,3,2004
47444,"Schaller, IA","Lake View, IA",1,2,0,0,3,0,0,3,0,3,2004
47445,"Schaller, IA","Lakeside, IA",0,3,0,0,3,0,1,0,2,3,2004
47442,"Schaller, IA","Knierim, IA",1,1,0,1,0,1,1,1,0,2,2004
47450,"Schaller, IA","Pomeroy, IA",0,2,0,0,0,2,0,2,0,2,2004
47451,"Schaller, IA","Popejoy, IA",1,1,0,0,0,2,1,1,0,2,2004
47452,"Schaller, IA","Quimby, IA",0,1,1,1,1,0,2,0,0,2,2004
47438,"Schaller, IA","Exira, IA",0,1,1,1,0,1,0,2,0,2,2004
47439,"Schaller, IA","Guthrie Center, IA",1,0,0,0,0,1,1,0,0,1,2004
47432,"Schaller, IA","Cherokee, IA",0,1,0,0,0,1,1,0,0,1,2004
47465,"Schaller, IA","Willey, IA",0,1,0,0,0,1,0,0,1,1,2004
47464,"Schaller, IA","Westside, IA",0,0,1,0,0,1,0,1,0,1,2004
47427,"Schaller, IA","Atlantic, IA",1,0,0,0,1,0,0,1,0,1,2004
47429,"Schaller, IA","Bagley, IA",0,1,0,0,0,1,1,0,0,1,2004
47461,"Schaller, IA","Sutherland, IA",0,1,0,0,1,0,0,1,0,1,2004
47430,"Schaller, IA","Carroll, IA",0,1,0,0,1,0,0,1,0,1,2004
47431,"Schaller, IA","Charter Oak, IA",1,0,0,0,1,0,0,1,0,1,2004
47458,"Schaller, IA","Sioux City, IA",0,0,1,0,0,1,1,0,0,1,2004
47457,"Schaller, IA","Sergeant Bluff, IA",0,1,0,0,0,1,1,0,0,1,2004
47453,"Schaller, IA","Randall, IA",1,0,0,0,0,1,1,0,0,1,2004
47433,"Schaller, IA","Clarinda, IA",1,0,0,0,1,0,0,1,0,1,2004
47454,"Schaller, IA","Renwick, IA",0,1,0,0,0,1,1,0,0,1,2004
47449,"Schaller, IA","Oyens, IA",0,1,0,1,0,0,0,1,0,1,2004
47434,"Schaller, IA","Coburg, IA",0,1,0,0,0,1,0,0,1,1,2004
47447,"Schaller, IA","Merrill, IA",0,1,0,1,0,0,0,1,0,1,2004
47446,"Schaller, IA","Manson, IA",0,1,0,0,1,0,1,0,0,1,2004
47425,"Schaller, IA","Arcadia, IA",1,0,0,0,0,1,0,0,1,1,2004
47435,"Schaller, IA","Council Bluffs, IA",1,0,0,0,1,0,0,1,0,1,2004
47443,"Schaller, IA","Lake City, IA",0,0,1,0,0,1,1,0,0,1,2004
47441,"Schaller, IA","Kiron, IA",1,0,0,0,1,0,1,0,0,1,2004
47424,"Schaller, IA","Albert City, IA",0,1,0,1,0,0,0,1,0,1,2004
