,work city,home city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
55353,"Waukee, IA","Des Moines, IA",298,467,80,177,471,197,286,396,163,845,2004
55338,"Waukee, IA","Clive, IA",248,446,102,87,562,147,261,266,269,796,2004
55534,"Waukee, IA","Waukee, IA",205,418,128,130,502,119,293,242,216,751,2004
55550,"Waukee, IA","Windsor Heights, IA",148,234,42,71,260,93,129,180,115,424,2004
55528,"Waukee, IA","Urbandale, IA",134,232,42,70,266,72,129,164,115,408,2004
55544,"Waukee, IA","West Des Moines, IA",80,160,33,41,175,57,67,109,97,273,2004
55303,"Waukee, IA","Ankeny, IA",83,148,28,55,143,61,86,76,97,259,2004
55481,"Waukee, IA","Pleasant Hill, IA",79,132,37,64,124,60,69,107,72,248,2004
55350,"Waukee, IA","De Soto, IA",61,120,43,63,112,49,73,94,57,224,2004
55449,"Waukee, IA","Minburn, IA",34,92,40,42,103,21,60,69,37,166,2004
55404,"Waukee, IA","Johnston, IA",38,91,24,36,89,28,44,59,50,153,2004
55529,"Waukee, IA","Van Meter, IA",49,76,24,19,106,24,64,48,37,149,2004
55466,"Waukee, IA","Norwalk, IA",44,96,8,41,77,30,40,55,53,148,2004
55292,"Waukee, IA","Adel, IA",38,69,17,36,60,28,39,64,21,124,2004
55480,"Waukee, IA","Perry, IA",27,75,19,39,46,36,37,69,15,121,2004
55441,"Waukee, IA","Mason City, IA",48,30,17,2,43,50,62,25,8,95,2004
55399,"Waukee, IA","Indianola, IA",25,60,7,27,39,26,26,28,38,92,2004
55299,"Waukee, IA","Altoona, IA",24,62,2,29,43,16,19,29,40,88,2004
55385,"Waukee, IA","Grimes, IA",21,49,7,11,44,22,30,29,18,77,2004
55382,"Waukee, IA","Granger, IA",17,49,6,15,37,20,28,18,26,72,2004
55533,"Waukee, IA","Waterloo, IA",28,35,7,4,45,21,26,29,15,70,2004
55300,"Waukee, IA","Ames, IA",31,28,1,12,36,12,32,8,20,60,2004
55395,"Waukee, IA","Hiawatha, IA",16,29,14,15,31,13,12,27,20,59,2004
55346,"Waukee, IA","Dallas Center, IA",13,36,8,19,26,12,16,27,14,57,2004
55327,"Waukee, IA","Carlisle, IA",15,31,10,17,30,9,20,18,18,56,2004
55498,"Waukee, IA","Robins, IA",29,23,2,6,27,21,29,16,9,54,2004
55485,"Waukee, IA","Polk City, IA",8,45,1,15,30,9,8,15,31,54,2004
55420,"Waukee, IA","Linden, IA",9,36,7,23,20,9,7,34,11,52,2004
55478,"Waukee, IA","Patterson, IA",16,18,11,15,19,11,15,23,7,45,2004
55552,"Waukee, IA","Winterset, IA",9,28,8,15,15,15,5,20,20,45,2004
55354,"Waukee, IA","Dexter, IA",12,23,8,12,21,10,21,10,12,43,2004
55465,"Waukee, IA","Newton, IA",10,26,4,11,19,10,14,10,16,40,2004
55509,"Waukee, IA","Sioux City, IA",18,19,2,1,14,24,21,14,4,39,2004
55433,"Waukee, IA","Madrid, IA",9,24,6,10,19,10,12,12,15,39,2004
55320,"Waukee, IA","Boone, IA",8,25,4,14,12,11,11,14,12,37,2004
55388,"Waukee, IA","Guthrie Center, IA",12,19,4,17,15,3,9,13,13,35,2004
55511,"Waukee, IA","Spring Hill, IA",9,21,5,6,22,7,14,4,17,35,2004
55410,"Waukee, IA","Knoxville, IA",9,21,4,11,10,13,10,10,14,34,2004
55554,"Waukee, IA","Woodward, IA",7,26,0,8,24,1,8,15,10,33,2004
55439,"Waukee, IA","Marshalltown, IA",9,20,3,0,16,16,12,14,6,32,2004
55512,"Waukee, IA","St. Marys, IA",13,16,2,8,16,7,13,9,9,31,2004
55493,"Waukee, IA","Redfield, IA",6,12,6,7,14,3,7,13,4,24,2004
