,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9251,"Centerville, IA","Centerville, IA",234,658,182,352,496,226,264,597,213,1074,2005
9330,"Centerville, IA","Rathbun, IA",74,118,54,17,184,45,128,83,35,246,2005
9320,"Centerville, IA","Ottumwa, IA",15,45,18,10,57,11,33,22,23,78,2005
9264,"Centerville, IA","Des Moines, IA",15,19,5,6,23,10,10,15,14,39,2005
9305,"Centerville, IA","Moulton, IA",6,19,11,10,22,4,12,15,9,36,2005
9257,"Centerville, IA","Corydon, IA",8,27,0,13,17,5,10,21,4,35,2005
9231,"Centerville, IA","Albia, IA",7,22,2,10,19,2,15,13,3,31,2005
9291,"Centerville, IA","Knoxville, IA",8,12,2,2,15,5,13,6,3,22,2005
9252,"Centerville, IA","Chariton, IA",12,9,0,0,8,13,15,1,5,21,2005
9307,"Centerville, IA","Mount Pleasant, IA",3,9,8,1,7,12,9,10,1,20,2005
9236,"Centerville, IA","Ankeny, IA",6,13,1,2,10,8,14,4,2,20,2005
9248,"Centerville, IA","Bussey, IA",2,16,1,10,8,1,2,8,9,19,2005
9360,"Centerville, IA","West Burlington, IA",4,5,9,3,11,4,10,2,6,18,2005
9243,"Centerville, IA","Bloomfield, IA",2,15,0,1,14,2,8,5,4,17,2005
9271,"Centerville, IA","Exline, IA",14,2,1,0,17,0,15,2,0,17,2005
9254,"Centerville, IA","Clio, IA",6,9,1,6,10,0,8,7,1,16,2005
9250,"Centerville, IA","Cedar Rapids, IA",3,10,3,3,5,8,3,8,5,16,2005
9253,"Centerville, IA","Cincinnati, IA",8,3,4,4,11,0,8,5,2,15,2005
9247,"Centerville, IA","Burlington, IA",2,10,3,5,7,3,2,6,7,15,2005
9361,"Centerville, IA","West Des Moines, IA",5,5,5,2,11,2,9,2,4,15,2005
