,home city,work city,Age [0-29],Age [30-54],Age [55+],Jobs: Goods Producing,Jobs: Other,"Jobs: Trade, Transport, Utilities","Salary, Monthly [0-1250]","Salary, Monthly [1251-3333]","Salary, Monthly [3334+]",total jobs,Year
9813,"Cherokee, IA","Cherokee, IA",95,334,137,219,307,40,136,300,130,566,2005
9851,"Cherokee, IA","Meriden, IA",82,187,66,23,264,48,135,136,64,335,2005
9846,"Cherokee, IA","Larrabee, IA",64,67,21,10,66,76,77,54,21,152,2005
9822,"Cherokee, IA","Des Moines, IA",8,40,12,4,45,11,11,23,26,60,2005
9878,"Cherokee, IA","Sioux City, IA",14,21,21,0,38,18,31,19,6,56,2005
9848,"Cherokee, IA","Marcus, IA",13,24,10,20,23,4,18,21,8,47,2005
9881,"Cherokee, IA","Storm Lake, IA",12,28,3,7,30,6,15,15,13,43,2005
9804,"Cherokee, IA","Aurelia, IA",8,23,10,18,17,6,13,15,13,41,2005
9847,"Cherokee, IA","Le Mars, IA",10,23,5,9,15,14,11,19,8,38,2005
9819,"Cherokee, IA","Cushing, IA",3,15,6,18,3,3,3,18,3,24,2005
9867,"Cherokee, IA","Quimby, IA",2,13,6,18,2,1,3,16,2,21,2005
9873,"Cherokee, IA","Sergeant Bluff, IA",2,13,5,4,2,14,2,11,7,20,2005
9858,"Cherokee, IA","Orange City, IA",7,9,0,11,4,1,5,11,0,16,2005
9815,"Cherokee, IA","Clive, IA",5,7,4,0,11,5,4,9,3,16,2005
9830,"Cherokee, IA","Fort Dodge, IA",3,10,2,0,11,4,5,7,3,15,2005
9801,"Cherokee, IA","Ankeny, IA",4,7,1,3,2,7,1,5,6,12,2005
9800,"Cherokee, IA","Ames, IA",5,4,3,0,10,2,5,2,5,12,2005
9797,"Cherokee, IA","Algona, IA",6,4,1,2,1,8,4,6,1,11,2005
9885,"Cherokee, IA","Urbandale, IA",3,6,1,0,9,1,2,6,2,10,2005
9891,"Cherokee, IA","West Des Moines, IA",7,3,0,3,2,5,6,3,1,10,2005
9810,"Cherokee, IA","Carroll, IA",1,5,3,1,1,7,4,3,2,9,2005
9799,"Cherokee, IA","Altoona, IA",3,4,2,0,2,7,5,3,1,9,2005
9880,"Cherokee, IA","Spencer, IA",3,3,3,0,2,7,2,4,3,9,2005
9842,"Cherokee, IA","Johnston, IA",2,3,3,1,1,6,3,1,4,8,2005
9877,"Cherokee, IA","Sioux Center, IA",2,5,1,1,3,4,4,2,2,8,2005
9874,"Cherokee, IA","Sheldon, IA",3,3,1,0,3,4,5,2,0,7,2005
9811,"Cherokee, IA","Cedar Rapids, IA",3,3,0,0,3,3,3,2,1,6,2005
9845,"Cherokee, IA","Lakeside, IA",2,4,0,3,3,0,3,3,0,6,2005
9889,"Cherokee, IA","Webster City, IA",2,3,0,3,0,2,3,1,1,5,2005
9866,"Cherokee, IA","Pleasant Hill, IA",2,1,1,0,1,3,3,0,1,4,2005
9864,"Cherokee, IA","Peterson, IA",2,2,0,2,0,2,1,3,0,4,2005
9862,"Cherokee, IA","Paullina, IA",1,3,0,1,2,1,1,3,0,4,2005
9838,"Cherokee, IA","Ida Grove, IA",0,3,1,1,1,2,0,3,1,4,2005
9850,"Cherokee, IA","Melcher-Dallas, IA",1,3,0,4,0,0,0,3,1,4,2005
9879,"Cherokee, IA","Sioux Rapids, IA",0,4,0,0,4,0,0,3,1,4,2005
9883,"Cherokee, IA","Truesdale, IA",1,2,1,1,3,0,3,1,0,4,2005
9895,"Cherokee, IA","Windsor Heights, IA",2,0,2,0,2,2,1,1,2,4,2005
9795,"Cherokee, IA","Akron, IA",1,0,3,0,0,4,1,0,3,4,2005
9821,"Cherokee, IA","Denison, IA",0,3,1,0,0,4,2,1,1,4,2005
9816,"Cherokee, IA","Council Bluffs, IA",1,3,0,1,1,2,2,2,0,4,2005
9798,"Cherokee, IA","Alton, IA",0,3,0,3,0,0,0,3,0,3,2005
9836,"Cherokee, IA","Hawarden, IA",1,1,1,0,2,1,1,2,0,3,2005
9840,"Cherokee, IA","Iowa City, IA",3,0,0,0,3,0,3,0,0,3,2005
9887,"Cherokee, IA","Waukee, IA",2,1,0,1,1,1,2,1,0,3,2005
9860,"Cherokee, IA","Ottumwa, IA",3,0,0,2,0,1,1,2,0,3,2005
9882,"Cherokee, IA","Sutherland, IA",1,2,0,2,0,1,1,2,0,3,2005
9849,"Cherokee, IA","Marshalltown, IA",0,3,0,0,0,3,0,1,2,3,2005
9865,"Cherokee, IA","Pierson, IA",0,0,2,0,1,1,0,1,1,2,2005
9876,"Cherokee, IA","Shueyville, IA",1,1,0,0,1,1,0,0,2,2,2005
9820,"Cherokee, IA","Dakota City, IA",1,1,0,1,1,0,2,0,0,2,2005
9818,"Cherokee, IA","Creston, IA",0,2,0,0,0,2,0,1,1,2,2005
9869,"Cherokee, IA","Remsen, IA",1,1,0,0,2,0,0,2,0,2,2005
9884,"Cherokee, IA","University Heights, IA",0,2,0,0,2,0,0,1,1,2,2005
9812,"Cherokee, IA","Chariton, IA",2,0,0,0,1,1,2,0,0,2,2005
9807,"Cherokee, IA","Boone, IA",0,2,0,0,1,1,1,1,0,2,2005
9805,"Cherokee, IA","Battle Creek, IA",1,0,1,0,2,0,1,0,1,2,2005
9886,"Cherokee, IA","Wall Lake, IA",0,0,2,0,0,2,1,1,0,2,2005
9803,"Cherokee, IA","Atlantic, IA",1,1,0,0,0,2,1,1,0,2,2005
9802,"Cherokee, IA","Anthon, IA",0,0,2,0,2,0,1,0,1,2,2005
9893,"Cherokee, IA","Whittemore, IA",0,2,0,0,2,0,0,2,0,2,2005
9863,"Cherokee, IA","Perry, IA",0,2,0,1,0,1,0,1,1,2,2005
9896,"Cherokee, IA","Winterset, IA",0,2,0,2,0,0,0,2,0,2,2005
9828,"Cherokee, IA","Estherville, IA",1,0,1,1,1,0,1,1,0,2,2005
9839,"Cherokee, IA","Indianola, IA",1,1,0,0,1,1,2,0,0,2,2005
9843,"Cherokee, IA","Kingsley, IA",2,0,0,2,0,0,0,2,0,2,2005
9831,"Cherokee, IA","Glidden, IA",1,0,0,0,0,1,1,0,0,1,2005
9809,"Cherokee, IA","Carlisle, IA",0,1,0,0,0,1,0,1,0,1,2005
9808,"Cherokee, IA","Callender, IA",1,0,0,0,0,1,0,0,1,1,2005
9796,"Cherokee, IA","Albert City, IA",0,1,0,0,0,1,0,1,0,1,2005
9829,"Cherokee, IA","Farnhamville, IA",0,0,1,0,1,0,0,1,0,1,2005
9806,"Cherokee, IA","Bellevue, IA",0,0,1,0,1,0,1,0,0,1,2005
9844,"Cherokee, IA","Lake View, IA",1,0,0,0,1,0,1,0,0,1,2005
9857,"Cherokee, IA","Onawa, IA",0,1,0,0,0,1,1,0,0,1,2005
9824,"Cherokee, IA","Dubuque, IA",1,0,0,0,0,1,0,1,0,1,2005
9888,"Cherokee, IA","Webb, IA",0,1,0,0,0,1,0,0,1,1,2005
9890,"Cherokee, IA","Wellsburg, IA",0,1,0,0,0,1,0,1,0,1,2005
9832,"Cherokee, IA","Graettinger, IA",1,0,0,0,1,0,1,0,0,1,2005
9892,"Cherokee, IA","West Union, IA",0,0,1,0,1,0,0,1,0,1,2005
9837,"Cherokee, IA","Humboldt, IA",1,0,0,0,1,0,1,0,0,1,2005
9894,"Cherokee, IA","Willey, IA",0,1,0,0,0,1,0,1,0,1,2005
9835,"Cherokee, IA","Harlan, IA",0,1,0,0,0,1,1,0,0,1,2005
9841,"Cherokee, IA","Jefferson, IA",0,1,0,0,1,0,1,0,0,1,2005
9814,"Cherokee, IA","Clarinda, IA",0,0,1,0,0,1,1,0,0,1,2005
9827,"Cherokee, IA","Emmetsburg, IA",1,0,0,0,1,0,1,0,0,1,2005
9853,"Cherokee, IA","Moville, IA",0,1,0,0,1,0,0,0,1,1,2005
9859,"Cherokee, IA","Ottosen, IA",1,0,0,0,0,1,1,0,0,1,2005
9856,"Cherokee, IA","Norwalk, IA",0,1,0,0,0,1,0,0,1,1,2005
9861,"Cherokee, IA","Oyens, IA",1,0,0,1,0,0,0,1,0,1,2005
9823,"Cherokee, IA","Doon, IA",0,1,0,0,1,0,1,0,0,1,2005
9855,"Cherokee, IA","Nevada, IA",1,0,0,0,0,1,1,0,0,1,2005
9854,"Cherokee, IA","Muscatine, IA",0,1,0,1,0,0,0,0,1,1,2005
9834,"Cherokee, IA","Hampton, IA",0,1,0,0,0,1,1,0,0,1,2005
9852,"Cherokee, IA","Monroe, IA",0,0,1,0,0,1,0,1,0,1,2005
9875,"Cherokee, IA","Shenandoah, IA",0,0,1,1,0,0,0,1,0,1,2005
9868,"Cherokee, IA","Red Oak, IA",0,1,0,0,0,1,0,0,1,1,2005
9825,"Cherokee, IA","Dunlap, IA",0,1,0,0,1,0,1,0,0,1,2005
9870,"Cherokee, IA","Rockwell City, IA",1,0,0,0,0,1,1,0,0,1,2005
9871,"Cherokee, IA","Sac City, IA",0,0,1,0,0,1,1,0,0,1,2005
9872,"Cherokee, IA","Schaller, IA",0,1,0,0,0,1,1,0,0,1,2005
9817,"Cherokee, IA","Cresco, IA",0,1,0,1,0,0,0,1,0,1,2005
9826,"Cherokee, IA","Early, IA",0,1,0,0,0,1,1,0,0,1,2005
9833,"Cherokee, IA","Hamburg, IA",0,0,1,1,0,0,0,1,0,1,2005
